dagQ41.txt 3_2x4.txt 0.09683098591549295 0.1 914.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 4, 4] 
dagQ41.txt 3_2x4.txt 0.1426056338028169 0.15 622.0 [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 4, 4, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 6, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 6, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagQ41.txt 3_2x4.txt 0.198943661971831 0.2 452.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 0, 0, 6, 0, 6, 0, 6, 0, 0, 6, 6, 0, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 6, 6, 2, 2, 2, 6, 6, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 4, 2, 2, 2, 4, 4, 2, 4, 4, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dagQ41.txt 3_2x4.txt 0.45774647887323944 0.9 283.0 [3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 5, 3, 3, 7, 5, 5, 4, 5, 3, 7, 3, 2, 3, 7, 5, 2, 4, 7, 7, 4, 2, 5, 3, 3, 5, 7, 5, 5, 3, 2, 6, 5, 5, 5, 5, 6, 3, 7, 7, 2, 3, 5, 4, 5, 6, 5, 5, 2, 6, 6, 6, 7, 6, 5, 6, 6, 6, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 7, 7, 6, 6, 6, 6, 7, 6, 6, 7, 6, 6, 4, 4, 6, 6, 6, 4, 4, 4, 4, 6, 6, 2, 4, 2, 2, 2, 4, 4, 4, 4, 2, 4, 4, 4, 6, 2, 4, 4, 2, 4, 4, 4, 2, 2, 4, 2, 2, 2, 4, 2, 2, 4, 2, 2, 1, 2, 2, 1, 1, 4, 2, 2, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0] 
dagQ41.txt 3_2x4.txt 0.448943661971831 1 284.0 [1, 7, 7, 1, 1, 1, 1, 1, 7, 1, 0, 6, 1, 1, 4, 1, 7, 1, 1, 7, 1, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 1, 0, 2, 7, 7, 4, 1, 6, 2, 1, 2, 7, 4, 2, 7, 7, 2, 4, 2, 7, 2, 2, 2, 4, 1, 2, 2, 4, 2, 4, 4, 4, 2, 4, 4, 4, 2, 2, 4, 4, 2, 4, 4, 4, 2, 2, 4, 4, 4, 4, 2, 4, 4, 2, 6, 6, 4, 2, 4, 2, 6, 0, 6, 2, 4, 6, 6, 0, 0, 0, 6, 6, 6, 6, 0, 0, 6, 6, 2, 0, 6, 6, 0, 3, 0, 6, 0, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 3, 0, 6, 3, 3, 0, 0, 0, 4, 3, 0, 5, 3, 3, 6, 0, 3, 3, 3, 5, 5, 2, 3, 3, 3, 3, 3, 2, 5, 5, 3, 3, 3, 5, 3, 3, 3, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 4, 5] 
dagQ41.txt 3_2x4.txt 0.2482394366197183 0.25 452.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 6, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 6, 2, 6, 2, 6, 6, 6, 6, 6, 6, 2, 6, 1, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 4, 6, 4, 6, 6, 6, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dagQ41.txt 3_2x4.txt 0.4595070422535211 0.8 283.6666666666667 [1, 1, 1, 6, 1, 2, 1, 1, 2, 1, 2, 7, 6, 2, 6, 1, 6, 2, 1, 2, 2, 6, 2, 2, 5, 1, 6, 2, 2, 6, 6, 0, 2, 6, 6, 2, 2, 2, 6, 6, 5, 6, 5, 1, 2, 5, 6, 1, 2, 2, 2, 5, 6, 2, 6, 2, 5, 2, 1, 2, 5, 1, 5, 5, 1, 5, 5, 2, 4, 5, 1, 2, 5, 1, 1, 1, 6, 1, 6, 6, 5, 5, 5, 1, 5, 5, 6, 1, 0, 0, 3, 6, 3, 6, 0, 0, 0, 0, 2, 0, 3, 3, 6, 6, 3, 0, 3, 6, 0, 6, 0, 3, 3, 0, 6, 0, 3, 3, 0, 0, 7, 0, 6, 0, 3, 7, 3, 3, 3, 0, 7, 0, 0, 7, 0, 0, 0, 7, 3, 3, 0, 7, 4, 3, 7, 4, 7, 3, 7, 7, 0, 7, 7, 4, 7, 4, 4, 0, 7, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 0] 
dagQ41.txt 5_4_3_2x2.txt 0.09683098591549295 0.1 538.6 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 4, 4, 4, 0, 0, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dagQ41.txt 5_4_3_2x2.txt 0.14612676056338028 0.15 443.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 4, 4, 0, 0, 4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dagQ41.txt 3_2x4.txt 0.2992957746478873 0.3 340.0 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 0, 6, 6, 0, 0, 6, 0, 0, 6, 6, 0, 0, 6, 0, 6, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 4, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 0, 1, 1, 4, 1, 4, 4, 1, 4, 4, 4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 5, 1, 4, 5, 5, 1, 5, 1, 1, 4, 4, 1, 5, 1, 5, 1, 1, 5, 5, 5, 1, 5, 5, 1, 5, 5, 3, 5, 5, 5, 5, 3, 3, 3, 3, 5, 2, 3, 5, 3, 3, 3, 2, 5, 2, 2, 3, 5, 3, 3, 2, 3, 2, 2, 3, 2, 2, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
