dagR40.txt 3_2x4.txt 0.09672131147540984 0.1 962.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagR40.txt 3_2x4.txt 0.14262295081967213 0.15 653.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 4, 2, 2, 2, 4, 4, 2, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dagR40.txt 3_2x4.txt 0.19672131147540983 0.2 491.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 2, 2, 2, 4, 2, 2, 4, 2, 2, 4, 2, 2, 4, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 6, 2, 2, 2, 6, 6, 6, 2, 2, 2, 2, 2, 6, 6, 6, 2, 6, 2, 6, 6, 2, 6, 6, 6, 2, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagR40.txt 3_2x4.txt 0.2442622950819672 0.25 489.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 2, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 0, 0, 4, 0, 4, 6, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 1, 6, 6, 6, 4, 4, 4, 4, 4, 6, 4, 6, 6, 6, 4, 6, 4, 4, 6, 6, 6, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagR40.txt 3_2x4.txt 0.460655737704918 1 296.0 [4, 4, 6, 6, 4, 4, 6, 6, 4, 4, 4, 4, 6, 6, 6, 6, 4, 6, 6, 4, 4, 6, 4, 6, 4, 6, 4, 4, 4, 0, 6, 6, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 6, 0, 6, 0, 0, 6, 4, 6, 7, 0, 0, 6, 0, 0, 0, 6, 0, 0, 7, 0, 6, 0, 7, 7, 6, 0, 7, 0, 7, 0, 7, 7, 0, 7, 7, 7, 0, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 7, 3, 7, 0, 0, 7, 0, 3, 3, 7, 3, 1, 7, 3, 3, 3, 0, 1, 1, 0, 4, 3, 4, 3, 1, 1, 1, 1, 3, 3, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 2, 1, 3, 6, 4, 2, 1, 2, 1, 6, 2, 3, 2, 2, 2, 2, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 5, 2, 2, 2, 2, 2, 5, 2, 5, 5, 3, 5, 2, 2, 2, 2, 2, 2, 5, 4, 5, 2, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 2, 5, 5] 
dagR40.txt 5_4_3_2x2.txt 0.09344262295081968 0.1 571.8 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 4, 4, 4, 4, 0, 4, 4, 4, 0, 0, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 1, 1, 1, 1, 4, 4] 
dagR40.txt 3_2x4.txt 0.44098360655737706 0.9 295.0 [3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 3, 4, 0, 4, 3, 4, 0, 3, 4, 4, 3, 0, 4, 0, 3, 0, 3, 3, 0, 0, 4, 3, 0, 6, 0, 0, 6, 0, 0, 0, 3, 6, 4, 6, 0, 0, 0, 6, 6, 6, 0, 6, 0, 6, 6, 6, 6, 0, 6, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 6, 7, 6, 0, 0, 6, 0, 7, 7, 0, 7, 7, 6, 7, 7, 7, 0, 1, 7, 0, 4, 7, 4, 7, 1, 1, 2, 1, 7, 2, 7, 7, 7, 1, 1, 7, 7, 2, 7, 1, 7, 2, 1, 1, 1, 2, 1, 2, 6, 1, 1, 7, 2, 1, 6, 1, 2, 2, 1, 1, 1, 2, 2, 7, 2, 4, 2, 5, 1, 5, 1, 1, 4, 6, 5, 2, 1, 5, 2, 2, 5, 2, 4, 2, 2, 5, 5, 5, 5, 5, 5, 2, 5, 2, 5, 2, 2, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 5, 5, 2, 2] 
dagR40.txt 5_4_3_2x2.txt 0.14590163934426228 0.15 475.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dagR40.txt 3_2x4.txt 0.44098360655737706 0.8 295.0 [4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 4, 1, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 1, 1, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 1, 0, 0, 6, 1, 0, 5, 4, 0, 4, 0, 0, 4, 0, 0, 0, 5, 0, 1, 0, 5, 5, 5, 0, 5, 0, 5, 5, 0, 5, 0, 5, 5, 0, 5, 0, 0, 5, 5, 5, 0, 0, 5, 0, 5, 5, 7, 6, 0, 0, 5, 0, 7, 7, 0, 7, 7, 7, 7, 7, 7, 0, 3, 7, 0, 4, 7, 4, 7, 6, 3, 0, 3, 7, 7, 7, 7, 3, 3, 3, 7, 7, 6, 7, 3, 7, 6, 3, 3, 3, 6, 3, 6, 6, 3, 3, 7, 6, 3, 6, 3, 6, 6, 3, 3, 3, 6, 6, 7, 6, 6, 6, 2, 3, 2, 3, 6, 6, 6, 2, 6, 3, 6, 6, 2, 2, 2, 4, 6, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2] 
dagR40.txt 3_2x4.txt 0.2983606557377049 0.3 346.6666666666667 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 2, 2, 2, 5, 1, 2, 2, 5, 2, 5, 5, 5, 2, 2, 5, 1, 5, 2, 2, 1, 5, 2, 5, 1, 1, 5, 2, 1, 5, 1, 5, 5, 1, 4, 1, 1, 1, 4, 4, 4, 1, 1, 1, 5, 4, 4, 4, 1, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 0, 0, 4, 4, 4, 4, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 6, 0, 0, 6, 0, 0, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
