dagE22.txt 3_2x4.txt True 0.05 0.07 507.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1] 
dagE22.txt 3_2x4.txt True 0.05 0.1 507.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1] 
dagE22.txt 3_2x4.txt True 0.13 0.15 492.5 [1, 1, 1, 1, 1, 7, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 6, 1, 1, 3, 1, 3] 
dagE22.txt 3_2x4.txt True 0.14 0.2 478.0 [3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 7, 7, 3, 3, 3, 1, 7] 
dagE22.txt 3_2x4.txt True 0.14 0.3 478.0 [3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 7, 7, 3, 3, 3, 1, 7] 
dagE22.txt 3_2x4.txt True 0.14 0.4 478.0 [3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 7, 7, 3, 3, 3, 1, 7] 
dagE22.txt 3_2x4.txt True 0.4 0.5 175.25 [1, 1, 1, 5, 5, 1, 5, 5, 5, 5, 5, 1, 5, 1, 5, 5, 1, 5, 5, 5, 1, 3, 3, 5, 5, 3, 1, 5, 2, 3, 3, 1, 5, 5, 5, 3, 3, 3, 3, 1, 5, 3, 3, 3, 3, 2, 3, 1, 7, 3, 1, 3, 7, 3, 3, 7, 2, 7, 3, 7, 7, 7, 3, 3, 7, 7, 7, 3, 7, 3] 
dagE22.txt 3_2x4.txt True 0.48 0.6 174.25 [0, 3, 3, 1, 5, 5, 2, 3, 1, 5, 3, 5, 1, 3, 6, 5, 6, 5, 5, 5, 1, 5, 5, 1, 5, 5, 5, 5, 0, 5, 7, 1, 5, 5, 5, 2, 7, 7, 5, 1, 5, 5, 5, 7, 7, 3, 3, 1, 1, 4, 1, 7, 1, 7, 2, 1, 1, 3, 7, 3, 3, 7, 3, 7, 1, 3, 1, 7, 3, 7] 
dagE22.txt 3_2x4.txt True 0.565 0.7 150.0 [1, 0, 1, 3, 0, 3, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 3, 5, 5, 5, 1, 5, 3, 5, 5, 3, 3, 5, 4, 5, 2, 7, 5, 5, 5, 4, 5, 2, 5, 1, 5, 3, 5, 2, 3, 7, 3, 1, 1, 5, 1, 1, 1, 3, 2, 1, 6, 3, 3, 6, 1, 1, 3, 6, 1, 1, 1, 3, 1, 3] 
dagE22.txt 3_2x4.txt True 0.73 1 126.25 [5, 1, 5, 3, 7, 3, 7, 5, 5, 4, 5, 3, 5, 5, 7, 4, 7, 5, 3, 5, 3, 7, 1, 3, 7, 3, 7, 1, 1, 7, 5, 2, 1, 5, 3, 5, 7, 3, 1, 1, 7, 1, 3, 3, 5, 7, 2, 1, 3, 3, 6, 2, 6, 3, 4, 1, 0, 0, 3, 1, 5, 7, 7, 0, 1, 1, 1, 6, 5, 1] 
dagE22.txt 3_2x2.txt True 0.05 0.07 676.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0] 
