dagA7.txt 1234x1.txt 0.05 20 0.7278911564625851 True 0.5 10000000153.75 {0: [1, 2, 3, 4, 12], 1: [5, 6, 7, 9, 13, 14, 0, 8], 2: [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 10, 11], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 22]} 
dagA7.txt 1234x3.txt 0.05 20 0.9455782312925171 True 0.5 10000000091.0 {0: [0], 1: [1, 2, 3], 2: [4, 5, 6, 7, 8], 3: [9, 10, 11, 12, 13, 14], 4: [15], 5: [16, 17, 18], 6: [19, 20, 21, 22, 23], 7: [24, 25, 26, 27, 28, 29], 8: [30], 9: [31, 32, 33], 10: [34, 35, 36, 37, 38], 11: [39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]} 
dagA7.txt 1234x1.txt 0.05 20 0.8095238095238095 True 0.5 10000000154.75 {0: [1, 2, 4, 3], 1: [5, 6, 7, 8, 9, 10, 11, 13, 0], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 14], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 12]} 
dagA7.txt 1234x1.txt 0.07 20 0.7551020408163265 True 0.5 10000000153.75 {0: [0, 1, 2, 13], 1: [5, 6, 7, 8, 9, 10, 11, 12, 14, 4], 2: [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 3], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 22]} 
dagA7.txt 1234x1.txt 0.1 20 0.7687074829931972 True 0.5 10000000153.75 {0: [2, 3, 4, 1], 1: [5, 6, 7, 8, 9, 11, 12, 13, 14, 0], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 10], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 28]} 
dagA7.txt 1234x1.txt 0.05 50 0.7687074829931972 True 0.5 10000000153.75 {0: [1, 2, 3, 4], 1: [6, 7, 8, 9, 10, 12, 13, 14, 0], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 5], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 11]} 
dagA7.txt 1234x1.txt 0.07 50 0.7482993197278912 True 0.5 10000000153.75 {0: [0, 1, 2, 4], 1: [5, 6, 7, 9, 10, 12, 13, 14, 8], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 11]} 
dagA7.txt 1234x1.txt 0.1 50 0.782312925170068 True 0.5 10000000153.75 {0: [1, 2, 3, 13], 1: [5, 6, 7, 8, 9, 10, 11, 12, 14, 0], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 4], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 28]} 
dagA7.txt 1234x1.txt 0.05 100 0.7687074829931972 True 0.5 10000000154.25 {0: [0, 1, 2, 4, 12], 1: [5, 6, 7, 9, 10, 11, 13, 14, 16], 2: [15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 8]} 
dagA7.txt 1234x1.txt 0.07 100 0.7687074829931972 True 0.5 10000000153.75 {0: [1, 2, 3, 4, 8], 1: [5, 6, 7, 10, 11, 12, 13, 14, 9], 2: [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 0], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 22]} 
dagA7.txt 1234x1.txt 0.1 100 0.7482993197278912 True 0.5 10000000153.75 {0: [0, 1, 3, 4], 1: [5, 7, 8, 9, 10, 12, 13, 14, 6], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 2], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 11]} 
