dagD30.txt 1234x1.txt 0.05 20 0.66 True 0.5 10000000194.25 {0: [1, 2, 3, 4, 5, 34], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 2: [20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 35], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 0]} 
dagD30.txt 1234x3.txt 0.05 20 0.9 True 0.5 10000000089.0 {0: [0, 1], 1: [2, 3, 4, 5], 2: [6, 7, 8, 9, 10, 11], 3: [12, 13, 14, 15, 16, 17, 18, 19], 4: [20, 21], 5: [22, 23, 24, 25], 6: [26, 27, 28, 29, 30, 31], 7: [32, 33, 34, 35, 36, 37, 38, 39], 8: [40, 41], 9: [42, 43, 44, 45], 10: [46, 47, 48, 49, 50, 51], 11: [52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]} 
dagD30.txt 1234x1.txt 0.05 20 0.64 True 0.5 10000000194.0 {0: [0, 1, 3, 5, 34, 4], 1: [6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 28, 8], 2: [19, 20, 21, 22, 24, 25, 26, 27, 30, 31, 32, 33, 35, 36, 37, 2, 29], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 23, 11]} 
dagD30.txt 1234x1.txt 0.07 20 0.635 True 0.5 10000000193.5 {0: [0, 1, 3, 4, 5, 34], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 2], 2: [19, 20, 21, 22, 23, 25, 26, 27, 29, 30, 31, 32, 33, 35, 36, 37, 24], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 28]} 
dagD30.txt 1234x1.txt 0.1 20 0.665 True 0.5 10000000194.0 {0: [0, 1, 2, 3, 4, 5, 36], 1: [6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 35], 2: [19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 24], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 12]} 
dagD30.txt 1234x1.txt 0.05 50 0.65 True 0.5 10000000194.25 {0: [0, 1, 2, 3, 4, 29], 1: [6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 30], 2: [19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 14], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 5]} 
dagD30.txt 1234x1.txt 0.07 50 0.675 True 0.5 10000000193.25 {0: [0, 1, 2, 3, 4, 5, 36], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 2: [20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 37, 34], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 25]} 
dagD30.txt 1234x1.txt 0.1 50 0.67 True 0.5 10000000193.25 {0: [0, 1, 2, 3, 5, 36, 4], 1: [6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 27, 25], 2: [19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 34, 35, 37, 11, 14], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 12]} 
dagD30.txt 1234x1.txt 0.05 100 0.665 True 0.5 10000000194.0 {0: [0, 1, 2, 3, 4, 34], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 25], 2: [20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 5], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 19]} 
dagD30.txt 1234x1.txt 0.07 100 0.63 True 0.5 10000000194.0 {0: [0, 1, 2, 3, 4, 5, 12], 1: [6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 26], 2: [19, 20, 21, 22, 23, 24, 25, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 28]} 
dagD30.txt 1234x1.txt 0.1 100 0.665 True 0.5 10000000193.25 {0: [0, 1, 2, 3, 4, 5, 36], 1: [6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 24], 2: [19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 33], 3: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 12]} 
