dagA20.txt 1234x1.txt 0.05 20 0.7622377622377622 True 0.5 10000000147.333334 {0: [0, 1, 2, 4, 26], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 19], 2: [15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29, 3], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5]} 
dagA20.txt 1234x3.txt 0.05 20 0.9300699300699301 True 0.5 10000000066.75 {0: [0], 1: [1, 2, 3], 2: [4, 5, 6, 7, 8], 3: [9, 10, 11, 12, 13, 14], 4: [15], 5: [16, 17, 18], 6: [19, 20, 21, 22, 23], 7: [24, 25, 26, 27, 28, 29], 8: [30], 9: [31, 32, 33], 10: [34, 35, 36, 37, 38], 11: [39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]} 
dagA20.txt 1234x1.txt 0.05 20 0.7412587412587412 True 0.5 10000000146.666666 {0: [0, 3, 29, 1], 1: [5, 7, 8, 9, 10, 11, 13, 14, 4, 21], 2: [15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 27, 28, 2, 12], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 6, 26]} 
dagA20.txt 1234x1.txt 0.07 20 0.8111888111888111 True 0.5 10000000147.666666 {0: [0, 1, 2, 3, 26], 1: [5, 6, 7, 8, 9, 10, 11, 13, 14, 4], 2: [15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 16], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 12]} 
dagA20.txt 1234x1.txt 0.1 20 0.7692307692307693 True 0.5 10000000147.5 {0: [0, 1, 2, 4, 16], 1: [5, 6, 7, 8, 9, 10, 11, 13, 14, 18], 2: [15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 12]} 
dagA20.txt 1234x1.txt 0.05 50 0.7902097902097902 True 0.5 10000000147.666666 {0: [1, 2, 3, 4, 26], 1: [6, 7, 8, 9, 10, 11, 12, 13, 14, 0], 2: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5]} 
dagA20.txt 1234x1.txt 0.07 50 0.7692307692307693 True 0.5 10000000147.5 {0: [0, 2, 3, 4, 16], 1: [5, 6, 7, 8, 9, 10, 11, 13, 14, 25], 2: [15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 1], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 12]} 
dagA20.txt 1234x1.txt 0.1 50 0.7342657342657343 True 0.5 10000000147.0 {0: [0, 2, 3, 4, 7], 1: [5, 6, 8, 9, 10, 11, 13, 14, 27, 16], 2: [15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 29, 1, 12], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 21]} 
dagA20.txt 1234x1.txt 0.05 100 0.7692307692307693 True 0.5 10000000147.0 {0: [1, 2, 3, 4, 7], 1: [5, 6, 8, 9, 10, 11, 13, 14, 0, 29], 2: [16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 12, 15], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 21]} 
dagA20.txt 1234x1.txt 0.07 100 0.8111888111888111 True 0.5 10000000147.666666 {0: [0, 1, 2, 3, 26], 1: [5, 6, 7, 8, 9, 10, 11, 12, 13, 4], 2: [15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 18], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 14]} 
dagA20.txt 1234x1.txt 0.1 100 0.8041958041958042 True 0.5 10000000148.0 {0: [0, 1, 2, 3, 16], 1: [5, 6, 7, 9, 10, 11, 12, 13, 14, 4], 2: [15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 23], 3: [30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 8]} 
