dagF13.txt 1234x1.txt 0.05 20 0.48847926267281105 True 0.5 242.0 {0: [0, 1, 2, 3, 5, 6, 13], 1: [7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 4], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 16], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 36]} 
dagF13.txt 1234x3.txt 0.05 20 0.9262672811059908 True 0.5 10000000093.0 {0: [0, 1], 1: [2, 3, 4, 5, 6], 2: [7, 8, 9, 10, 11, 12, 13], 3: [14, 15, 16, 17, 18, 19, 20, 21, 22, 23], 4: [24, 25], 5: [26, 27, 28, 29, 30], 6: [31, 32, 33, 34, 35, 36, 37], 7: [38, 39, 40, 41, 42, 43, 44, 45, 46, 47], 8: [48, 49], 9: [50, 51, 52, 53, 54], 10: [55, 56, 57, 58, 59, 60, 61], 11: [62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]} 
dagF13.txt 1234x1.txt 0.05 20 0.4792626728110599 True 0.5 241.0 {0: [0, 3, 4, 5, 6, 8, 15], 1: [7, 9, 10, 11, 12, 13, 14, 16, 17, 19, 21, 1, 2], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 20], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 31, 18]} 
dagF13.txt 1234x1.txt 0.07 20 0.4930875576036866 True 0.5 242.0 {0: [0, 2, 3, 5, 6, 11, 33], 1: [8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 1, 4], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 43, 41, 7], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 21]} 
dagF13.txt 1234x1.txt 0.1 20 0.4976958525345622 True 0.5 242.66666666666666 {0: [0, 1, 2, 4, 5, 6, 18], 1: [8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 3], 2: [22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 24], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 7]} 
dagF13.txt 1234x1.txt 0.05 50 0.48847926267281105 True 0.5 243.66666666666666 {0: [0, 1, 3, 4, 5, 6, 12], 1: [7, 8, 9, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 31], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 10], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 2]} 
dagF13.txt 1234x1.txt 0.07 50 0.47465437788018433 True 0.5 240.5 {0: [0, 1, 3, 4, 5, 6, 12], 1: [7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 2], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 11], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 38]} 
dagF13.txt 1234x1.txt 0.1 50 0.4838709677419355 True 0.5 242.0 {0: [0, 1, 2, 3, 5, 6, 8], 1: [7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 4], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 12], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 35]} 
dagF13.txt 1234x1.txt 0.05 100 0.48847926267281105 True 0.5 241.33333333333334 {0: [0, 1, 2, 5, 6, 13, 43], 1: [7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 4, 3], 2: [22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 35, 21], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 16, 24]} 
dagF13.txt 1234x1.txt 0.07 100 0.4700460829493088 True 0.5 241.75 {0: [0, 1, 2, 3, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 4], 2: [22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 17], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 23]} 
dagF13.txt 1234x1.txt 0.1 100 0.4608294930875576 True 0.5 241.33333333333334 {0: [1, 2, 3, 4, 5, 6, 7], 1: [8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 0], 2: [22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 14], 3: [44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 38]} 
