dag92.txt 3_2x4.txt 0.32061068702290074 0.5 614400.0 [3, 6, 5, 5, 0, 0, 0, 3, 3, 2, 6, 6, 7, 1, 7, 5, 5, 4, 6, 5, 4, 6, 5, 2, 0, 3, 0, 5, 2, 1, 1, 6, 6, 7, 7, 7, 6, 7, 6, 5, 7, 7, 7, 7, 7, 3, 7, 2, 3, 2, 2, 2, 2, 7, 3, 0, 7, 3, 1, 1, 1, 5, 0, 3, 3, 2, 0, 2, 4, 0, 0, 3, 2, 4, 4, 7, 2, 6, 4, 1, 1, 4, 1, 4, 4, 2, 4, 3, 3, 3, 3] 
dag92.txt 3_2x4.txt 0.32061068702290074 0.55 614400.0 [3, 6, 5, 5, 0, 0, 0, 3, 3, 2, 6, 6, 7, 1, 7, 5, 5, 4, 6, 5, 4, 6, 5, 2, 0, 3, 0, 5, 2, 1, 1, 6, 6, 7, 7, 7, 6, 7, 6, 5, 7, 7, 7, 7, 7, 3, 7, 2, 3, 2, 2, 2, 2, 7, 3, 0, 7, 3, 1, 1, 1, 5, 0, 3, 3, 2, 0, 2, 4, 0, 0, 3, 2, 4, 4, 7, 2, 6, 4, 1, 1, 4, 1, 4, 4, 2, 4, 3, 3, 3, 3] 
dag92.txt 4_1x5.txt 0.33587786259541985 0.5 999424.0 [1, 4, 0, 7, 8, 5, 8, 1, 1, 3, 4, 4, 2, 5, 2, 9, 7, 0, 4, 9, 0, 4, 7, 0, 8, 1, 8, 7, 5, 5, 6, 8, 6, 2, 2, 2, 6, 8, 4, 7, 2, 2, 9, 2, 2, 1, 4, 2, 4, 6, 6, 6, 6, 9, 6, 3, 9, 6, 5, 5, 5, 7, 3, 1, 1, 3, 1, 8, 9, 1, 1, 8, 8, 9, 9, 8, 8, 4, 9, 3, 8, 0, 8, 9, 9, 3, 9, 8, 8, 8, 8] 
dag92.txt 5_4_3_2x2.txt 0.32061068702290074 0.5 614400.0 [6, 5, 3, 3, 0, 0, 0, 6, 6, 4, 5, 5, 7, 2, 7, 3, 3, 1, 5, 3, 1, 5, 3, 4, 0, 6, 0, 3, 4, 2, 2, 5, 5, 7, 7, 7, 5, 7, 5, 3, 7, 7, 7, 7, 7, 6, 7, 4, 6, 4, 4, 4, 4, 7, 6, 0, 7, 6, 2, 2, 2, 3, 0, 6, 6, 4, 0, 4, 1, 0, 0, 6, 4, 1, 1, 7, 4, 5, 1, 2, 2, 1, 2, 1, 1, 4, 1, 6, 6, 6, 6] 
dag92.txt 3_2x4.txt 0.32061068702290074 0.6 614400.0 [3, 6, 5, 5, 0, 0, 0, 3, 3, 2, 6, 6, 7, 1, 7, 5, 5, 4, 6, 5, 4, 6, 5, 2, 0, 3, 0, 5, 2, 1, 1, 6, 6, 7, 7, 7, 6, 7, 6, 5, 7, 7, 7, 7, 7, 3, 7, 2, 3, 2, 2, 2, 2, 7, 3, 0, 7, 3, 1, 1, 1, 5, 0, 3, 3, 2, 0, 2, 4, 0, 0, 3, 2, 4, 4, 7, 2, 6, 4, 1, 1, 4, 1, 4, 4, 2, 4, 3, 3, 3, 3] 
dag92.txt 5_4_3_2x2.txt 0.32061068702290074 0.55 614400.0 [6, 5, 3, 3, 0, 0, 0, 6, 6, 4, 5, 5, 7, 2, 7, 3, 3, 1, 5, 3, 1, 5, 3, 4, 0, 6, 0, 3, 4, 2, 2, 5, 5, 7, 7, 7, 5, 7, 5, 3, 7, 7, 7, 7, 7, 6, 7, 4, 6, 4, 4, 4, 4, 7, 6, 0, 7, 6, 2, 2, 2, 3, 0, 6, 6, 4, 0, 4, 1, 0, 0, 6, 4, 1, 1, 7, 4, 5, 1, 2, 2, 1, 2, 1, 1, 4, 1, 6, 6, 6, 6] 
dag92.txt 4_1x5.txt 0.33587786259541985 0.55 999424.0 [1, 4, 0, 7, 8, 5, 8, 1, 1, 3, 4, 4, 2, 5, 2, 9, 7, 0, 4, 9, 0, 4, 7, 0, 8, 1, 8, 7, 5, 5, 6, 8, 6, 2, 2, 2, 6, 8, 4, 7, 2, 2, 9, 2, 2, 1, 4, 2, 4, 6, 6, 6, 6, 9, 6, 3, 9, 6, 5, 5, 5, 7, 3, 1, 1, 3, 1, 8, 9, 1, 1, 8, 8, 9, 9, 8, 8, 4, 9, 3, 8, 0, 8, 9, 9, 3, 9, 8, 8, 8, 8] 
dag92.txt 5_4_3_2x2.txt 0.32061068702290074 0.6 614400.0 [6, 5, 3, 3, 0, 0, 0, 6, 6, 4, 5, 5, 7, 2, 7, 3, 3, 1, 5, 3, 1, 5, 3, 4, 0, 6, 0, 3, 4, 2, 2, 5, 5, 7, 7, 7, 5, 7, 5, 3, 7, 7, 7, 7, 7, 6, 7, 4, 6, 4, 4, 4, 4, 7, 6, 0, 7, 6, 2, 2, 2, 3, 0, 6, 6, 4, 0, 4, 1, 0, 0, 6, 4, 1, 1, 7, 4, 5, 1, 2, 2, 1, 2, 1, 1, 4, 1, 6, 6, 6, 6] 
dag92.txt 3_2x4.txt 0.32061068702290074 0.65 614400.0 [3, 6, 5, 5, 0, 0, 0, 3, 3, 2, 6, 6, 7, 1, 7, 5, 5, 4, 6, 5, 4, 6, 5, 2, 0, 3, 0, 5, 2, 1, 1, 6, 6, 7, 7, 7, 6, 7, 6, 5, 7, 7, 7, 7, 7, 3, 7, 2, 3, 2, 2, 2, 2, 7, 3, 0, 7, 3, 1, 1, 1, 5, 0, 3, 3, 2, 0, 2, 4, 0, 0, 3, 2, 4, 4, 7, 2, 6, 4, 1, 1, 4, 1, 4, 4, 2, 4, 3, 3, 3, 3] 
dag92.txt 3_2x3.txt 0.3893129770992366 0.5 827392.0 [5, 0, 1, 3, 4, 5, 4, 2, 0, 1, 0, 2, 2, 5, 3, 3, 3, 1, 0, 3, 3, 5, 3, 1, 2, 2, 2, 3, 5, 5, 5, 2, 5, 3, 3, 2, 0, 2, 0, 3, 2, 3, 3, 2, 2, 5, 0, 2, 0, 5, 0, 0, 0, 3, 0, 4, 3, 0, 5, 5, 5, 3, 4, 5, 5, 4, 5, 4, 3, 4, 4, 0, 4, 3, 3, 2, 4, 0, 3, 4, 4, 1, 4, 3, 1, 4, 3, 0, 1, 0, 1] 
