dag1.txt 5_4_3_2x2.txt 0.4015151515151515 0.5 655360.0 [4, 4, 4, 3, 0, 6, 2, 6, 6, 5, 2, 1, 7, 1, 1, 3, 7, 6, 4, 3, 2, 7, 6, 6, 5, 6, 7, 0, 4, 1, 0, 3, 2, 0, 3, 0, 2, 3, 0, 3, 7, 3, 7, 7, 2, 0, 2, 1, 7, 2, 0, 1, 7, 1, 1, 1, 1, 1, 2, 1, 1, 6, 7, 6, 0, 6, 5, 6, 3, 6, 6, 6, 4, 6, 5, 5, 2, 5, 3, 3, 7, 5, 0, 0, 5, 5, 0, 5] 
dag1.txt 3_2x4.txt 0.3560606060606061 0.5 671744.0 [4, 0, 4, 1, 3, 5, 7, 5, 5, 0, 2, 6, 6, 6, 6, 1, 4, 5, 4, 1, 7, 6, 7, 5, 0, 7, 6, 3, 3, 6, 3, 7, 1, 3, 1, 3, 7, 7, 3, 7, 6, 7, 4, 4, 2, 3, 2, 2, 2, 2, 3, 2, 4, 2, 6, 2, 6, 4, 7, 6, 2, 4, 6, 4, 3, 7, 5, 6, 1, 6, 5, 5, 0, 5, 0, 0, 2, 5, 1, 1, 4, 5, 1, 1, 5, 5, 5, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 0.55 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 3_2x4.txt 0.3712121212121212 0.55 671744.0 [7, 0, 7, 7, 1, 4, 3, 4, 4, 0, 3, 6, 6, 6, 6, 4, 7, 4, 7, 4, 3, 1, 2, 4, 0, 1, 1, 1, 6, 1, 4, 1, 4, 1, 7, 1, 2, 2, 1, 2, 1, 2, 7, 7, 3, 1, 7, 3, 7, 3, 1, 3, 6, 3, 6, 3, 6, 6, 2, 6, 6, 6, 7, 6, 5, 2, 4, 2, 5, 2, 4, 2, 0, 2, 0, 0, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5] 
dag1.txt 4_1x5.txt 0.3333333333333333 0.5 1081344.0 [2, 2, 6, 9, 3, 5, 6, 5, 5, 4, 6, 2, 1, 3, 1, 5, 7, 5, 6, 9, 6, 1, 6, 5, 2, 6, 7, 3, 2, 3, 3, 7, 9, 3, 8, 3, 9, 7, 3, 9, 3, 9, 7, 0, 6, 3, 6, 0, 0, 9, 3, 0, 7, 0, 1, 0, 1, 7, 9, 1, 1, 1, 1, 1, 8, 8, 5, 1, 7, 1, 5, 4, 2, 4, 4, 4, 6, 5, 8, 8, 8, 5, 8, 8, 5, 5, 8, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 0.6 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 3_2x4.txt 0.3712121212121212 0.6 671744.0 [7, 0, 7, 7, 1, 4, 3, 4, 4, 0, 3, 6, 6, 6, 6, 4, 7, 4, 7, 4, 3, 1, 2, 4, 0, 1, 1, 1, 6, 1, 4, 1, 4, 1, 7, 1, 2, 2, 1, 2, 1, 2, 7, 7, 3, 1, 7, 3, 7, 3, 1, 3, 6, 3, 6, 3, 6, 6, 2, 6, 6, 6, 7, 6, 5, 2, 4, 2, 5, 2, 4, 2, 0, 2, 0, 0, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5] 
dag1.txt 4_1x5.txt 0.3333333333333333 0.55 1081344.0 [2, 2, 6, 9, 3, 5, 6, 5, 5, 4, 6, 2, 1, 3, 1, 5, 7, 5, 6, 9, 6, 1, 6, 5, 2, 6, 7, 3, 2, 3, 3, 7, 9, 3, 8, 3, 9, 7, 3, 9, 3, 9, 7, 0, 6, 3, 6, 0, 0, 9, 3, 0, 7, 0, 1, 0, 1, 7, 9, 1, 1, 1, 1, 1, 8, 8, 5, 1, 7, 1, 5, 4, 2, 4, 4, 4, 6, 5, 8, 8, 8, 5, 8, 8, 5, 5, 8, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 0.65 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 3_2x4.txt 0.3712121212121212 0.65 671744.0 [7, 0, 7, 7, 1, 4, 3, 4, 4, 0, 3, 6, 6, 6, 6, 4, 7, 4, 7, 4, 3, 1, 2, 4, 0, 1, 1, 1, 6, 1, 4, 1, 4, 1, 7, 1, 2, 2, 1, 2, 1, 2, 7, 7, 3, 1, 7, 3, 7, 3, 1, 3, 6, 3, 6, 3, 6, 6, 2, 6, 6, 6, 7, 6, 5, 2, 4, 2, 5, 2, 4, 2, 0, 2, 0, 0, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 0.7 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 4_1x5.txt 0.3333333333333333 0.6 1081344.0 [2, 2, 6, 9, 3, 5, 6, 5, 5, 4, 6, 2, 1, 3, 1, 5, 7, 5, 6, 9, 6, 1, 6, 5, 2, 6, 7, 3, 2, 3, 3, 7, 9, 3, 8, 3, 9, 7, 3, 9, 3, 9, 7, 0, 6, 3, 6, 0, 0, 9, 3, 0, 7, 0, 1, 0, 1, 7, 9, 1, 1, 1, 1, 1, 8, 8, 5, 1, 7, 1, 5, 4, 2, 4, 4, 4, 6, 5, 8, 8, 8, 5, 8, 8, 5, 5, 8, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 0.8 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 4_1x5.txt 0.3333333333333333 0.65 1081344.0 [2, 2, 6, 9, 3, 5, 6, 5, 5, 4, 6, 2, 1, 3, 1, 5, 7, 5, 6, 9, 6, 1, 6, 5, 2, 6, 7, 3, 2, 3, 3, 7, 9, 3, 8, 3, 9, 7, 3, 9, 3, 9, 7, 0, 6, 3, 6, 0, 0, 9, 3, 0, 7, 0, 1, 0, 1, 7, 9, 1, 1, 1, 1, 1, 8, 8, 5, 1, 7, 1, 5, 4, 2, 4, 4, 4, 6, 5, 8, 8, 8, 5, 8, 8, 5, 5, 8, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 0.9 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 3_2x3.txt 0.29545454545454547 0.5 892928.0 [1, 5, 1, 3, 3, 0, 4, 0, 0, 5, 4, 1, 4, 1, 4, 0, 2, 0, 1, 3, 4, 4, 5, 0, 5, 3, 2, 1, 1, 1, 0, 3, 3, 1, 3, 3, 5, 3, 3, 3, 3, 3, 2, 4, 4, 3, 1, 4, 4, 1, 3, 1, 2, 3, 1, 3, 1, 3, 4, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 5, 5, 5, 5, 1, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 2] 
dag1.txt 3_2x4.txt 0.3712121212121212 0.7 671744.0 [7, 0, 7, 7, 1, 4, 3, 4, 4, 0, 3, 6, 6, 6, 6, 4, 7, 4, 7, 4, 3, 1, 2, 4, 0, 1, 1, 1, 6, 1, 4, 1, 4, 1, 7, 1, 2, 2, 1, 2, 1, 2, 7, 7, 3, 1, 7, 3, 7, 3, 1, 3, 6, 3, 6, 3, 6, 6, 2, 6, 6, 6, 7, 6, 5, 2, 4, 2, 5, 2, 4, 2, 0, 2, 0, 0, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5] 
dag1.txt 4_1x5.txt 0.3333333333333333 0.7 1081344.0 [2, 2, 6, 9, 3, 5, 6, 5, 5, 4, 6, 2, 1, 3, 1, 5, 7, 5, 6, 9, 6, 1, 6, 5, 2, 6, 7, 3, 2, 3, 3, 7, 9, 3, 8, 3, 9, 7, 3, 9, 3, 9, 7, 0, 6, 3, 6, 0, 0, 9, 3, 0, 7, 0, 1, 0, 1, 7, 9, 1, 1, 1, 1, 1, 8, 8, 5, 1, 7, 1, 5, 4, 2, 4, 4, 4, 6, 5, 8, 8, 8, 5, 8, 8, 5, 5, 8, 5] 
dag1.txt 5_4_3_2x2.txt 0.3712121212121212 1 655360.0 [7, 0, 7, 7, 2, 1, 6, 1, 1, 0, 6, 5, 5, 5, 5, 1, 7, 1, 7, 1, 6, 2, 4, 1, 0, 2, 2, 2, 5, 2, 1, 2, 1, 2, 7, 2, 4, 4, 2, 4, 2, 4, 7, 7, 6, 2, 7, 6, 7, 6, 2, 6, 5, 6, 5, 6, 5, 5, 4, 5, 5, 5, 7, 5, 3, 4, 1, 4, 3, 4, 1, 4, 0, 4, 0, 0, 6, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3] 
dag1.txt 3_2x4.txt 0.3712121212121212 0.8 671744.0 [7, 0, 7, 7, 1, 4, 3, 4, 4, 0, 3, 6, 6, 6, 6, 4, 7, 4, 7, 4, 3, 1, 2, 4, 0, 1, 1, 1, 6, 1, 4, 1, 4, 1, 7, 1, 2, 2, 1, 2, 1, 2, 7, 7, 3, 1, 7, 3, 7, 3, 1, 3, 6, 3, 6, 3, 6, 6, 2, 6, 6, 6, 7, 6, 5, 2, 4, 2, 5, 2, 4, 2, 0, 2, 0, 0, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5] 
dag1.txt 3_2x3.txt 0.29545454545454547 0.55 892928.0 [1, 5, 1, 3, 3, 0, 4, 0, 0, 5, 4, 1, 4, 1, 4, 0, 2, 0, 1, 3, 4, 4, 5, 0, 5, 3, 2, 1, 1, 1, 0, 3, 3, 1, 3, 3, 5, 3, 3, 3, 3, 3, 2, 4, 4, 3, 1, 4, 4, 1, 3, 1, 2, 3, 1, 3, 1, 3, 4, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 5, 5, 5, 5, 1, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 2] 
dag1.txt 4_1x5.txt 0.3333333333333333 0.8 1081344.0 [2, 2, 6, 9, 3, 5, 6, 5, 5, 4, 6, 2, 1, 3, 1, 5, 7, 5, 6, 9, 6, 1, 6, 5, 2, 6, 7, 3, 2, 3, 3, 7, 9, 3, 8, 3, 9, 7, 3, 9, 3, 9, 7, 0, 6, 3, 6, 0, 0, 9, 3, 0, 7, 0, 1, 0, 1, 7, 9, 1, 1, 1, 1, 1, 8, 8, 5, 1, 7, 1, 5, 4, 2, 4, 4, 4, 6, 5, 8, 8, 8, 5, 8, 8, 5, 5, 8, 5] 
