dag15.txt 3_2x4.txt 0.4520547945205479 0.5 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.5 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 0.55 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.55 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.6 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 0.6 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.65 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 0.65 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 4_1x5.txt 0.4520547945205479 0.5 425984.0 [3, 0, 8, 8, 6, 9, 9, 7, 3, 3, 9, 8, 7, 8, 8, 8, 0, 0, 6, 6, 7, 6, 2, 1, 8, 4, 3, 8, 0, 1, 3, 2, 5, 5, 8, 3, 8, 5, 8, 3, 8, 4, 3, 1, 1, 3, 1, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 0.7 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.7 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 4_1x5.txt 0.4520547945205479 0.55 425984.0 [3, 0, 8, 8, 6, 9, 9, 7, 3, 3, 9, 8, 7, 8, 8, 8, 0, 0, 6, 6, 7, 6, 2, 1, 8, 4, 3, 8, 0, 1, 3, 2, 5, 5, 8, 3, 8, 5, 8, 3, 8, 4, 3, 1, 1, 3, 1, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 0.8 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.8 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 0.9 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 4_1x5.txt 0.4520547945205479 0.6 425984.0 [3, 0, 8, 8, 6, 9, 9, 7, 3, 3, 9, 8, 7, 8, 8, 8, 0, 0, 6, 6, 7, 6, 2, 1, 8, 4, 3, 8, 0, 1, 3, 2, 5, 5, 8, 3, 8, 5, 8, 3, 8, 4, 3, 1, 1, 3, 1, 3] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 0.9 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 3_2x4.txt 0.4520547945205479 1 294912.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 0, 3, 6, 1, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 1 278528.0 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 2, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 3, 3, 6, 3, 3] 
dag15.txt 4_1x5.txt 0.4520547945205479 0.65 425984.0 [3, 0, 8, 8, 6, 9, 9, 7, 3, 3, 9, 8, 7, 8, 8, 8, 0, 0, 6, 6, 7, 6, 2, 1, 8, 4, 3, 8, 0, 1, 3, 2, 5, 5, 8, 3, 8, 5, 8, 3, 8, 4, 3, 1, 1, 3, 1, 3] 
dag15.txt 4_1x5.txt 0.4520547945205479 0.7 425984.0 [3, 0, 8, 8, 6, 9, 9, 7, 3, 3, 9, 8, 7, 8, 8, 8, 0, 0, 6, 6, 7, 6, 2, 1, 8, 4, 3, 8, 0, 1, 3, 2, 5, 5, 8, 3, 8, 5, 8, 3, 8, 4, 3, 1, 1, 3, 1, 3] 
dag15.txt 4_1x5.txt 0.4520547945205479 0.8 425984.0 [3, 0, 8, 8, 6, 9, 9, 7, 3, 3, 9, 8, 7, 8, 8, 8, 0, 0, 6, 6, 7, 6, 2, 1, 8, 4, 3, 8, 0, 1, 3, 2, 5, 5, 8, 3, 8, 5, 8, 3, 8, 4, 3, 1, 1, 3, 1, 3] 
dag15.txt 3_2x3.txt 0.3698630136986301 0.5 376832.0 [2, 5, 4, 4, 5, 3, 3, 4, 1, 1, 3, 4, 1, 4, 4, 4, 3, 3, 5, 5, 1, 5, 1, 5, 4, 4, 1, 4, 5, 0, 0, 0, 4, 0, 4, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 3] 
