dagC9.txt 3_2x4.txt 0.5828877005347594 0.6 99.0 [6, 4, 1, 2, 3, 4, 4, 4, 5, 1, 5, 1, 6, 5, 6, 5, 0, 6, 6, 2, 0, 2, 5, 1, 4, 3, 6, 0, 5, 7, 4, 1, 0, 2, 3, 1, 4, 6, 1, 1, 2, 2, 3, 0, 3, 7, 0, 6, 3, 2, 3, 7, 0, 5, 2, 2, 7, 4, 7, 7] 
dagC9.txt 3_2x4.txt 0.5828877005347594 0.7 99.0 [6, 4, 1, 2, 3, 4, 4, 4, 5, 1, 5, 1, 6, 5, 6, 5, 0, 6, 6, 2, 0, 2, 5, 1, 4, 3, 6, 0, 5, 7, 4, 1, 0, 2, 3, 1, 4, 6, 1, 1, 2, 2, 3, 0, 3, 7, 0, 6, 3, 2, 3, 7, 0, 5, 2, 2, 7, 4, 7, 7] 
dagC9.txt 3_2x4.txt 0.5828877005347594 0.9 99.0 [6, 4, 1, 2, 3, 4, 4, 4, 5, 1, 5, 1, 6, 5, 6, 5, 0, 6, 6, 2, 0, 2, 5, 1, 4, 3, 6, 0, 5, 7, 4, 1, 0, 2, 3, 1, 4, 6, 1, 1, 2, 2, 3, 0, 3, 7, 0, 6, 3, 2, 3, 7, 0, 5, 2, 2, 7, 4, 7, 7] 
dagC9.txt 3_2x4.txt 0.5828877005347594 0.65 99.0 [6, 4, 1, 2, 3, 4, 4, 4, 5, 1, 5, 1, 6, 5, 6, 5, 0, 6, 6, 2, 0, 2, 5, 1, 4, 3, 6, 0, 5, 7, 4, 1, 0, 2, 3, 1, 4, 6, 1, 1, 2, 2, 3, 0, 3, 7, 0, 6, 3, 2, 3, 7, 0, 5, 2, 2, 7, 4, 7, 7] 
dagC9.txt 3_2x4.txt 0.5828877005347594 0.8 99.0 [6, 4, 1, 2, 3, 4, 4, 4, 5, 1, 5, 1, 6, 5, 6, 5, 0, 6, 6, 2, 0, 2, 5, 1, 4, 3, 6, 0, 5, 7, 4, 1, 0, 2, 3, 1, 4, 6, 1, 1, 2, 2, 3, 0, 3, 7, 0, 6, 3, 2, 3, 7, 0, 5, 2, 2, 7, 4, 7, 7] 
dagC9.txt 3_2x4.txt 0.5828877005347594 1 99.0 [6, 4, 1, 2, 3, 4, 4, 4, 5, 1, 5, 1, 6, 5, 6, 5, 0, 6, 6, 2, 0, 2, 5, 1, 4, 3, 6, 0, 5, 7, 4, 1, 0, 2, 3, 1, 4, 6, 1, 1, 2, 2, 3, 0, 3, 7, 0, 6, 3, 2, 3, 7, 0, 5, 2, 2, 7, 4, 7, 7] 
dagC9.txt 3_2x4.txt 0.0 0.1 526.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagC9.txt 5_4_3_2x2.txt 0.5828877005347594 0.7 97.0 [5, 1, 2, 4, 6, 1, 1, 1, 3, 2, 3, 2, 5, 3, 5, 3, 0, 5, 5, 4, 0, 4, 3, 2, 1, 6, 5, 0, 3, 7, 1, 2, 0, 4, 6, 2, 1, 5, 2, 2, 4, 4, 6, 0, 6, 7, 0, 5, 6, 4, 6, 7, 0, 3, 4, 4, 7, 1, 7, 7] 
dagC9.txt 3_2x4.txt 0.10160427807486631 0.2 467.3333333333333 [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0] 
dagC9.txt 5_4_3_2x2.txt 0.5828877005347594 0.6 97.0 [5, 1, 2, 4, 6, 1, 1, 1, 3, 2, 3, 2, 5, 3, 5, 3, 0, 5, 5, 4, 0, 4, 3, 2, 1, 6, 5, 0, 3, 7, 1, 2, 0, 4, 6, 2, 1, 5, 2, 2, 4, 4, 6, 0, 6, 7, 0, 5, 6, 4, 6, 7, 0, 3, 4, 4, 7, 1, 7, 7] 
dagC9.txt 5_4_3_2x2.txt 0.5828877005347594 0.8 97.0 [5, 1, 2, 4, 6, 1, 1, 1, 3, 2, 3, 2, 5, 3, 5, 3, 0, 5, 5, 4, 0, 4, 3, 2, 1, 6, 5, 0, 3, 7, 1, 2, 0, 4, 6, 2, 1, 5, 2, 2, 4, 4, 6, 0, 6, 7, 0, 5, 6, 4, 6, 7, 0, 3, 4, 4, 7, 1, 7, 7] 
dagC9.txt 5_4_3_2x2.txt 0.5828877005347594 0.65 97.0 [5, 1, 2, 4, 6, 1, 1, 1, 3, 2, 3, 2, 5, 3, 5, 3, 0, 5, 5, 4, 0, 4, 3, 2, 1, 6, 5, 0, 3, 7, 1, 2, 0, 4, 6, 2, 1, 5, 2, 2, 4, 4, 6, 0, 6, 7, 0, 5, 6, 4, 6, 7, 0, 3, 4, 4, 7, 1, 7, 7] 
dagC9.txt 5_4_3_2x2.txt 0.5828877005347594 0.9 97.0 [5, 1, 2, 4, 6, 1, 1, 1, 3, 2, 3, 2, 5, 3, 5, 3, 0, 5, 5, 4, 0, 4, 3, 2, 1, 6, 5, 0, 3, 7, 1, 2, 0, 4, 6, 2, 1, 5, 2, 2, 4, 4, 6, 0, 6, 7, 0, 5, 6, 4, 6, 7, 0, 3, 4, 4, 7, 1, 7, 7] 
