dagG12.txt 3_2x4.txt 0.5925925925925926 0.6 121.5 [7, 5, 4, 5, 5, 6, 5, 7, 4, 1, 5, 4, 4, 2, 7, 5, 5, 7, 4, 1, 5, 7, 7, 4, 7, 4, 4, 1, 1, 6, 2, 2, 0, 2, 2, 1, 4, 1, 2, 6, 1, 3, 6, 0, 0, 0, 6, 3, 6, 2, 2, 2, 2, 6, 0, 6, 0, 2, 3, 3, 3, 1, 3, 3, 0, 0, 6, 3, 0, 0, 2, 3, 6, 6, 4, 0, 3, 0, 2, 0] 
dagG12.txt 3_2x4.txt 0.5925925925925926 0.7 121.5 [7, 5, 4, 5, 5, 6, 5, 7, 4, 1, 5, 4, 4, 2, 7, 5, 5, 7, 4, 1, 5, 7, 7, 4, 7, 4, 4, 1, 1, 6, 2, 2, 0, 2, 2, 1, 4, 1, 2, 6, 1, 3, 6, 0, 0, 0, 6, 3, 6, 2, 2, 2, 2, 6, 0, 6, 0, 2, 3, 3, 3, 1, 3, 3, 0, 0, 6, 3, 0, 0, 2, 3, 6, 6, 4, 0, 3, 0, 2, 0] 
dagG12.txt 3_2x4.txt 0.5925925925925926 0.65 121.5 [7, 5, 4, 5, 5, 6, 5, 7, 4, 1, 5, 4, 4, 2, 7, 5, 5, 7, 4, 1, 5, 7, 7, 4, 7, 4, 4, 1, 1, 6, 2, 2, 0, 2, 2, 1, 4, 1, 2, 6, 1, 3, 6, 0, 0, 0, 6, 3, 6, 2, 2, 2, 2, 6, 0, 6, 0, 2, 3, 3, 3, 1, 3, 3, 0, 0, 6, 3, 0, 0, 2, 3, 6, 6, 4, 0, 3, 0, 2, 0] 
dagG12.txt 3_2x4.txt 0.5925925925925926 0.9 121.5 [7, 5, 4, 5, 5, 6, 5, 7, 4, 1, 5, 4, 4, 2, 7, 5, 5, 7, 4, 1, 5, 7, 7, 4, 7, 4, 4, 1, 1, 6, 2, 2, 0, 2, 2, 1, 4, 1, 2, 6, 1, 3, 6, 0, 0, 0, 6, 3, 6, 2, 2, 2, 2, 6, 0, 6, 0, 2, 3, 3, 3, 1, 3, 3, 0, 0, 6, 3, 0, 0, 2, 3, 6, 6, 4, 0, 3, 0, 2, 0] 
dagG12.txt 3_2x4.txt 0.5925925925925926 0.8 121.5 [7, 5, 4, 5, 5, 6, 5, 7, 4, 1, 5, 4, 4, 2, 7, 5, 5, 7, 4, 1, 5, 7, 7, 4, 7, 4, 4, 1, 1, 6, 2, 2, 0, 2, 2, 1, 4, 1, 2, 6, 1, 3, 6, 0, 0, 0, 6, 3, 6, 2, 2, 2, 2, 6, 0, 6, 0, 2, 3, 3, 3, 1, 3, 3, 0, 0, 6, 3, 0, 0, 2, 3, 6, 6, 4, 0, 3, 0, 2, 0] 
dagG12.txt 3_2x4.txt 0.5925925925925926 1 121.5 [7, 5, 4, 5, 5, 6, 5, 7, 4, 1, 5, 4, 4, 2, 7, 5, 5, 7, 4, 1, 5, 7, 7, 4, 7, 4, 4, 1, 1, 6, 2, 2, 0, 2, 2, 1, 4, 1, 2, 6, 1, 3, 6, 0, 0, 0, 6, 3, 6, 2, 2, 2, 2, 6, 0, 6, 0, 2, 3, 3, 3, 1, 3, 3, 0, 0, 6, 3, 0, 0, 2, 3, 6, 6, 4, 0, 3, 0, 2, 0] 
dagG12.txt 3_2x4.txt 0.1934156378600823 0.2 339.6666666666667 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 1, 6, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 2, 2, 2, 2, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0] 
dagG12.txt 3_2x4.txt 0.2839506172839506 0.3 317.3333333333333 [6, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 0, 0, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 4, 2, 2] 
dagG12.txt 3_2x4.txt 0.08641975308641975 0.1 664.0 [0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0] 
dagG12.txt 3_2x4.txt 0.49794238683127573 0.5 139.0 [2, 5, 3, 5, 5, 2, 5, 2, 3, 3, 2, 1, 3, 5, 2, 5, 5, 2, 3, 2, 5, 3, 1, 3, 2, 3, 1, 2, 1, 7, 0, 7, 1, 0, 7, 3, 1, 1, 0, 7, 2, 4, 0, 4, 4, 4, 7, 4, 7, 0, 6, 0, 0, 0, 0, 7, 6, 0, 0, 6, 6, 1, 4, 6, 4, 0, 0, 6, 4, 4, 6, 6, 0, 7, 4, 6, 6, 4, 6, 4] 
