dag58.txt 4_1x5.txt 0.3274336283185841 0.5 933888.0 [2, 0, 1, 6, 9, 6, 7, 1, 4, 2, 0, 8, 2, 9, 4, 1, 0, 4, 2, 6, 1, 6, 9, 0, 7, 1, 2, 7, 1, 1, 2, 1, 2, 1, 1, 2, 8, 1, 1, 1, 0, 4, 6, 1, 8, 0, 4, 4, 0, 8, 8, 8, 5, 0, 6, 6, 0, 5, 5, 5, 5, 5, 1, 5, 4, 4, 3, 3, 7, 3, 7, 3, 3, 3, 3, 3] 
dag58.txt 3_2x4.txt 0.3893805309734513 0.5 589824.0 [2, 5, 1, 3, 7, 0, 0, 1, 6, 2, 5, 0, 3, 7, 6, 1, 5, 6, 2, 3, 1, 3, 7, 5, 0, 1, 2, 0, 1, 3, 2, 1, 6, 1, 1, 2, 2, 1, 1, 1, 5, 6, 3, 1, 3, 5, 6, 6, 5, 3, 0, 3, 1, 5, 3, 3, 5, 3, 7, 7, 5, 5, 1, 4, 6, 4, 3, 4, 0, 3, 6, 4, 4, 4, 0, 0] 
dag58.txt 4_1x5.txt 0.3274336283185841 0.55 933888.0 [2, 0, 8, 6, 9, 6, 7, 8, 5, 2, 0, 1, 2, 9, 5, 8, 0, 5, 2, 6, 8, 6, 9, 0, 7, 8, 2, 7, 8, 8, 2, 8, 2, 8, 8, 2, 1, 8, 8, 8, 0, 8, 6, 8, 1, 0, 5, 4, 0, 1, 1, 1, 4, 0, 6, 6, 0, 4, 4, 4, 4, 4, 5, 4, 5, 5, 3, 3, 7, 3, 7, 3, 3, 3, 3, 3] 
dag58.txt 3_2x4.txt 0.4336283185840708 0.55 581632.0 [5, 7, 0, 2, 7, 2, 4, 0, 1, 5, 7, 4, 2, 3, 1, 0, 7, 1, 5, 2, 1, 5, 7, 7, 4, 0, 2, 4, 0, 0, 5, 0, 2, 0, 0, 6, 2, 2, 1, 1, 0, 1, 2, 0, 2, 0, 1, 1, 7, 2, 4, 2, 3, 3, 5, 5, 1, 3, 3, 3, 1, 3, 1, 3, 1, 1, 4, 6, 4, 5, 6, 6, 6, 6, 4, 4] 
dag58.txt 3_2x4.txt 0.37168141592920356 0.6 589824.0 [0, 7, 4, 1, 7, 1, 3, 4, 4, 0, 5, 3, 1, 7, 4, 4, 7, 4, 0, 1, 4, 1, 7, 5, 3, 5, 1, 3, 4, 4, 1, 5, 1, 4, 4, 1, 1, 4, 5, 5, 2, 1, 1, 2, 0, 2, 4, 2, 5, 0, 3, 0, 5, 2, 0, 0, 2, 2, 2, 2, 2, 2, 5, 2, 4, 6, 4, 6, 3, 0, 6, 6, 6, 6, 3, 3] 
dag58.txt 5_4_3_2x2.txt 0.37168141592920356 0.5 565248.0 [0, 7, 1, 2, 7, 2, 6, 1, 1, 0, 3, 6, 2, 7, 1, 1, 7, 1, 0, 2, 1, 2, 7, 3, 6, 3, 2, 6, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 3, 3, 4, 2, 2, 4, 0, 4, 1, 4, 3, 0, 6, 0, 3, 4, 0, 0, 4, 4, 4, 4, 4, 4, 3, 4, 1, 5, 1, 5, 6, 0, 5, 5, 5, 5, 6, 6] 
dag58.txt 4_1x5.txt 0.3274336283185841 0.6 933888.0 [2, 0, 8, 6, 9, 6, 7, 8, 5, 2, 0, 1, 2, 9, 5, 8, 0, 5, 2, 6, 8, 6, 9, 0, 7, 8, 2, 7, 8, 8, 2, 8, 2, 8, 8, 2, 1, 8, 8, 8, 0, 8, 6, 8, 1, 0, 5, 4, 0, 1, 1, 1, 4, 0, 6, 6, 0, 4, 4, 4, 4, 4, 5, 4, 5, 5, 3, 3, 7, 3, 7, 3, 3, 3, 3, 3] 
dag58.txt 3_2x4.txt 0.37168141592920356 0.65 589824.0 [0, 7, 4, 1, 7, 1, 3, 4, 4, 0, 5, 3, 1, 7, 4, 4, 7, 4, 0, 1, 4, 1, 7, 5, 3, 5, 1, 3, 4, 4, 1, 5, 1, 4, 4, 1, 1, 4, 5, 5, 2, 1, 1, 2, 0, 2, 4, 2, 5, 0, 3, 0, 5, 2, 0, 0, 2, 2, 2, 2, 2, 2, 5, 2, 4, 6, 4, 6, 3, 0, 6, 6, 6, 6, 3, 3] 
dag58.txt 5_4_3_2x2.txt 0.4336283185840708 0.55 581632.0 [3, 7, 0, 4, 7, 4, 1, 0, 2, 3, 7, 1, 4, 6, 2, 0, 7, 2, 3, 4, 2, 3, 7, 7, 1, 0, 4, 1, 0, 0, 3, 0, 4, 0, 0, 5, 4, 4, 2, 2, 0, 2, 4, 0, 4, 0, 2, 2, 7, 4, 1, 4, 6, 6, 3, 3, 2, 6, 6, 6, 2, 6, 2, 6, 2, 2, 1, 5, 1, 3, 5, 5, 5, 5, 1, 1] 
dag58.txt 4_1x5.txt 0.3274336283185841 0.65 933888.0 [2, 0, 8, 6, 9, 6, 7, 8, 5, 2, 0, 1, 2, 9, 5, 8, 0, 5, 2, 6, 8, 6, 9, 0, 7, 8, 2, 7, 8, 8, 2, 8, 2, 8, 8, 2, 1, 8, 8, 8, 0, 8, 6, 8, 1, 0, 5, 4, 0, 1, 1, 1, 4, 0, 6, 6, 0, 4, 4, 4, 4, 4, 5, 4, 5, 5, 3, 3, 7, 3, 7, 3, 3, 3, 3, 3] 
