dag25.txt 3_2x4.txt 0.3971631205673759 0.5 518826.6666666667 [7, 6, 5, 3, 7, 6, 6, 5, 3, 4, 4, 7, 4, 4, 0, 4, 7, 1, 3, 4, 7, 6, 6, 5, 0, 5, 4, 6, 7, 4, 1, 3, 3, 3, 2, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 5, 1, 0, 2, 4, 5, 3, 5, 5, 5, 5, 5, 2, 0, 3, 5, 7, 5, 5, 5, 5, 5, 7, 5, 0, 5, 6, 5, 6, 5, 1, 6, 0, 6, 6, 6, 7, 6, 6, 6] 
dag25.txt 4_1x5.txt 0.475177304964539 0.5 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 3_2x4.txt 0.3971631205673759 0.55 518826.6666666667 [7, 6, 5, 3, 7, 6, 6, 5, 3, 4, 4, 7, 4, 4, 0, 4, 7, 1, 3, 4, 7, 6, 6, 5, 0, 5, 4, 6, 7, 4, 1, 3, 3, 3, 2, 3, 3, 0, 0, 3, 3, 2, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 5, 1, 0, 2, 4, 5, 3, 5, 5, 5, 5, 5, 2, 0, 3, 5, 7, 5, 5, 5, 5, 5, 7, 5, 0, 5, 6, 5, 6, 5, 1, 6, 0, 6, 6, 6, 7, 6, 6, 6] 
dag25.txt 5_4_3_2x2.txt 0.40425531914893614 0.5 380928.0 [7, 5, 3, 6, 7, 5, 5, 3, 6, 1, 1, 7, 1, 1, 0, 1, 7, 2, 6, 1, 7, 5, 5, 3, 5, 3, 1, 4, 4, 1, 2, 6, 6, 6, 4, 6, 6, 0, 0, 6, 6, 4, 4, 4, 4, 0, 0, 4, 4, 0, 2, 2, 2, 3, 2, 0, 0, 1, 0, 6, 3, 3, 3, 3, 3, 4, 0, 6, 3, 7, 3, 3, 3, 3, 3, 7, 3, 0, 3, 5, 3, 5, 3, 2, 5, 0, 5, 5, 5, 7, 5, 5, 5] 
dag25.txt 4_1x5.txt 0.475177304964539 0.55 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 3_2x4.txt 0.4326241134751773 0.6 524288.0 [2, 4, 5, 7, 2, 1, 1, 5, 7, 3, 6, 0, 7, 7, 5, 0, 6, 0, 7, 7, 2, 1, 1, 5, 6, 5, 3, 0, 6, 7, 6, 7, 7, 7, 4, 5, 2, 5, 5, 2, 2, 2, 2, 5, 2, 5, 2, 4, 4, 5, 6, 6, 6, 2, 6, 5, 2, 3, 4, 7, 3, 2, 3, 2, 4, 5, 5, 4, 4, 3, 4, 3, 3, 1, 4, 0, 3, 5, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag25.txt 5_4_3_2x2.txt 0.40425531914893614 0.55 380928.0 [7, 5, 3, 6, 7, 5, 5, 3, 6, 1, 1, 7, 1, 1, 0, 1, 7, 2, 6, 1, 7, 5, 5, 3, 5, 3, 1, 4, 4, 1, 2, 6, 6, 6, 4, 6, 6, 0, 0, 6, 6, 4, 4, 4, 4, 0, 0, 4, 4, 0, 2, 2, 2, 3, 2, 0, 0, 1, 0, 6, 3, 3, 3, 3, 3, 4, 0, 6, 3, 7, 3, 3, 3, 3, 3, 7, 3, 0, 3, 5, 3, 5, 3, 2, 5, 0, 5, 5, 5, 7, 5, 5, 5] 
dag25.txt 3_2x3.txt 0.3333333333333333 0.5 704512.0 [2, 2, 4, 4, 2, 1, 1, 1, 0, 3, 4, 2, 0, 0, 4, 0, 2, 3, 0, 0, 2, 1, 3, 4, 3, 4, 3, 2, 2, 3, 1, 0, 0, 0, 0, 4, 0, 4, 4, 1, 0, 4, 4, 4, 4, 4, 4, 0, 5, 4, 1, 1, 1, 1, 1, 4, 5, 3, 5, 0, 3, 1, 1, 1, 1, 4, 4, 1, 1, 3, 1, 1, 3, 3, 3, 2, 3, 5, 3, 1, 5, 2, 5, 5, 2, 4, 5, 2, 2, 2, 2, 2, 2] 
dag25.txt 4_1x5.txt 0.475177304964539 0.6 450560.0 [2, 8, 8, 4, 2, 8, 1, 8, 4, 6, 8, 2, 4, 5, 3, 4, 2, 6, 4, 5, 2, 8, 8, 8, 6, 3, 8, 2, 2, 5, 6, 9, 9, 4, 4, 4, 4, 0, 3, 4, 4, 6, 7, 3, 7, 3, 0, 4, 2, 3, 8, 6, 3, 8, 6, 3, 8, 6, 7, 5, 6, 8, 6, 0, 6, 3, 0, 9, 0, 0, 9, 0, 0, 8, 9, 2, 0, 0, 0, 1, 0, 6, 0, 0, 1, 2, 0, 1, 1, 0, 3, 0, 0] 
dag25.txt 5_4_3_2x2.txt 0.46099290780141844 0.6 385024.0 [4, 1, 3, 7, 4, 2, 2, 3, 7, 6, 4, 0, 4, 7, 3, 5, 5, 0, 7, 7, 4, 2, 2, 3, 5, 3, 6, 0, 5, 7, 5, 7, 7, 7, 1, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 0, 1, 1, 3, 5, 5, 5, 4, 5, 3, 4, 6, 1, 7, 6, 4, 6, 4, 1, 3, 0, 1, 1, 6, 1, 6, 6, 2, 1, 0, 6, 3, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2] 
