dagC18.txt 3_2x4.txt True 0.031578947368421054 0.07 433.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1] 
dagC18.txt 3_2x4.txt True 0.031578947368421054 0.1 433.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1] 
dagC18.txt 3_2x4.txt True 0.11052631578947368 0.15 401.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 6, 3, 6, 3, 3, 3, 6, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3] 
dagC18.txt 3_2x4.txt True 0.14210526315789473 0.2 387.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 3, 7, 2, 1] 
dagC18.txt 3_2x4.txt True 0.14210526315789473 0.3 387.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 3, 7, 2, 1] 
dagC18.txt 3_2x4.txt True 0.14210526315789473 0.4 387.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 3, 7, 2, 1] 
dagC18.txt 3_2x4.txt True 0.48947368421052634 0.5 113.75 [3, 7, 1, 1, 7, 4, 1, 1, 7, 4, 1, 7, 1, 3, 3, 1, 3, 5, 7, 1, 5, 5, 7, 1, 3, 1, 7, 4, 7, 7, 7, 1, 1, 3, 7, 5, 7, 1, 3, 5, 7, 5, 1, 3, 2, 5, 3, 7, 7, 7, 3, 5, 5, 5, 7, 3, 2, 3, 2, 7] 
dagC18.txt 3_2x4.txt True 0.5526315789473685 0.6 109.0 [5, 7, 5, 1, 7, 3, 5, 7, 3, 1, 5, 3, 7, 1, 0, 5, 1, 7, 3, 5, 7, 7, 7, 5, 5, 3, 3, 3, 3, 3, 3, 3, 0, 5, 7, 1, 3, 5, 1, 6, 1, 7, 0, 1, 1, 7, 0, 3, 3, 3, 5, 7, 1, 7, 1, 5, 1, 5, 1, 3] 
dagC18.txt 3_2x4.txt True 0.6052631578947368 0.7 110.0 [2, 3, 3, 1, 0, 1, 3, 3, 7, 7, 1, 1, 1, 2, 5, 1, 7, 5, 7, 3, 6, 1, 3, 3, 3, 7, 7, 7, 7, 1, 7, 3, 3, 1, 3, 5, 7, 1, 7, 5, 7, 5, 1, 7, 5, 5, 3, 7, 1, 7, 5, 6, 2, 1, 2, 1, 5, 7, 5, 1] 
dagC18.txt 3_2x4.txt True 0.6947368421052632 1 98.75 [7, 5, 4, 6, 0, 7, 1, 2, 5, 5, 1, 5, 5, 2, 7, 4, 7, 3, 3, 5, 3, 1, 5, 1, 7, 5, 6, 1, 0, 7, 3, 3, 4, 1, 5, 3, 5, 5, 1, 5, 6, 3, 4, 1, 7, 3, 7, 1, 7, 3, 1, 1, 2, 3, 5, 1, 7, 7, 7, 1] 
