dagR14.txt 3_2x4.txt True 0.06020066889632107 0.07 1382.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 3, 7, 3, 7, 7, 3, 7, 3, 7, 7, 7, 7, 7, 7, 3, 3, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 3, 7, 3, 7, 3, 7, 3, 7, 7] 
dagR14.txt 3_2x4.txt True 0.09197324414715718 0.1 1087.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 3, 1, 7, 1, 7, 1, 1, 1, 1, 7, 1, 3, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1] 
dagR14.txt 3_2x4.txt True 0.09197324414715718 0.15 1087.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 3, 1, 7, 1, 7, 1, 1, 1, 1, 7, 1, 3, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1] 
dagR14.txt 3_2x4.txt True 0.16387959866220736 0.2 1228.0 [7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 2, 7, 3, 3, 7, 7, 3, 7, 7, 2, 7, 7, 7, 7, 7, 3, 2, 3, 7, 2, 3, 7, 7, 7, 7, 2, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 3, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 7, 7, 0, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 1, 7, 7] 
dagR14.txt 3_2x4.txt True 0.19230769230769232 0.3 1146.25 [7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 7, 3, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 3, 3, 2, 2, 7, 7, 2, 7, 3, 3, 7, 7, 7, 7, 3, 7, 3, 7, 7, 3, 2, 7, 7, 3, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 0, 7, 7, 7, 0, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 1, 7, 0, 1, 1, 0, 7, 7, 1, 1, 0, 7, 7, 7, 0, 1] 
dagR14.txt 3_2x4.txt True 0.19230769230769232 0.4 1146.25 [7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 7, 3, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 3, 3, 2, 2, 7, 7, 2, 7, 3, 3, 7, 7, 7, 7, 3, 7, 3, 7, 7, 3, 2, 7, 7, 3, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 0, 7, 7, 7, 0, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 1, 7, 0, 1, 1, 0, 7, 7, 1, 1, 0, 7, 7, 7, 0, 1] 
dagR14.txt 3_2x4.txt True 0.19230769230769232 0.5 1146.25 [7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 7, 3, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 3, 3, 2, 2, 7, 7, 2, 7, 3, 3, 7, 7, 7, 7, 3, 7, 3, 7, 7, 3, 2, 7, 7, 3, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 0, 7, 7, 7, 0, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 1, 7, 0, 1, 1, 0, 7, 7, 1, 1, 0, 7, 7, 7, 0, 1] 
dagR14.txt 3_2x4.txt True 0.41471571906354515 0.6 325.75 [7, 7, 7, 7, 7, 3, 1, 0, 3, 7, 7, 7, 0, 1, 7, 1, 1, 7, 1, 0, 0, 7, 1, 7, 0, 7, 1, 3, 3, 7, 0, 7, 1, 3, 0, 0, 1, 1, 1, 2, 1, 3, 3, 3, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 2, 1, 1, 1, 2, 1, 2, 3, 2, 3, 3, 1, 3, 3, 3, 2, 2, 3, 3, 1, 1, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 5, 5, 3, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 1, 5, 1, 5, 4, 4, 4, 1, 5, 1, 1, 5, 4, 4, 5, 7, 7, 4, 1, 1, 7, 1, 7, 7, 1, 7, 1, 7, 5, 1, 7, 1, 7, 7, 7, 1, 5, 7, 1, 6, 5, 5, 1, 7, 7, 7, 7, 7, 7, 6, 5, 1, 5, 7, 7, 1, 7, 7, 6, 7, 7, 7, 6, 1, 6, 7, 5, 7, 7, 7, 6] 
dagR14.txt 3_2x4.txt True 0.46488294314381273 0.7 326.75 [4, 3, 3, 4, 3, 5, 5, 5, 5, 3, 5, 3, 5, 5, 3, 3, 3, 3, 5, 5, 5, 4, 5, 1, 5, 3, 3, 5, 5, 5, 1, 5, 5, 5, 5, 1, 6, 1, 1, 7, 6, 5, 4, 5, 3, 5, 7, 5, 6, 5, 4, 4, 6, 1, 4, 7, 5, 1, 4, 1, 5, 5, 5, 7, 6, 7, 7, 1, 4, 7, 7, 5, 5, 6, 7, 1, 5, 7, 5, 1, 1, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 2, 7, 7, 7, 7, 7, 7, 1, 3, 7, 3, 7, 7, 2, 7, 3, 3, 3, 2, 3, 7, 7, 7, 5, 7, 7, 3, 2, 7, 5, 5, 1, 3, 2, 3, 5, 3, 3, 1, 3, 3, 7, 5, 1, 7, 3, 2, 1, 1, 3, 1, 2, 5, 3, 3, 2, 1, 1, 1, 1, 1, 3, 0, 1, 0, 3, 1, 3, 3, 3, 1, 1, 1, 3, 1, 3, 3, 2, 2, 1, 0, 1, 3, 1, 3, 1, 3, 1, 0, 3, 0, 1, 1, 1, 3, 3, 1, 3, 1, 3, 2, 3, 1, 3, 0, 1, 1, 1, 0] 
dagR14.txt 3_2x4.txt True 0.6287625418060201 1 305.75 [5, 1, 4, 5, 3, 4, 4, 1, 4, 5, 7, 5, 3, 1, 1, 5, 4, 4, 5, 4, 3, 5, 5, 7, 5, 5, 4, 5, 4, 5, 5, 5, 3, 5, 1, 5, 7, 7, 5, 5, 7, 7, 7, 5, 5, 5, 7, 7, 7, 4, 7, 7, 5, 7, 7, 7, 5, 7, 5, 7, 7, 7, 6, 7, 7, 7, 6, 5, 7, 6, 1, 5, 6, 7, 7, 7, 6, 1, 5, 6, 6, 3, 6, 1, 3, 6, 1, 7, 3, 7, 5, 1, 1, 1, 3, 3, 3, 1, 6, 3, 5, 3, 3, 3, 3, 7, 3, 7, 2, 6, 3, 2, 3, 3, 3, 3, 3, 2, 7, 3, 5, 3, 2, 5, 2, 7, 3, 1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 3, 2, 3, 3, 0, 3, 1, 1, 3, 1, 1, 5, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 3, 1, 7, 5, 1, 5, 0, 1, 1, 3, 1, 0, 0, 1, 1, 1, 3, 1, 1, 7, 1, 1, 3, 1, 0, 7, 0, 1, 0, 7, 1, 7, 0, 3, 0, 5] 
