dagE38.txt 1234x1.txt True 0.6865671641791045 0.5 10000000476.0 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.5 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6865671641791045 0.6 10000000476.0 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.6 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6965174129353234 0.7 256.5 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 3, 2, 2, 3, 0, 1, 1, 1, 1, 1, 3, 0, 0, 0, 0, 1, 3, 1, 1, 1, 3, 3, 1, 1, 3, 2, 0, 0, 0, 3, 0, 0, 3, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.7 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.7263681592039801 0.8 207.33333333333334 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 3, 3, 2, 1, 3, 2, 2, 3, 0, 1, 2, 1, 1, 1, 2, 0, 3, 0, 0, 1, 3, 1, 3, 1, 3, 3, 1, 1, 3, 2, 0, 0, 0, 3, 0, 0, 3, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.8 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6865671641791045 0.5 10000000476.0 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.5 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6865671641791045 0.6 10000000476.0 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.6 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6965174129353234 0.7 256.5 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 3, 2, 2, 3, 0, 1, 1, 1, 1, 1, 3, 0, 0, 0, 0, 1, 3, 1, 1, 1, 3, 3, 1, 1, 3, 2, 0, 0, 0, 3, 0, 0, 3, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.7 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.7263681592039801 0.8 207.33333333333334 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 3, 3, 2, 1, 3, 2, 2, 3, 0, 1, 2, 1, 1, 1, 2, 0, 3, 0, 0, 1, 3, 1, 3, 1, 3, 3, 1, 1, 3, 2, 0, 0, 0, 3, 0, 0, 3, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.8 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6865671641791045 0.5 10000000476.0 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.5 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
dagE38.txt 1234x1.txt True 0.6865671641791045 0.6 10000000476.0 [2, 2, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 1, 2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1] 
dagE38.txt 1234x3.txt True 0.900497512437811 0.6 10000000154.0 [4, 4, 4, 1, 5, 0, 4, 3, 5, 2, 3, 2, 2, 5, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 3, 4, 4, 5, 0, 11, 0, 10, 11, 11, 9, 10, 5, 11, 5, 1, 8, 9, 1, 8, 10, 11, 9, 8, 1, 8, 7, 10, 7, 9, 7, 11, 6, 9, 10, 11, 6, 3, 8, 6, 6, 7, 7, 8, 7, 11] 
