dagI31.txt 3_2x4.txt True 0.047619047619047616 0.07 675.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagI31.txt 3_2x4.txt True 0.08163265306122448 0.1 658.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1] 
dagI31.txt 3_2x4.txt True 0.11904761904761904 0.15 640.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 4, 7, 7, 4, 5, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 5, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7] 
dagI31.txt 3_2x4.txt True 0.1564625850340136 0.2 599.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 0, 7, 7, 7, 2, 7, 0, 7, 7, 7, 7, 0, 2, 0, 7, 7, 0, 7, 0, 7, 7, 7, 7, 2, 7, 0, 7] 
dagI31.txt 3_2x4.txt True 0.1564625850340136 0.3 599.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 0, 7, 7, 7, 2, 7, 0, 7, 7, 7, 7, 0, 2, 0, 7, 7, 0, 7, 0, 7, 7, 7, 7, 2, 7, 0, 7] 
dagI31.txt 3_2x4.txt True 0.1564625850340136 0.4 599.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 0, 7, 7, 7, 2, 7, 0, 7, 7, 7, 7, 0, 2, 0, 7, 7, 0, 7, 0, 7, 7, 7, 7, 2, 7, 0, 7] 
dagI31.txt 3_2x4.txt True 0.4421768707482993 0.5 200.75 [5, 1, 7, 5, 1, 5, 1, 5, 7, 1, 5, 1, 1, 5, 5, 7, 5, 7, 7, 1, 3, 5, 5, 5, 7, 4, 4, 7, 7, 7, 7, 5, 4, 7, 3, 5, 7, 0, 7, 4, 4, 4, 3, 0, 0, 3, 5, 3, 7, 7, 6, 6, 5, 3, 3, 1, 1, 6, 5, 3, 2, 3, 3, 3, 1, 2, 1, 3, 3, 5, 3, 2, 5, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 3, 5, 1, 1, 1, 5, 5, 1, 5, 5, 1, 3, 5, 1, 1, 5, 5] 
dagI31.txt 3_2x4.txt True 0.5 0.6 210.5 [3, 5, 3, 7, 3, 7, 7, 7, 3, 7, 5, 3, 5, 7, 7, 3, 3, 6, 5, 3, 6, 7, 7, 7, 6, 7, 7, 1, 5, 7, 3, 7, 2, 1, 1, 7, 1, 5, 1, 7, 7, 2, 1, 4, 2, 0, 3, 6, 3, 6, 1, 1, 3, 1, 0, 1, 5, 1, 3, 1, 5, 6, 1, 1, 3, 5, 3, 5, 2, 1, 0, 1, 3, 0, 3, 5, 3, 3, 3, 5, 5, 1, 3, 1, 0, 3, 5, 3, 1, 1, 3, 1, 1, 3, 1, 1, 3, 3, 1, 1] 
dagI31.txt 3_2x4.txt True 0.5170068027210885 0.7 184.0 [1, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 4, 1, 1, 6, 1, 5, 5, 1, 7, 1, 7, 5, 6, 1, 1, 7, 7, 7, 1, 6, 6, 4, 7, 1, 1, 7, 7, 7, 1, 1, 2, 1, 4, 4, 7, 1, 7, 4, 4, 3, 6, 1, 0, 3, 2, 0, 1, 7, 3, 7, 3, 7, 1, 3, 7, 1, 3, 7, 3, 7, 7, 7, 3, 3, 3, 7, 2, 3, 7, 3, 7, 3, 2, 7, 7, 3, 7, 3, 3, 7, 2, 3, 3] 
dagI31.txt 3_2x4.txt True 0.6292517006802721 1 152.0 [7, 1, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 5, 5, 7, 3, 3, 3, 7, 1, 5, 5, 7, 7, 5, 5, 6, 1, 3, 6, 5, 1, 7, 5, 7, 5, 3, 7, 5, 5, 1, 1, 4, 1, 4, 4, 2, 6, 5, 3, 5, 1, 5, 4, 1, 7, 5, 1, 1, 3, 5, 3, 1, 5, 7, 3, 0, 5, 0, 3, 1, 2, 4, 1, 7, 5, 1, 3, 2, 2, 0, 3, 1, 3, 1, 0, 1, 1, 0, 3, 1, 3, 3, 1, 2, 3, 3, 3, 3] 
