dagH62.txt 3_2x4.txt True 0.06896551724137931 0.07 575.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1, 1, 3, 1, 1, 7, 1, 1, 1, 1, 3, 3, 1, 1] 
dagH62.txt 3_2x4.txt True 0.06896551724137931 0.1 575.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1, 1, 3, 1, 1, 7, 1, 1, 1, 1, 3, 3, 1, 1] 
dagH62.txt 3_2x4.txt True 0.09195402298850575 0.15 538.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 1, 7, 7, 7, 2, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 2, 1, 7, 2, 7, 7, 2, 1] 
dagH62.txt 3_2x4.txt True 0.15708812260536398 0.2 485.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 7, 2, 7, 3, 7, 0, 7, 7, 7, 2, 0, 7, 7, 3, 7, 2, 2, 0, 3, 7, 7, 3, 7, 2, 3, 3, 0, 3, 7] 
dagH62.txt 3_2x4.txt True 0.15708812260536398 0.3 485.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 7, 2, 7, 3, 7, 0, 7, 7, 7, 2, 0, 7, 7, 3, 7, 2, 2, 0, 3, 7, 7, 3, 7, 2, 3, 3, 0, 3, 7] 
dagH62.txt 3_2x4.txt True 0.15708812260536398 0.4 485.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 7, 2, 7, 3, 7, 0, 7, 7, 7, 2, 0, 7, 7, 3, 7, 2, 2, 0, 3, 7, 7, 3, 7, 2, 3, 3, 0, 3, 7] 
dagH62.txt 3_2x4.txt True 0.15708812260536398 0.5 485.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 3, 7, 7, 2, 7, 3, 7, 0, 7, 7, 7, 2, 0, 7, 7, 3, 7, 2, 2, 0, 3, 7, 7, 3, 7, 2, 3, 3, 0, 3, 7] 
dagH62.txt 3_2x4.txt True 0.5287356321839081 0.6 163.75 [2, 7, 5, 7, 7, 3, 3, 3, 7, 2, 7, 7, 7, 7, 2, 5, 3, 1, 3, 3, 2, 5, 7, 5, 5, 7, 3, 5, 1, 7, 3, 3, 3, 5, 1, 3, 4, 5, 5, 2, 1, 1, 5, 5, 1, 5, 1, 1, 3, 1, 6, 5, 1, 6, 7, 1, 5, 5, 5, 5, 1, 7, 3, 1, 1, 5, 1, 1, 6, 7, 7, 5, 5, 7, 1, 6, 5, 1, 6, 5, 4, 7, 7, 1, 7] 
dagH62.txt 3_2x4.txt True 0.5210727969348659 0.7 163.0 [3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 2, 3, 1, 3, 3, 4, 1, 3, 4, 1, 3, 3, 1, 1, 1, 1, 3, 3, 3, 3, 1, 7, 2, 7, 1, 4, 1, 7, 5, 6, 6, 3, 1, 7, 7, 6, 2, 1, 5, 7, 3, 5, 5, 7, 5, 7, 5, 1, 7, 7, 5, 1, 3, 6, 7, 5, 2, 4, 5, 5, 6, 7, 4, 5, 2, 5, 5, 5, 5, 5] 
dagH62.txt 3_2x4.txt True 0.7509578544061303 1 154.0 [5, 5, 7, 7, 7, 3, 3, 3, 5, 1, 7, 5, 7, 3, 6, 5, 3, 1, 5, 7, 7, 1, 5, 3, 5, 6, 6, 5, 1, 7, 1, 5, 3, 7, 2, 6, 7, 5, 0, 7, 3, 1, 1, 7, 1, 1, 7, 5, 3, 5, 1, 3, 0, 2, 7, 2, 3, 0, 1, 1, 4, 4, 5, 1, 1, 7, 3, 7, 5, 1, 5, 3, 5, 4, 3, 3, 1, 0, 2, 3, 1, 4, 5, 3, 5] 
