dag35.txt 3_2x4.txt 0.0891089108910891 0.1 2386602.6666666665 [0, 2, 4, 0, 2, 0, 0, 4, 0, 0, 0, 4, 0, 4, 2, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0] 
dag35.txt 3_2x4.txt 0.1485148514851485 0.15 1348949.3333333333 [0, 4, 4, 0, 2, 2, 4, 4, 2, 0, 2, 2, 0, 4, 2, 2, 0, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0] 
dag35.txt 3_2x4.txt 0.3564356435643564 0.4 469674.6666666667 [1, 7, 2, 4, 7, 7, 0, 2, 3, 0, 1, 2, 3, 2, 7, 1, 3, 7, 3, 2, 1, 0, 4, 4, 0, 4, 6, 0, 6, 4, 1, 4, 5, 5, 6, 6, 1, 6, 1, 2, 2, 2, 1, 5, 1, 5, 4, 2, 2, 2, 2, 2, 0, 2, 0, 0, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6] 
dag35.txt 3_2x4.txt 0.39603960396039606 0.7 475136.0 [4, 7, 5, 2, 6, 6, 6, 5, 0, 0, 4, 0, 3, 5, 6, 4, 2, 7, 3, 5, 7, 3, 4, 5, 3, 4, 4, 1, 4, 5, 7, 1, 7, 7, 4, 4, 6, 1, 2, 1, 0, 6, 3, 3, 3, 6, 2, 6, 0, 0, 6, 6, 0, 0, 0, 0, 2, 0, 2, 2, 6, 2, 2, 2, 2, 2] 
dag35.txt 3_2x4.txt 0.38613861386138615 0.45 464213.3333333333 [2, 5, 4, 0, 5, 4, 1, 4, 7, 6, 2, 3, 2, 4, 5, 2, 7, 5, 2, 3, 2, 6, 4, 3, 6, 0, 0, 0, 6, 4, 2, 0, 4, 2, 0, 0, 2, 0, 6, 3, 7, 7, 2, 2, 2, 2, 0, 7, 3, 3, 7, 7, 6, 1, 6, 6, 6, 1, 0, 1, 5, 6, 0, 6, 1, 6] 
dag35.txt 3_2x4.txt 0.19801980198019803 0.2 999424.0 [2, 4, 0, 2, 4, 4, 0, 0, 0, 0, 4, 0, 4, 0, 4, 2, 2, 4, 4, 0, 4, 0, 2, 0, 0, 2, 2, 0, 4, 0, 4, 2, 0, 4, 2, 2, 4, 2, 2, 2, 0, 4, 4, 4, 4, 4, 2, 4, 2, 2, 4, 4, 0, 2, 0, 0, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2] 
dag35.txt 3_2x4.txt 0.39603960396039606 0.5 475136.0 [0, 7, 2, 1, 0, 7, 6, 2, 2, 6, 4, 2, 4, 2, 0, 0, 6, 0, 4, 2, 0, 6, 4, 2, 6, 1, 0, 1, 3, 2, 4, 1, 4, 4, 3, 3, 5, 3, 0, 3, 2, 5, 4, 4, 5, 5, 1, 5, 5, 5, 5, 5, 6, 5, 6, 6, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0] 
dag35.txt 3_2x4.txt 0.42574257425742573 0.55 475136.0 [4, 6, 7, 4, 0, 0, 6, 7, 2, 4, 0, 2, 0, 7, 0, 0, 4, 0, 0, 2, 0, 1, 4, 2, 1, 3, 4, 6, 1, 2, 0, 7, 7, 5, 4, 1, 0, 3, 0, 3, 2, 5, 0, 5, 0, 5, 3, 5, 2, 2, 5, 5, 6, 2, 6, 6, 4, 6, 4, 6, 4, 4, 3, 4, 3, 3] 
dag35.txt 3_2x4.txt 0.3465346534653465 0.35 480597.3333333333 [1, 3, 5, 2, 3, 3, 6, 5, 2, 4, 1, 5, 4, 5, 3, 1, 2, 3, 4, 5, 1, 4, 0, 0, 4, 0, 0, 0, 4, 2, 1, 0, 1, 1, 0, 0, 6, 0, 3, 5, 5, 6, 6, 6, 6, 6, 2, 6, 5, 5, 6, 6, 4, 6, 4, 4, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7] 
dag35.txt 3_2x4.txt 0.2871287128712871 0.3 606208.0 [2, 3, 6, 0, 3, 2, 4, 6, 1, 4, 2, 6, 2, 6, 3, 2, 2, 3, 2, 6, 2, 4, 0, 0, 4, 0, 0, 4, 5, 1, 2, 0, 1, 1, 0, 5, 2, 5, 2, 5, 6, 6, 2, 2, 2, 2, 0, 6, 6, 6, 6, 6, 4, 6, 4, 4, 2, 6, 0, 0, 3, 0, 0, 0, 0, 0] 
