dag62.txt 3_2x4.txt 0.08974358974358974 0.1 1234261.3333333333 [0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2] 
dag62.txt 3_2x4.txt 0.38461538461538464 0.7 303104.0 [4, 2, 3, 1, 4, 7, 6, 0, 2, 0, 4, 6, 2, 6, 1, 7, 1, 7, 2, 7, 2, 7, 7, 2, 2, 7, 4, 4, 4, 2, 2, 0, 4, 7, 3, 4, 3, 4, 4, 2, 2, 1, 2, 5, 2, 6, 5, 0, 6, 3, 6, 5, 6] 
dag62.txt 3_2x4.txt 0.3717948717948718 0.65 303104.0 [7, 3, 4, 4, 7, 0, 6, 6, 1, 0, 7, 6, 4, 0, 7, 0, 3, 0, 3, 0, 3, 0, 0, 3, 4, 4, 4, 2, 2, 0, 3, 5, 2, 0, 2, 7, 2, 2, 7, 3, 3, 4, 4, 4, 6, 6, 1, 5, 6, 1, 6, 1, 6] 
dag62.txt 3_2x4.txt 0.5512820512820513 0.6 286720.0 [1, 2, 3, 1, 1, 6, 6, 4, 6, 7, 1, 4, 6, 2, 7, 2, 5, 1, 1, 2, 1, 2, 2, 2, 1, 6, 2, 5, 2, 6, 2, 4, 2, 2, 0, 1, 2, 0, 1, 1, 1, 1, 3, 0, 1, 6, 0, 4, 6, 6, 6, 6, 6] 
dag62.txt 3_2x4.txt 0.1282051282051282 0.15 922965.3333333334 [2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0] 
dag62.txt 3_2x4.txt 0.4358974358974359 0.5 294912.0 [2, 7, 6, 5, 2, 7, 2, 3, 4, 4, 2, 6, 6, 0, 0, 0, 7, 0, 7, 0, 5, 0, 0, 7, 5, 7, 2, 6, 2, 7, 7, 3, 2, 7, 1, 2, 1, 2, 2, 7, 5, 5, 5, 2, 5, 2, 1, 3, 2, 4, 4, 4, 4] 
dag62.txt 3_2x4.txt 0.5384615384615384 0.8 289450.6666666667 [2, 6, 7, 4, 6, 6, 0, 0, 4, 3, 6, 5, 4, 6, 7, 6, 6, 6, 6, 6, 4, 5, 2, 6, 4, 4, 1, 2, 1, 6, 6, 0, 4, 6, 4, 2, 1, 2, 2, 6, 2, 4, 4, 1, 1, 6, 0, 0, 1, 1, 3, 1, 1] 
dag62.txt 3_2x4.txt 0.5897435897435898 1 289450.6666666667 [1, 4, 7, 1, 1, 1, 6, 2, 4, 3, 1, 5, 4, 4, 2, 4, 4, 1, 1, 4, 1, 5, 0, 4, 4, 6, 6, 0, 6, 1, 1, 2, 0, 4, 0, 1, 6, 0, 1, 1, 1, 1, 3, 6, 1, 6, 7, 2, 6, 6, 6, 6, 6] 
dag62.txt 3_2x4.txt 0.5897435897435898 0.9 289450.6666666667 [1, 4, 7, 1, 1, 1, 6, 2, 4, 3, 1, 5, 4, 4, 2, 4, 4, 1, 1, 4, 1, 5, 0, 4, 4, 6, 6, 0, 6, 1, 1, 2, 0, 4, 0, 1, 6, 0, 1, 1, 1, 1, 3, 6, 1, 6, 7, 2, 6, 6, 6, 6, 6] 
dag62.txt 3_2x4.txt 0.3974358974358974 0.4 294912.0 [3, 2, 7, 3, 3, 0, 6, 6, 4, 7, 3, 6, 4, 7, 3, 0, 4, 0, 2, 0, 0, 2, 0, 2, 4, 0, 0, 0, 0, 2, 2, 5, 5, 0, 4, 3, 4, 0, 3, 2, 2, 3, 2, 1, 2, 6, 1, 5, 6, 4, 6, 1, 6] 
