dag20.txt 3_2x4.txt 0.44 1 486058.6666666667 [3, 0, 5, 4, 3, 2, 5, 4, 4, 2, 1, 5, 7, 2, 4, 4, 3, 5, 1, 0, 0, 3, 3, 5, 2, 5, 5, 2, 4, 5, 3, 2, 5, 5, 2, 5, 1, 2, 3, 7, 1, 3, 5, 3, 7, 3, 3, 3, 3, 3, 1, 3, 4, 7, 3, 7, 7, 6, 4, 7, 2, 4, 4, 7, 7, 2, 0, 6, 7, 7, 7, 7, 3, 7, 0, 6, 6, 0, 0, 6, 0, 6, 4, 6, 4, 4] 
dag20.txt 4_1x1.txt 0.08 1 1875968.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0] 
dag20.txt 4_1x5.txt 0.424 1 393216.0 [2, 0, 3, 4, 2, 8, 0, 7, 6, 8, 4, 3, 6, 0, 6, 2, 0, 0, 4, 6, 2, 7, 4, 3, 8, 2, 0, 8, 0, 3, 4, 4, 0, 0, 8, 0, 2, 4, 6, 6, 2, 4, 2, 4, 6, 4, 2, 2, 0, 4, 9, 4, 6, 9, 6, 9, 6, 6, 0, 8, 8, 6, 6, 6, 1, 8, 6, 8, 1, 6, 1, 1, 6, 8, 0, 8, 2, 0, 5, 2, 5, 5, 7, 0, 2, 2] 
dag20.txt 5_4_3_2x2.txt 0.36 1 352256.0 [0, 1, 0, 2, 3, 4, 0, 3, 6, 4, 2, 0, 7, 0, 6, 0, 3, 0, 2, 7, 0, 3, 7, 0, 4, 0, 3, 5, 6, 0, 2, 6, 6, 6, 6, 6, 2, 6, 7, 6, 2, 2, 0, 2, 6, 4, 0, 0, 3, 4, 4, 4, 6, 4, 7, 4, 7, 7, 0, 4, 4, 4, 0, 0, 4, 4, 1, 5, 4, 5, 6, 6, 1, 5, 1, 5, 5, 1, 1, 5, 1, 1, 6, 1, 1, 1] 
dag20.txt 3_2x3.txt 0.344 1 644437.3333333334 [0, 1, 5, 5, 2, 0, 2, 2, 0, 0, 5, 5, 4, 2, 0, 3, 0, 2, 5, 1, 3, 2, 3, 5, 0, 5, 0, 0, 0, 4, 5, 0, 2, 4, 0, 0, 3, 0, 4, 0, 3, 3, 2, 3, 0, 0, 2, 2, 3, 0, 4, 0, 2, 0, 4, 4, 4, 4, 3, 4, 0, 2, 3, 3, 4, 4, 1, 1, 4, 3, 0, 0, 2, 4, 1, 1, 0, 2, 0, 2, 1, 1, 2, 2, 2, 2] 
dag20.txt 5_4_3_2x3.txt 0.4 1 256682.66666666666 [1, 8, 2, 8, 1, 3, 11, 1, 10, 5, 7, 2, 4, 11, 4, 0, 10, 11, 6, 8, 0, 1, 4, 2, 3, 4, 2, 3, 10, 4, 4, 0, 2, 2, 3, 2, 4, 3, 4, 10, 4, 4, 11, 4, 10, 6, 1, 11, 0, 6, 6, 6, 0, 6, 4, 6, 4, 4, 10, 5, 5, 0, 0, 0, 6, 5, 8, 8, 5, 10, 10, 10, 1, 10, 8, 9, 9, 1, 2, 9, 8, 1, 2, 1, 9, 9] 
dag20.txt 4_1x2.txt 0.224 1 950272.0 [0, 2, 0, 0, 0, 1, 0, 0, 3, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 3, 1, 3, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 3, 2, 0, 2, 2, 2, 3, 2, 1, 0, 0, 0, 2, 2, 2, 2, 2, 3, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2] 
dag20.txt 5_4_3_2x5.txt 0.488 1 157286.4 [1, 10, 17, 11, 1, 18, 2, 1, 16, 18, 5, 17, 14, 2, 14, 4, 16, 2, 5, 13, 4, 1, 8, 17, 18, 3, 16, 18, 16, 17, 8, 18, 17, 17, 18, 16, 8, 15, 14, 16, 8, 8, 2, 8, 16, 8, 1, 2, 9, 8, 6, 8, 4, 16, 14, 6, 14, 14, 8, 6, 0, 4, 4, 4, 6, 0, 13, 0, 9, 4, 7, 7, 1, 7, 10, 19, 12, 10, 16, 12, 10, 16, 12, 16, 12, 12] 
dag20.txt 4_1x4.txt 0.464 1 503808.0 [7, 6, 2, 6, 5, 0, 1, 6, 7, 0, 2, 2, 6, 2, 5, 4, 0, 1, 4, 6, 4, 5, 3, 2, 0, 2, 0, 7, 7, 6, 1, 0, 2, 2, 7, 7, 1, 0, 5, 7, 1, 1, 5, 1, 7, 0, 5, 5, 4, 0, 2, 0, 7, 0, 5, 0, 3, 3, 0, 0, 0, 0, 4, 4, 0, 0, 6, 4, 4, 4, 4, 4, 5, 4, 2, 4, 6, 2, 2, 6, 6, 2, 2, 2, 2, 2] 
dag20.txt 5_4_3_2x4.txt 0.504 1 183500.8 [0, 13, 5, 6, 0, 4, 0, 10, 12, 4, 3, 5, 9, 0, 1, 12, 12, 0, 1, 6, 14, 0, 5, 5, 4, 2, 12, 13, 12, 7, 1, 10, 5, 5, 4, 12, 5, 4, 1, 4, 5, 1, 0, 9, 12, 12, 0, 0, 1, 0, 2, 9, 12, 9, 1, 9, 9, 11, 12, 9, 4, 12, 12, 12, 9, 0, 15, 14, 9, 12, 8, 8, 13, 8, 13, 8, 4, 13, 5, 8, 13, 13, 8, 13, 8, 8] 
