dag64.txt 3_2x4.txt 0.1 0.1 824661.3333333334 [2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2] 
dag64.txt 3_2x4.txt 0.6333333333333333 0.65 262144.0 [0, 2, 5, 2, 1, 3, 6, 2, 6, 1, 0, 2, 0, 0, 2, 0, 0, 3, 5, 2, 2, 7, 4, 2, 4, 2, 2, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag64.txt 3_2x4.txt 0.5666666666666667 0.6 262144.0 [0, 0, 1, 2, 1, 5, 4, 0, 4, 4, 2, 2, 2, 0, 2, 0, 2, 5, 6, 2, 2, 6, 6, 0, 3, 2, 2, 2, 2, 2, 7, 3, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0] 
dag64.txt 3_2x4.txt 0.6333333333333333 0.8 262144.0 [0, 2, 5, 2, 1, 3, 6, 2, 6, 1, 0, 2, 0, 0, 2, 0, 0, 3, 5, 2, 2, 7, 4, 2, 4, 2, 2, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag64.txt 3_2x4.txt 0.4166666666666667 0.45 262144.0 [0, 6, 3, 2, 7, 7, 6, 4, 4, 3, 6, 2, 6, 4, 6, 4, 2, 5, 2, 6, 6, 0, 4, 0, 0, 6, 0, 6, 2, 6, 5, 2, 0, 4, 1, 1, 1, 1, 0, 6, 1, 1, 1] 
dag64.txt 3_2x4.txt 0.15 0.15 786432.0 [0, 0, 4, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2] 
dag64.txt 3_2x4.txt 0.48333333333333334 0.55 262144.0 [0, 2, 1, 0, 1, 5, 6, 4, 6, 6, 2, 0, 2, 4, 2, 4, 2, 3, 3, 0, 0, 7, 5, 0, 0, 2, 2, 2, 2, 2, 4, 7, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4] 
dag64.txt 3_2x4.txt 0.6333333333333333 0.9 262144.0 [0, 2, 5, 2, 1, 3, 6, 2, 6, 1, 0, 2, 0, 0, 2, 0, 0, 3, 5, 2, 2, 7, 4, 2, 4, 2, 2, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag64.txt 3_2x4.txt 0.48333333333333334 0.5 262144.0 [0, 2, 1, 0, 1, 5, 6, 4, 6, 6, 2, 0, 2, 4, 2, 4, 2, 3, 3, 0, 0, 7, 5, 0, 0, 2, 2, 2, 2, 2, 4, 7, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4] 
dag64.txt 3_2x4.txt 0.6333333333333333 1 262144.0 [0, 2, 5, 2, 1, 3, 6, 2, 6, 1, 0, 2, 0, 0, 2, 0, 0, 3, 5, 2, 2, 7, 4, 2, 4, 2, 2, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag64.txt 3_2x4.txt 0.6333333333333333 0.7 262144.0 [0, 2, 5, 2, 1, 3, 6, 2, 6, 1, 0, 2, 0, 0, 2, 0, 0, 3, 5, 2, 2, 7, 4, 2, 4, 2, 2, 0, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag64.txt 3_2x4.txt 0.35 0.35 289450.6666666667 [2, 1, 6, 7, 4, 3, 5, 0, 3, 5, 3, 4, 1, 0, 1, 0, 4, 7, 4, 7, 7, 2, 0, 2, 2, 1, 1, 1, 1, 1, 0, 4, 1, 0, 6, 6, 6, 6, 1, 1, 1, 6, 6] 
dag64.txt 3_2x4.txt 0.3 0.3 327680.0 [3, 2, 4, 6, 0, 4, 5, 0, 4, 5, 4, 6, 2, 0, 2, 0, 6, 6, 2, 5, 5, 3, 0, 3, 3, 2, 2, 2, 2, 2, 0, 6, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2] 
