dag69.txt 3_2x4.txt 0.09574468085106383 0.1 1731242.6666666667 [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 2, 2, 2] 
dag69.txt 3_2x4.txt 0.13829787234042554 0.15 1185109.3333333333 [0, 0, 2, 2, 2, 2, 0, 0, 2, 4, 2, 0, 2, 4, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2] 
dag69.txt 3_2x4.txt 0.425531914893617 0.8 385024.0 [5, 7, 1, 2, 1, 2, 0, 7, 1, 7, 2, 5, 1, 7, 7, 1, 5, 2, 1, 2, 5, 1, 6, 7, 2, 1, 7, 5, 3, 4, 6, 2, 6, 4, 4, 0, 2, 7, 0, 2, 6, 3, 4, 3, 4, 2, 0, 3, 0, 2, 3, 2, 2, 0, 0, 0, 0, 3, 0, 2, 0] 
dag69.txt 3_2x4.txt 0.6702127659574468 0.7 393216.0 [2, 4, 2, 0, 3, 2, 2, 0, 0, 0, 0, 3, 0, 1, 2, 2, 3, 2, 5, 2, 0, 0, 7, 0, 0, 0, 0, 0, 6, 1, 1, 0, 5, 5, 7, 0, 0, 2, 2, 0, 4, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 6, 0, 0, 0, 0, 6, 6] 
dag69.txt 3_2x4.txt 0.5212765957446809 0.65 393216.0 [2, 2, 0, 0, 3, 2, 0, 2, 0, 0, 0, 3, 0, 1, 2, 0, 3, 2, 5, 0, 2, 0, 4, 2, 0, 0, 2, 2, 4, 4, 4, 0, 7, 6, 6, 2, 0, 1, 5, 0, 6, 0, 2, 0, 7, 0, 2, 6, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 5, 7] 
dag69.txt 3_2x4.txt 0.6702127659574468 1 393216.0 [2, 4, 2, 0, 3, 2, 2, 0, 0, 0, 0, 3, 0, 1, 2, 2, 3, 2, 5, 2, 0, 0, 7, 0, 0, 0, 0, 0, 6, 1, 1, 0, 5, 5, 7, 0, 0, 2, 2, 0, 4, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 6, 0, 0, 0, 0, 6, 6] 
dag69.txt 3_2x4.txt 0.24468085106382978 0.25 606208.0 [2, 2, 0, 0, 1, 2, 0, 2, 0, 6, 6, 2, 0, 6, 2, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 6, 2, 4, 4, 4, 6, 4, 4, 6, 6, 6, 4, 6, 4, 6, 4, 6, 4, 6, 6, 0, 6, 4, 4, 0, 0, 6, 0, 6, 0] 
dag69.txt 3_2x4.txt 0.6702127659574468 0.9 393216.0 [2, 4, 2, 0, 3, 2, 2, 0, 0, 0, 0, 3, 0, 1, 2, 2, 3, 2, 5, 2, 0, 0, 7, 0, 0, 0, 0, 0, 6, 1, 1, 0, 5, 5, 7, 0, 0, 2, 2, 0, 4, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 6, 0, 0, 0, 0, 6, 6] 
dag69.txt 3_2x4.txt 0.5212765957446809 0.6 393216.0 [0, 0, 2, 2, 3, 0, 2, 0, 2, 2, 2, 3, 2, 1, 0, 2, 3, 0, 5, 2, 0, 2, 4, 0, 2, 2, 0, 0, 7, 4, 4, 2, 4, 6, 6, 0, 2, 1, 5, 2, 6, 2, 0, 2, 7, 2, 0, 6, 0, 2, 2, 2, 1, 0, 0, 2, 2, 2, 2, 5, 7] 
dag69.txt 3_2x4.txt 0.5106382978723404 0.55 393216.0 [0, 0, 2, 2, 3, 0, 4, 0, 2, 0, 0, 5, 2, 7, 0, 2, 6, 0, 6, 2, 0, 2, 1, 0, 2, 2, 0, 0, 3, 1, 6, 0, 6, 3, 7, 4, 0, 5, 4, 0, 1, 2, 4, 0, 4, 0, 4, 5, 4, 0, 0, 2, 0, 4, 4, 2, 2, 2, 2, 2, 2] 
dag69.txt 3_2x4.txt 0.3829787234042553 0.4 393216.0 [1, 1, 3, 3, 4, 2, 0, 5, 0, 5, 2, 6, 0, 5, 5, 0, 5, 2, 3, 3, 5, 0, 3, 5, 3, 0, 5, 1, 0, 6, 6, 2, 2, 0, 0, 1, 2, 1, 1, 2, 2, 2, 0, 2, 6, 2, 7, 4, 7, 2, 4, 3, 4, 7, 7, 7, 7, 4, 7, 4, 7] 
dag69.txt 3_2x4.txt 0.4787234042553192 0.5 393216.0 [4, 4, 3, 3, 7, 2, 5, 4, 2, 0, 2, 7, 3, 0, 4, 2, 7, 2, 3, 2, 4, 2, 6, 4, 2, 2, 4, 4, 2, 1, 1, 2, 1, 4, 5, 4, 2, 0, 0, 2, 5, 2, 5, 4, 0, 2, 3, 4, 3, 2, 4, 3, 6, 5, 3, 3, 3, 2, 3, 6, 6] 
dag69.txt 3_2x4.txt 0.425531914893617 0.45 393216.0 [5, 3, 1, 0, 1, 4, 7, 3, 1, 3, 6, 4, 1, 3, 3, 1, 4, 4, 1, 0, 5, 1, 6, 3, 2, 1, 5, 3, 2, 4, 2, 6, 2, 7, 4, 5, 6, 3, 5, 7, 7, 2, 0, 2, 0, 6, 0, 5, 0, 6, 6, 0, 6, 7, 0, 5, 0, 2, 0, 6, 0] 
dag69.txt 3_2x4.txt 0.2978723404255319 0.3 480597.3333333333 [6, 6, 4, 4, 5, 1, 0, 6, 4, 6, 2, 6, 4, 6, 6, 4, 6, 1, 4, 4, 6, 4, 4, 6, 4, 4, 6, 6, 4, 1, 1, 2, 1, 0, 0, 3, 2, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 6, 0, 2, 2, 4, 2, 0, 0, 4, 4, 2, 0, 2, 0] 
dag69.txt 5_4_3_2x2.txt 0.09574468085106383 0.1 1038745.6 [0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 4, 4, 4, 0, 0, 0, 4, 4, 4] 
