dag48.txt 3_2x4.txt 0.5581395348837209 0.65 398677.3333333333 [5, 2, 1, 5, 6, 4, 1, 6, 6, 6, 6, 2, 6, 7, 3, 3, 4, 2, 6, 5, 0, 2, 0, 0, 6, 0, 7, 6, 6, 6, 6, 6, 2, 2, 1, 6, 4, 4, 0, 0, 0, 4, 4, 4, 3, 7, 6, 4, 6, 4, 0, 0, 4, 4, 0, 4, 4, 4] 
dag48.txt 3_2x4.txt 0.5581395348837209 0.6 393216.0 [5, 2, 1, 1, 4, 2, 5, 4, 4, 6, 4, 4, 6, 1, 3, 7, 2, 5, 4, 0, 2, 0, 6, 0, 4, 0, 3, 7, 4, 4, 4, 4, 3, 7, 2, 4, 2, 0, 2, 2, 0, 0, 6, 2, 0, 2, 4, 4, 4, 4, 2, 2, 0, 6, 6, 6, 6, 6] 
dag48.txt 3_2x4.txt 0.09302325581395349 0.1 1611093.3333333333 [0, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag48.txt 3_2x4.txt 0.4186046511627907 0.45 425984.0 [7, 0, 7, 2, 4, 6, 2, 3, 0, 2, 5, 0, 2, 0, 3, 2, 6, 2, 3, 6, 3, 7, 3, 3, 4, 6, 4, 4, 4, 4, 4, 4, 0, 0, 6, 6, 6, 6, 1, 1, 3, 6, 3, 6, 5, 6, 4, 5, 5, 5, 0, 1, 2, 1, 1, 1, 5, 1] 
dag48.txt 3_2x4.txt 0.38372093023255816 0.4 431445.3333333333 [3, 6, 6, 4, 2, 7, 0, 2, 6, 2, 0, 6, 2, 6, 0, 2, 7, 4, 2, 5, 0, 4, 5, 5, 2, 5, 2, 2, 2, 2, 2, 2, 6, 4, 7, 7, 7, 5, 0, 0, 0, 0, 5, 0, 6, 7, 1, 1, 1, 1, 0, 7, 7, 7, 3, 3, 5, 3] 
dag48.txt 3_2x4.txt 0.4186046511627907 0.5 425984.0 [7, 0, 7, 2, 4, 6, 2, 3, 0, 2, 5, 0, 2, 0, 3, 2, 6, 2, 3, 6, 3, 7, 3, 3, 4, 6, 4, 4, 4, 4, 4, 4, 0, 0, 6, 6, 6, 6, 1, 1, 3, 6, 3, 6, 5, 6, 4, 5, 5, 5, 0, 1, 2, 1, 1, 1, 5, 1] 
dag48.txt 3_2x4.txt 0.5116279069767442 0.8 393216.0 [5, 4, 1, 1, 4, 2, 5, 4, 4, 6, 4, 4, 6, 3, 3, 7, 2, 6, 4, 1, 2, 6, 5, 2, 4, 2, 7, 4, 4, 4, 4, 4, 6, 6, 3, 2, 4, 2, 0, 0, 2, 2, 2, 2, 7, 2, 4, 0, 4, 0, 2, 2, 2, 0, 0, 0, 0, 0] 
dag48.txt 3_2x4.txt 0.5116279069767442 0.55 393216.0 [5, 4, 1, 1, 4, 2, 5, 4, 4, 6, 4, 4, 6, 3, 3, 7, 2, 6, 4, 1, 2, 6, 5, 2, 4, 2, 7, 4, 4, 4, 4, 4, 6, 6, 3, 2, 4, 2, 0, 0, 2, 2, 2, 2, 7, 2, 4, 0, 4, 0, 2, 2, 2, 0, 0, 0, 0, 0] 
dag48.txt 3_2x4.txt 0.3488372093023256 0.35 431445.3333333333 [4, 1, 6, 3, 2, 5, 7, 2, 6, 7, 0, 6, 7, 1, 6, 7, 5, 3, 2, 5, 0, 3, 4, 0, 2, 0, 6, 2, 2, 2, 2, 2, 1, 1, 5, 0, 5, 0, 0, 0, 0, 0, 4, 0, 2, 0, 6, 2, 2, 2, 0, 0, 0, 0, 4, 4, 4, 4] 
dag48.txt 3_2x4.txt 0.5232558139534884 0.7 398677.3333333333 [5, 4, 1, 1, 6, 4, 5, 6, 4, 6, 4, 4, 6, 1, 3, 7, 4, 6, 6, 5, 0, 6, 0, 0, 6, 0, 3, 7, 6, 6, 6, 6, 3, 7, 4, 4, 4, 0, 4, 4, 6, 0, 0, 6, 2, 0, 2, 2, 4, 2, 0, 0, 4, 4, 4, 4, 2, 2] 
dag48.txt 3_2x4.txt 0.5116279069767442 0.9 393216.0 [5, 4, 1, 1, 4, 2, 5, 4, 4, 6, 4, 4, 6, 3, 3, 7, 2, 6, 4, 1, 2, 6, 5, 2, 4, 2, 7, 4, 4, 4, 4, 4, 6, 6, 3, 2, 4, 2, 0, 0, 2, 2, 2, 2, 7, 2, 4, 0, 4, 0, 2, 2, 2, 0, 0, 0, 0, 0] 
dag48.txt 3_2x4.txt 0.2441860465116279 0.25 655360.0 [4, 2, 2, 6, 2, 2, 6, 2, 2, 6, 4, 2, 6, 2, 4, 6, 2, 6, 2, 4, 4, 6, 4, 4, 2, 4, 2, 2, 2, 2, 2, 2, 6, 6, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0] 
dag48.txt 3_2x4.txt 0.5232558139534884 1 398677.3333333333 [5, 4, 1, 1, 6, 4, 5, 6, 4, 6, 4, 4, 6, 1, 3, 7, 4, 6, 6, 5, 0, 6, 0, 0, 6, 0, 3, 7, 6, 6, 6, 6, 3, 7, 4, 4, 4, 0, 4, 4, 6, 0, 0, 6, 2, 0, 2, 2, 4, 2, 0, 0, 4, 4, 4, 4, 2, 2] 
dag48.txt 3_2x4.txt 0.12790697674418605 0.15 1299797.3333333333 [0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag48.txt 3_2x4.txt 0.29069767441860467 0.3 565248.0 [2, 4, 4, 3, 6, 4, 3, 6, 4, 3, 1, 4, 3, 4, 1, 3, 4, 3, 6, 4, 2, 0, 2, 2, 6, 2, 6, 6, 6, 6, 6, 6, 0, 0, 4, 2, 4, 2, 0, 0, 2, 2, 2, 2, 1, 2, 6, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 0] 
dag48.txt 3_2x4.txt 0.19767441860465115 0.2 868352.0 [2, 4, 4, 0, 0, 2, 0, 0, 4, 0, 2, 4, 0, 4, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 4, 4, 2, 2, 4, 2, 4, 4, 2, 2, 2, 2, 2, 4, 0, 2, 2, 2, 4, 4, 2, 4, 4, 4, 2, 4] 
dag48.txt 5_4_3_2x2.txt 0.5232558139534884 0.55 291635.2 [3, 4, 2, 6, 5, 1, 7, 5, 5, 5, 5, 4, 5, 4, 6, 2, 1, 4, 5, 3, 0, 4, 0, 0, 5, 0, 7, 5, 5, 5, 5, 5, 4, 4, 0, 5, 1, 1, 0, 0, 0, 1, 1, 1, 2, 6, 5, 1, 5, 1, 0, 0, 1, 1, 0, 1, 1, 1] 
dag48.txt 5_4_3_2x2.txt 0.5 0.6 291635.2 [3, 1, 2, 6, 5, 1, 2, 5, 1, 5, 1, 1, 5, 6, 3, 7, 1, 5, 5, 0, 0, 5, 0, 0, 5, 0, 7, 4, 5, 5, 5, 5, 2, 6, 1, 1, 1, 0, 1, 1, 5, 0, 0, 5, 4, 0, 4, 4, 1, 4, 0, 0, 1, 1, 1, 1, 4, 4] 
dag48.txt 5_4_3_2x2.txt 0.4186046511627907 0.45 300373.3333333333 [2, 7, 6, 3, 0, 7, 1, 0, 6, 4, 2, 6, 4, 5, 2, 0, 7, 0, 0, 3, 2, 4, 2, 2, 0, 4, 6, 0, 0, 0, 0, 0, 5, 4, 7, 0, 7, 4, 5, 4, 0, 4, 4, 0, 1, 5, 6, 1, 2, 1, 5, 5, 0, 0, 4, 4, 1, 1] 
