dagR14.txt 3_2x4.txt True 0.06020066889632107 0.07 1382.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1, 5, 1, 5, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1, 5, 5, 5, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 5, 1, 5, 1, 1] 
dagR14.txt 3_2x4.txt True 0.07859531772575251 0.1 1087.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagR14.txt 3_2x4.txt True 0.07859531772575251 0.15 1087.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagR14.txt 3_2x4.txt True 0.1705685618729097 0.2 1228.0 [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 3, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3, 2, 1, 3, 2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 5, 1, 1, 1, 4, 1, 1, 1, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 5, 1, 1] 
dagR14.txt 3_2x4.txt True 0.21906354515050167 0.3 1146.25 [3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 3, 3, 3, 4, 3, 6, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 6, 4, 4, 5, 3, 3, 5, 3, 4, 6, 3, 3, 3, 3, 4, 3, 5, 3, 3, 6, 5, 3, 3, 5, 4, 4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 7, 3, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 3, 7, 1, 0, 1, 3, 3, 2, 1, 1, 3, 3, 3, 1, 1] 
dagR14.txt 3_2x4.txt True 0.21906354515050167 0.4 1146.25 [3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 3, 3, 3, 4, 3, 6, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 6, 4, 4, 5, 3, 3, 5, 3, 4, 6, 3, 3, 3, 3, 4, 3, 5, 3, 3, 6, 5, 3, 3, 5, 4, 4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 7, 3, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 3, 7, 1, 0, 1, 3, 3, 2, 1, 1, 3, 3, 3, 1, 1] 
dagR14.txt 3_2x4.txt True 0.21906354515050167 0.5 1146.25 [3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 7, 3, 3, 3, 4, 3, 6, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 6, 4, 4, 5, 3, 3, 5, 3, 4, 6, 3, 3, 3, 3, 4, 3, 5, 3, 3, 6, 5, 3, 3, 5, 4, 4, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 7, 3, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 3, 7, 1, 0, 1, 3, 3, 2, 1, 1, 3, 3, 3, 1, 1] 
dagR14.txt 3_2x4.txt True 0.5050167224080268 0.6 336.75 [7, 7, 7, 7, 7, 5, 4, 6, 5, 7, 7, 7, 6, 5, 7, 5, 4, 7, 0, 6, 6, 7, 5, 7, 6, 7, 0, 5, 5, 7, 7, 7, 5, 5, 7, 7, 0, 3, 5, 4, 0, 5, 7, 5, 0, 5, 7, 3, 0, 5, 7, 7, 5, 3, 7, 7, 2, 0, 5, 3, 2, 3, 2, 4, 4, 7, 5, 5, 7, 3, 7, 2, 2, 7, 7, 3, 3, 3, 2, 5, 3, 7, 3, 1, 1, 3, 3, 4, 7, 4, 3, 0, 1, 3, 1, 1, 1, 3, 5, 7, 1, 7, 3, 3, 1, 1, 7, 1, 5, 1, 2, 3, 3, 1, 1, 3, 7, 2, 1, 3, 7, 3, 0, 7, 7, 7, 7, 1, 6, 1, 3, 1, 3, 6, 2, 3, 1, 7, 1, 1, 3, 6, 3, 7, 3, 1, 6, 1, 1, 6, 1, 5, 1, 1, 5, 5, 5, 1, 1, 1, 1, 5, 2, 5, 1, 1, 5, 5, 2, 1, 1, 5, 6, 5, 5, 5, 5, 5, 1, 1, 5, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 2, 5, 1, 5, 1, 5, 5, 3, 3] 
dagR14.txt 3_2x4.txt True 0.5317725752508361 0.7 353.5 [0, 3, 3, 1, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 1, 3, 3, 1, 3, 3, 4, 3, 1, 0, 7, 3, 1, 1, 3, 4, 7, 4, 2, 3, 3, 3, 5, 3, 7, 7, 5, 0, 6, 1, 7, 5, 3, 5, 1, 1, 3, 3, 3, 5, 6, 5, 0, 5, 2, 5, 5, 3, 3, 7, 5, 1, 3, 1, 3, 1, 1, 5, 5, 1, 5, 7, 1, 0, 5, 5, 0, 3, 1, 5, 1, 4, 3, 5, 1, 5, 1, 0, 3, 3, 3, 7, 1, 5, 5, 3, 7, 3, 3, 3, 5, 3, 3, 7, 4, 3, 5, 5, 1, 1, 4, 5, 5, 2, 5, 1, 5, 7, 3, 5, 1, 3, 7, 2, 1, 1, 3, 5, 2, 5, 7, 7, 4, 5, 1, 2, 5, 1, 7, 2, 1, 4, 7, 5, 7, 7, 7, 7, 5, 5, 7, 5, 7, 7, 2, 7, 5, 4, 2, 7, 5, 7, 1, 7, 7, 6, 7, 6, 1, 7, 1, 7, 7, 7, 7, 6, 7, 2, 7, 7, 7, 6, 6, 7, 6, 6] 
dagR14.txt 3_2x4.txt True 0.7558528428093646 1 303.0 [7, 1, 3, 3, 3, 0, 5, 3, 2, 2, 5, 3, 5, 3, 3, 2, 0, 3, 3, 3, 3, 3, 0, 5, 1, 2, 2, 0, 0, 0, 5, 2, 5, 3, 3, 3, 0, 2, 0, 1, 7, 5, 2, 7, 3, 1, 7, 7, 3, 2, 7, 1, 1, 3, 0, 5, 3, 2, 7, 2, 5, 7, 1, 1, 1, 7, 1, 2, 1, 0, 1, 3, 3, 1, 3, 5, 3, 1, 3, 3, 6, 5, 3, 3, 5, 4, 1, 5, 5, 5, 7, 1, 3, 1, 3, 5, 5, 7, 1, 7, 3, 1, 1, 3, 5, 7, 6, 7, 4, 5, 5, 5, 7, 1, 7, 3, 5, 4, 7, 6, 1, 7, 0, 5, 7, 7, 3, 7, 4, 3, 5, 7, 5, 4, 1, 7, 5, 7, 3, 7, 6, 3, 1, 5, 7, 1, 4, 3, 7, 7, 1, 7, 3, 1, 5, 1, 7, 4, 5, 5, 6, 6, 3, 1, 3, 4, 7, 5, 7, 1, 1, 6, 3, 5, 6, 4, 4, 7, 6, 1, 6, 5, 5, 5, 1, 1, 5, 4, 4, 5, 4, 7, 4, 1, 1, 5, 4, 5, 6, 7] 
