dag17.txt 3_2x4.txt True 0.02197802197802198 0.04 2528597.3333333335 [0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.054945054945054944 0.06 2260992.0 [0, 0, 2, 0, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.06593406593406594 0.08 2173610.6666666665 [0, 0, 2, 2, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.0989010989010989 0.1 2086229.3333333333 [0, 0, 2, 2, 4, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.10989010989010989 0.12 1884160.0 [0, 0, 0, 6, 2, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.13186813186813187 0.14 1414485.3333333333 [0, 0, 2, 0, 2, 0, 0, 4, 4, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.15384615384615385 0.16 1245184.0 [0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 2, 0, 0, 4, 4, 0, 2, 2, 2, 0, 0, 0, 0, 0, 4, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag17.txt 3_2x4.txt True 0.16483516483516483 0.18 1108650.6666666667 [0, 0, 4, 4, 4, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 2, 0, 0, 4, 4, 0, 2, 2, 2, 0, 0, 0, 0, 0, 4, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag17.txt 3_2x4.txt True 0.18681318681318682 0.2 1048576.0 [4, 0, 4, 4, 3, 4, 4, 1, 1, 0, 2, 2, 2, 4, 0, 4, 4, 0, 4, 1, 4, 0, 0, 4, 0, 0, 0, 4, 4, 2, 0, 5, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 2, 0, 2, 0, 6, 6, 0, 0, 0, 0, 0, 0] 
dag17.txt 3_2x4.txt True 0.21978021978021978 0.25 988501.3333333334 [2, 0, 2, 2, 3, 2, 2, 1, 1, 0, 6, 5, 6, 2, 0, 2, 2, 0, 2, 1, 2, 0, 0, 2, 0, 0, 0, 2, 2, 6, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 6, 4, 5, 0, 0, 0, 4, 4, 0, 0, 0, 0] 
