dag27.txt 3_2x4.txt True 0.02830188679245283 0.04 2173610.6666666665 [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.04716981132075472 0.06 2086229.3333333333 [0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.07547169811320754 0.08 1998848.0 [0, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.07547169811320754 0.1 1998848.0 [0, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.11320754716981132 0.12 1540096.0 [0, 2, 0, 2, 6, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.1320754716981132 0.14 1545557.3333333333 [2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 2, 0, 4, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.1509433962264151 0.16 1458176.0 [2, 2, 2, 4, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 2, 0, 4, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.16981132075471697 0.18 1370794.6666666667 [2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 4, 0, 0, 2, 0, 2, 0, 4, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.19811320754716982 0.2 1004885.3333333334 [6, 6, 6, 2, 0, 6, 0, 2, 6, 6, 6, 2, 0, 0, 6, 6, 6, 0, 2, 0, 0, 6, 6, 0, 6, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 4, 4, 4, 0, 0, 0, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4] 
dag27.txt 3_2x4.txt True 0.24528301886792453 0.25 917504.0 [0, 0, 5, 6, 0, 5, 0, 6, 5, 0, 5, 3, 0, 1, 0, 0, 5, 0, 3, 0, 0, 5, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 4, 0, 0, 1, 0, 4, 4, 1, 1, 2, 2, 0, 0, 4, 2, 6, 6, 7, 7, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.29245283018867924 0.3 507904.0 [2, 2, 6, 0, 3, 6, 1, 0, 6, 6, 6, 6, 1, 5, 2, 6, 6, 1, 6, 3, 1, 6, 6, 1, 6, 7, 1, 6, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 6, 2, 1, 1, 1, 1, 3, 7, 1, 1, 5, 1, 7, 7, 5, 5, 4, 4, 1, 1, 3, 4, 0, 0, 0, 0, 4, 4, 4, 4, 4, 4] 
dag27.txt 3_2x4.txt True 0.3490566037735849 0.35 434176.0 [1, 0, 3, 7, 5, 3, 2, 4, 3, 1, 3, 7, 6, 6, 1, 1, 3, 6, 7, 5, 6, 3, 7, 2, 7, 3, 2, 1, 2, 2, 2, 5, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2, 2, 2, 2, 3, 2, 2, 6, 2, 5, 3, 6, 6, 0, 0, 6, 4, 3, 0, 4, 4, 4, 4, 0, 0, 5, 0, 0, 0] 
dag27.txt 3_2x4.txt True 0.39622641509433965 0.4 458752.0 [5, 5, 7, 0, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 1, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 3, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.45 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.5 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.55 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.6 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.65 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.7 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.75 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.8 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.85 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
dag27.txt 3_2x4.txt True 0.42452830188679247 0.9 404138.6666666667 [5, 6, 7, 4, 4, 7, 4, 3, 1, 1, 7, 7, 4, 2, 5, 1, 7, 4, 7, 3, 4, 7, 7, 1, 1, 5, 1, 6, 0, 1, 1, 4, 6, 6, 6, 6, 6, 5, 6, 7, 6, 1, 1, 4, 6, 6, 5, 6, 6, 2, 6, 5, 5, 2, 2, 3, 3, 4, 6, 3, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2] 
