dag0.txt 4_1x5.txt 0.5208333333333334 1 516096.0 [0, 8, 6, 6, 6, 6, 6, 8, 2, 0, 2, 9, 2, 9, 8, 2, 5, 0, 2, 6, 2, 9, 2, 7, 6, 6, 9, 0, 9, 8, 7, 3, 8, 6, 0, 1, 6, 0, 8, 0, 4, 1, 7, 9, 8, 9, 8, 8, 2, 8, 9, 9, 4, 1, 8, 0, 7, 0, 4, 1, 0, 4, 5, 4, 2, 3, 3, 3, 1, 1, 8, 3, 2, 6, 2, 2, 6, 6, 0, 2, 6, 2, 4, 6, 4, 4, 4, 4, 7, 4, 0, 4, 5, 4, 5, 5] 
dag0.txt 5_4_3_2x3.txt 0.4930555555555556 1 331776.0 [9, 4, 9, 8, 7, 8, 8, 4, 0, 10, 5, 7, 5, 3, 9, 8, 0, 10, 10, 9, 6, 6, 9, 10, 8, 8, 7, 10, 6, 2, 5, 2, 1, 8, 7, 5, 8, 0, 7, 4, 9, 11, 10, 3, 1, 3, 1, 1, 9, 1, 3, 3, 4, 11, 2, 0, 4, 3, 8, 3, 1, 2, 10, 4, 6, 2, 2, 2, 5, 5, 5, 5, 0, 5, 10, 6, 11, 11, 0, 6, 8, 10, 9, 11, 3, 10, 5, 10, 4, 10, 0, 0, 10, 10, 10, 9] 
dag0.txt 3_2x4.txt 0.4444444444444444 1 638976.0 [4, 4, 4, 3, 5, 3, 3, 0, 1, 6, 6, 3, 1, 3, 0, 2, 6, 3, 1, 4, 5, 5, 1, 1, 3, 5, 3, 3, 5, 0, 1, 5, 0, 5, 3, 7, 3, 3, 5, 3, 2, 7, 1, 3, 0, 3, 0, 0, 1, 0, 3, 3, 1, 7, 0, 2, 1, 7, 7, 7, 2, 2, 1, 7, 2, 2, 2, 2, 7, 7, 2, 2, 6, 0, 6, 6, 6, 0, 6, 6, 0, 6, 4, 0, 2, 2, 4, 2, 1, 4, 6, 4, 7, 4, 4, 4] 
dag0.txt 5_4_3_2x2.txt 0.4652777777777778 1 471859.2 [1, 4, 1, 6, 3, 6, 6, 4, 2, 5, 4, 6, 2, 6, 0, 4, 5, 6, 2, 1, 0, 3, 2, 2, 6, 1, 6, 6, 3, 0, 2, 3, 0, 3, 6, 7, 6, 6, 3, 6, 4, 7, 2, 6, 0, 6, 0, 0, 2, 0, 6, 6, 2, 7, 0, 0, 2, 0, 5, 7, 4, 4, 2, 7, 4, 4, 4, 4, 7, 7, 4, 4, 5, 0, 5, 5, 5, 0, 5, 5, 0, 5, 1, 0, 4, 4, 1, 4, 2, 1, 5, 1, 7, 1, 1, 1] 
dag0.txt 4_1x1.txt 0.2222222222222222 1 2473984.0 [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0] 
dag0.txt 3_2x2.txt 0.2986111111111111 1 1269760.0 [2, 2, 2, 3, 3, 3, 3, 2, 1, 2, 2, 2, 0, 3, 2, 0, 0, 2, 2, 2, 3, 3, 2, 1, 3, 3, 2, 2, 3, 2, 1, 3, 0, 3, 2, 1, 3, 2, 3, 3, 2, 1, 2, 3, 2, 3, 0, 0, 0, 0, 3, 3, 0, 1, 0, 1, 1, 1, 1, 1, 3, 0, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 1, 2, 2, 1, 1, 0, 2, 3, 2, 2, 1, 3, 3, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0] 
dag0.txt 5_4_3_2x5.txt 0.5069444444444444 1 202069.33333333334 [11, 8, 12, 0, 0, 0, 5, 8, 8, 19, 12, 7, 8, 13, 12, 4, 18, 19, 13, 11, 15, 7, 1, 8, 0, 0, 7, 19, 7, 1, 8, 10, 18, 10, 7, 8, 5, 16, 0, 5, 13, 14, 4, 4, 1, 4, 1, 1, 6, 6, 13, 4, 4, 6, 18, 14, 3, 0, 14, 3, 10, 16, 16, 3, 12, 16, 16, 16, 9, 9, 12, 12, 6, 9, 13, 12, 9, 9, 18, 12, 5, 13, 13, 5, 13, 13, 2, 13, 4, 2, 17, 17, 17, 2, 17, 2] 
dag0.txt 4_1x2.txt 0.4444444444444444 1 1245184.0 [2, 2, 2, 0, 0, 0, 0, 2, 3, 1, 2, 2, 2, 2, 0, 2, 3, 1, 1, 2, 2, 2, 3, 3, 0, 2, 0, 1, 0, 0, 3, 0, 2, 2, 2, 3, 0, 0, 0, 0, 2, 3, 1, 1, 0, 1, 0, 0, 3, 0, 2, 2, 0, 3, 0, 2, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 1, 3, 0, 3, 0, 0, 2, 1, 2, 3, 2, 2, 2, 2, 1, 2, 3, 3, 1, 1, 1, 1] 
dag0.txt 5_4_3_2x1.txt 0.3680555555555556 1 901120.0 [3, 1, 1, 0, 0, 0, 0, 0, 2, 3, 0, 0, 1, 3, 2, 0, 2, 3, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 3, 1, 2, 1, 0, 3, 3, 1, 3, 2, 3, 1, 3, 3, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 1, 0, 2, 2, 0, 3, 3, 0, 3, 3, 1, 3, 1, 1, 2, 2, 3, 1, 3, 3] 
dag0.txt 3_2x3.txt 0.4166666666666667 1 862890.6666666666 [3, 2, 2, 5, 3, 5, 5, 0, 4, 1, 4, 3, 2, 3, 2, 4, 4, 3, 1, 3, 3, 3, 5, 1, 5, 0, 3, 3, 3, 5, 2, 5, 2, 4, 3, 2, 5, 3, 3, 1, 2, 5, 1, 1, 5, 1, 2, 5, 5, 2, 3, 1, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 2, 2, 0, 4, 0, 1, 4, 5, 5, 4, 4, 5, 1, 1, 5, 1, 1, 2, 1, 1, 2, 4, 4, 0, 1, 4, 4] 
dag0.txt 3_2x1.txt 0.18055555555555555 1 2484906.6666666665 [1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1] 
dag0.txt 3_2x5.txt 0.4513888888888889 1 529749.3333333334 [6, 6, 8, 2, 2, 2, 3, 6, 7, 6, 0, 6, 4, 1, 0, 4, 0, 6, 6, 6, 1, 1, 9, 7, 2, 2, 6, 6, 9, 9, 7, 9, 0, 2, 6, 7, 3, 6, 2, 2, 8, 7, 7, 3, 8, 3, 9, 9, 9, 9, 1, 5, 3, 4, 0, 2, 4, 5, 5, 5, 0, 0, 0, 4, 1, 0, 0, 0, 4, 4, 0, 0, 1, 4, 6, 1, 4, 4, 8, 8, 3, 8, 8, 4, 8, 8, 7, 8, 3, 7, 1, 5, 5, 7, 5, 7] 
dag0.txt 4_1x4.txt 0.5625 1 663552.0 [4, 6, 4, 2, 5, 4, 3, 4, 1, 6, 6, 3, 2, 3, 0, 4, 6, 3, 1, 4, 6, 5, 1, 1, 3, 2, 3, 3, 5, 0, 1, 5, 0, 4, 3, 7, 3, 0, 5, 2, 2, 7, 1, 3, 0, 3, 0, 0, 1, 0, 3, 3, 0, 7, 0, 0, 1, 0, 2, 7, 2, 2, 1, 6, 2, 2, 2, 2, 7, 7, 2, 2, 6, 0, 6, 6, 6, 0, 6, 6, 0, 6, 4, 0, 2, 2, 4, 2, 4, 4, 6, 4, 7, 4, 4, 4] 
dag0.txt 4_1x3.txt 0.5069444444444444 1 843776.0 [3, 4, 4, 5, 3, 5, 5, 2, 4, 1, 4, 3, 2, 3, 2, 2, 4, 3, 1, 4, 4, 3, 5, 1, 5, 0, 3, 3, 3, 5, 2, 5, 2, 0, 3, 2, 5, 2, 3, 0, 2, 5, 1, 1, 0, 1, 2, 5, 5, 2, 3, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 2, 2, 0, 4, 0, 1, 4, 2, 5, 4, 4, 4, 1, 1, 5, 1, 1, 2, 1, 2, 2, 4, 4, 0, 1, 4, 4] 
dag0.txt 5_4_3_2x4.txt 0.4652777777777778 1 251221.33333333334 [6, 12, 10, 14, 14, 14, 6, 5, 4, 8, 9, 5, 8, 3, 7, 9, 4, 5, 8, 6, 9, 3, 6, 8, 14, 14, 5, 5, 3, 6, 8, 3, 8, 0, 5, 0, 11, 5, 14, 8, 10, 0, 8, 11, 1, 11, 1, 1, 6, 1, 10, 10, 11, 10, 13, 12, 11, 12, 12, 12, 3, 13, 13, 0, 7, 13, 13, 13, 0, 0, 13, 13, 4, 2, 8, 7, 0, 2, 4, 7, 6, 7, 10, 2, 10, 10, 4, 10, 15, 15, 4, 2, 2, 15, 2, 2] 
dag0.txt 3_2x4.txt 0.3888888888888889 1 630784.0 [0, 6, 4, 2, 2, 2, 5, 4, 6, 0, 7, 7, 3, 4, 6, 7, 2, 0, 0, 0, 7, 7, 0, 3, 2, 2, 7, 0, 7, 5, 3, 5, 2, 2, 0, 1, 5, 0, 7, 0, 4, 1, 0, 0, 2, 3, 2, 2, 1, 0, 4, 3, 3, 1, 5, 1, 3, 3, 1, 3, 2, 5, 0, 3, 6, 5, 5, 5, 1, 3, 6, 5, 6, 5, 0, 6, 1, 5, 6, 6, 5, 0, 4, 5, 4, 4, 4, 4, 4, 4, 6, 6, 0, 4, 0, 4] 
dag0.txt 5_4_3_2x2.txt 0.4652777777777778 1 471859.2 [1, 4, 1, 6, 3, 6, 6, 4, 2, 5, 4, 6, 2, 6, 0, 4, 5, 6, 2, 1, 0, 3, 2, 2, 6, 1, 6, 6, 3, 0, 2, 3, 0, 3, 6, 7, 6, 6, 3, 6, 4, 7, 2, 6, 0, 6, 0, 0, 2, 0, 6, 6, 2, 7, 0, 0, 2, 0, 5, 7, 4, 4, 2, 7, 4, 4, 4, 4, 7, 7, 4, 4, 5, 0, 5, 5, 5, 0, 5, 5, 0, 5, 1, 0, 4, 4, 1, 4, 2, 1, 5, 1, 7, 1, 1, 1] 
