dag51.txt 3_2x4.txt 0.4444444444444444 0.5 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.5 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 3_2x4.txt 0.4444444444444444 0.55 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 3_2x4.txt 0.4444444444444444 0.6 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.55 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 3_2x4.txt 0.4444444444444444 0.65 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 3_2x4.txt 0.4444444444444444 0.7 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.6 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 3_2x4.txt 0.4444444444444444 0.8 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 5_4_3_2x2.txt 0.47474747474747475 0.65 299008.0 [4, 1, 0, 4, 0, 7, 6, 1, 0, 3, 4, 6, 4, 7, 4, 1, 0, 2, 6, 5, 0, 0, 0, 0, 1, 2, 4, 5, 4, 4, 1, 4, 6, 2, 1, 5, 7, 7, 1, 2, 4, 5, 1, 2, 2, 5, 3, 5, 1, 1, 3, 0, 6, 2, 2, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 3, 3] 
dag51.txt 3_2x4.txt 0.4444444444444444 0.9 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 3_2x4.txt 0.4444444444444444 1 404138.6666666667 [2, 2, 0, 2, 6, 7, 3, 4, 0, 5, 0, 3, 2, 7, 2, 4, 0, 1, 3, 6, 0, 0, 0, 0, 4, 1, 2, 6, 2, 2, 4, 2, 3, 1, 4, 6, 7, 7, 4, 1, 2, 6, 4, 1, 1, 6, 5, 6, 4, 4, 5, 4, 3, 1, 1, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 5, 5] 
dag51.txt 4_1x5.txt 0.47474747474747475 0.5 458752.0 [1, 2, 1, 1, 7, 4, 7, 2, 0, 6, 0, 5, 1, 4, 0, 9, 1, 7, 8, 8, 0, 0, 5, 5, 8, 5, 1, 8, 5, 1, 9, 0, 5, 5, 9, 2, 4, 4, 8, 8, 5, 2, 8, 2, 5, 2, 6, 6, 4, 4, 0, 6, 8, 5, 3, 3, 6, 3, 2, 3, 6, 3, 8, 2, 6, 6, 6, 6] 
