dag82.txt 3_2x4.txt 0.43103448275862066 0.5 458752.0 [0, 3, 6, 0, 2, 6, 6, 6, 7, 3, 3, 5, 5, 2, 3, 6, 6, 5, 3, 0, 2, 6, 2, 1, 3, 3, 6, 3, 4, 3, 3, 6, 0, 6, 2, 3, 1, 6, 6, 1, 4, 6, 6, 6, 6, 7, 0, 7, 7, 7, 5, 0, 5, 1, 5, 7, 4, 1, 7, 4, 1, 4, 2, 4, 5, 1, 4, 4, 4, 4, 3, 1, 5, 5, 3, 3, 5, 5] 
dag82.txt 5_4_3_2x2.txt 0.47413793103448276 0.5 335872.0 [4, 6, 5, 0, 4, 5, 5, 5, 7, 6, 6, 3, 3, 4, 6, 5, 5, 3, 6, 0, 4, 5, 4, 2, 6, 6, 5, 6, 1, 6, 6, 5, 0, 5, 1, 6, 2, 5, 5, 2, 0, 5, 0, 5, 5, 7, 0, 5, 7, 7, 3, 4, 3, 2, 0, 7, 1, 2, 7, 1, 2, 1, 4, 1, 3, 2, 1, 1, 1, 1, 6, 2, 3, 3, 6, 6, 3, 3] 
dag82.txt 3_2x4.txt 0.4224137931034483 0.55 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 0.55 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 3_2x4.txt 0.4224137931034483 0.6 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 3_2x4.txt 0.4224137931034483 0.65 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 0.6 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 3_2x4.txt 0.4224137931034483 0.7 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 3_2x4.txt 0.4224137931034483 0.8 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 0.65 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.5 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 3_2x4.txt 0.4224137931034483 0.9 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 0.7 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.55 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 3_2x4.txt 0.4224137931034483 1 458752.0 [0, 4, 6, 0, 5, 6, 6, 6, 7, 4, 4, 1, 1, 2, 4, 6, 6, 1, 4, 0, 4, 6, 3, 5, 5, 4, 6, 4, 6, 4, 6, 6, 4, 6, 4, 7, 4, 6, 6, 4, 0, 6, 6, 4, 3, 7, 0, 1, 7, 7, 1, 7, 1, 1, 1, 3, 7, 1, 0, 3, 1, 3, 5, 3, 5, 5, 3, 3, 6, 2, 7, 2, 1, 2, 5, 2, 5, 2] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 0.8 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 0.9 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.6 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 5_4_3_2x2.txt 0.4827586206896552 1 339968.0 [4, 1, 5, 0, 3, 5, 5, 5, 7, 1, 1, 2, 2, 1, 1, 5, 5, 2, 1, 0, 0, 5, 6, 3, 3, 1, 5, 1, 5, 1, 5, 5, 1, 5, 1, 7, 1, 5, 5, 1, 4, 5, 0, 1, 6, 7, 0, 2, 7, 7, 2, 5, 2, 2, 2, 6, 7, 2, 0, 6, 2, 6, 0, 6, 3, 3, 6, 6, 5, 4, 7, 4, 2, 4, 3, 4, 3, 4] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.65 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.7 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 3_2x3.txt 0.43103448275862066 0.5 589824.0 [4, 5, 5, 1, 2, 5, 5, 5, 0, 1, 0, 3, 3, 2, 0, 5, 5, 3, 0, 1, 2, 5, 2, 0, 5, 5, 5, 5, 5, 0, 5, 5, 1, 2, 0, 0, 0, 5, 5, 0, 0, 5, 3, 0, 5, 3, 1, 3, 3, 3, 0, 3, 3, 3, 0, 5, 0, 5, 1, 5, 4, 5, 2, 3, 3, 4, 2, 2, 5, 4, 0, 4, 0, 0, 4, 4, 3, 4] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.8 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 5_4_3_2x5.txt 0.5 0.5 163840.0 [8, 13, 9, 17, 0, 9, 9, 9, 4, 1, 18, 5, 5, 12, 1, 9, 9, 5, 1, 18, 0, 9, 12, 0, 18, 13, 9, 6, 9, 6, 13, 9, 1, 13, 6, 6, 1, 13, 9, 14, 5, 14, 16, 14, 3, 17, 17, 4, 17, 17, 10, 19, 5, 5, 10, 3, 4, 2, 8, 10, 15, 2, 0, 2, 5, 15, 2, 2, 9, 16, 11, 16, 10, 11, 7, 12, 7, 8] 
dag82.txt 3_2x3.txt 0.43103448275862066 0.55 589824.0 [4, 5, 5, 1, 2, 5, 5, 5, 0, 1, 0, 3, 3, 2, 0, 5, 5, 3, 0, 1, 2, 5, 2, 0, 5, 5, 5, 5, 5, 0, 5, 5, 1, 2, 0, 0, 0, 5, 5, 0, 0, 5, 3, 0, 5, 3, 1, 3, 3, 3, 0, 3, 3, 3, 0, 5, 0, 5, 1, 5, 4, 5, 2, 3, 3, 4, 2, 2, 5, 4, 0, 4, 0, 0, 4, 4, 3, 4] 
dag82.txt 4_1x5.txt 0.4827586206896552 0.9 348160.0 [8, 0, 0, 8, 2, 0, 0, 0, 5, 1, 7, 5, 6, 4, 1, 0, 0, 5, 1, 8, 4, 0, 6, 2, 7, 0, 0, 7, 0, 7, 0, 0, 6, 0, 8, 7, 1, 0, 0, 1, 6, 3, 0, 1, 3, 5, 8, 6, 5, 8, 6, 8, 5, 9, 6, 9, 2, 9, 2, 5, 9, 9, 2, 9, 5, 4, 2, 9, 0, 4, 7, 4, 4, 4, 7, 0, 7, 2] 
dag82.txt 5_4_3_2x5.txt 0.5 0.55 163840.0 [8, 13, 9, 17, 0, 9, 9, 9, 4, 1, 18, 5, 5, 12, 1, 9, 9, 5, 1, 18, 0, 9, 12, 0, 18, 13, 9, 6, 9, 6, 13, 9, 1, 13, 6, 6, 1, 13, 9, 14, 5, 14, 16, 14, 3, 17, 17, 4, 17, 17, 10, 19, 5, 5, 10, 3, 4, 2, 8, 10, 15, 2, 0, 2, 5, 15, 2, 2, 9, 16, 11, 16, 10, 11, 7, 12, 7, 8] 
