dag81.txt 5_4_3_2x2.txt 0.40425531914893614 0.5 462028.8 [4, 6, 6, 7, 0, 7, 0, 7, 7, 5, 5, 1, 6, 7, 7, 5, 4, 7, 5, 7, 7, 7, 6, 7, 7, 0, 6, 7, 7, 0, 6, 1, 1, 7, 7, 7, 1, 2, 1, 6, 1, 6, 0, 6, 6, 7, 6, 1, 7, 0, 0, 4, 6, 0, 0, 5, 2, 1, 0, 0, 2, 0, 0, 2, 3, 1, 2, 0, 1, 5, 1, 5, 1, 1, 5, 2, 3, 7, 4, 1, 1, 3, 3, 4, 3, 3, 4, 4, 4, 5, 4, 2, 4, 4, 4] 
dag81.txt 4_1x5.txt 0.49645390070921985 0.5 561152.0 [6, 8, 4, 2, 8, 6, 1, 6, 5, 6, 6, 4, 8, 7, 6, 3, 8, 2, 2, 2, 6, 2, 8, 5, 6, 8, 8, 6, 6, 1, 8, 4, 4, 2, 2, 6, 6, 3, 6, 8, 6, 8, 2, 8, 1, 6, 1, 6, 6, 4, 6, 0, 1, 1, 4, 4, 3, 0, 1, 4, 4, 7, 7, 0, 7, 0, 2, 9, 9, 2, 0, 5, 0, 6, 7, 2, 7, 2, 2, 4, 0, 6, 7, 0, 0, 7, 0, 2, 0, 0, 4, 2, 5, 2, 5] 
dag81.txt 5_4_3_2x2.txt 0.40425531914893614 0.55 462028.8 [4, 6, 6, 7, 0, 7, 0, 7, 7, 5, 5, 1, 6, 7, 7, 5, 4, 7, 5, 7, 7, 7, 6, 7, 7, 0, 6, 7, 7, 0, 6, 1, 1, 7, 7, 7, 1, 2, 1, 6, 1, 6, 0, 6, 6, 7, 6, 1, 7, 0, 0, 4, 6, 0, 0, 5, 2, 1, 0, 0, 2, 0, 0, 2, 3, 1, 2, 0, 1, 5, 1, 5, 1, 1, 5, 2, 3, 7, 4, 1, 1, 3, 3, 4, 3, 3, 4, 4, 4, 5, 4, 2, 4, 4, 4] 
dag81.txt 3_2x4.txt 0.375886524822695 0.5 622592.0 [6, 3, 3, 7, 0, 7, 0, 7, 7, 6, 7, 4, 3, 7, 7, 6, 4, 7, 6, 7, 7, 7, 3, 7, 7, 0, 3, 7, 7, 0, 3, 4, 4, 7, 7, 7, 4, 1, 4, 3, 4, 3, 2, 3, 3, 7, 3, 4, 7, 0, 0, 0, 3, 0, 0, 6, 1, 4, 0, 5, 1, 0, 0, 1, 5, 4, 1, 0, 4, 6, 4, 6, 4, 4, 6, 1, 5, 7, 2, 5, 4, 5, 5, 2, 5, 5, 2, 2, 2, 6, 2, 1, 2, 2, 2] 
dag81.txt 5_4_3_2x2.txt 0.40425531914893614 0.6 462028.8 [4, 6, 6, 7, 0, 7, 0, 7, 7, 5, 5, 1, 6, 7, 7, 5, 4, 7, 5, 7, 7, 7, 6, 7, 7, 0, 6, 7, 7, 0, 6, 1, 1, 7, 7, 7, 1, 2, 1, 6, 1, 6, 0, 6, 6, 7, 6, 1, 7, 0, 0, 4, 6, 0, 0, 5, 2, 1, 0, 0, 2, 0, 0, 2, 3, 1, 2, 0, 1, 5, 1, 5, 1, 1, 5, 2, 3, 7, 4, 1, 1, 3, 3, 4, 3, 3, 4, 4, 4, 5, 4, 2, 4, 4, 4] 
dag81.txt 4_1x5.txt 0.45390070921985815 0.55 532480.0 [8, 6, 6, 1, 2, 5, 8, 0, 4, 6, 2, 0, 6, 4, 0, 3, 6, 1, 6, 6, 5, 1, 6, 4, 0, 2, 3, 0, 0, 8, 6, 0, 0, 1, 1, 0, 0, 0, 0, 8, 0, 6, 6, 8, 8, 0, 8, 0, 0, 8, 8, 0, 2, 8, 8, 0, 4, 6, 2, 0, 5, 8, 2, 3, 2, 7, 0, 2, 4, 2, 7, 2, 6, 0, 2, 0, 2, 1, 1, 2, 8, 2, 9, 7, 9, 2, 4, 4, 4, 4, 4, 1, 4, 1, 1] 
dag81.txt 3_2x4.txt 0.375886524822695 0.55 622592.0 [6, 3, 3, 7, 0, 7, 0, 7, 7, 6, 7, 4, 3, 7, 7, 6, 4, 7, 6, 7, 7, 7, 3, 7, 7, 0, 3, 7, 7, 0, 3, 4, 4, 7, 7, 7, 4, 1, 4, 3, 4, 3, 2, 3, 3, 7, 3, 4, 7, 0, 0, 0, 3, 0, 0, 6, 1, 4, 0, 5, 1, 0, 0, 1, 5, 4, 1, 0, 4, 6, 4, 6, 4, 4, 6, 1, 5, 7, 2, 5, 4, 5, 5, 2, 5, 5, 2, 2, 2, 6, 2, 1, 2, 2, 2] 
dag81.txt 5_4_3_2x2.txt 0.40425531914893614 0.65 462028.8 [4, 6, 6, 7, 0, 7, 0, 7, 7, 5, 5, 1, 6, 7, 7, 5, 4, 7, 5, 7, 7, 7, 6, 7, 7, 0, 6, 7, 7, 0, 6, 1, 1, 7, 7, 7, 1, 2, 1, 6, 1, 6, 0, 6, 6, 7, 6, 1, 7, 0, 0, 4, 6, 0, 0, 5, 2, 1, 0, 0, 2, 0, 0, 2, 3, 1, 2, 0, 1, 5, 1, 5, 1, 1, 5, 2, 3, 7, 4, 1, 1, 3, 3, 4, 3, 3, 4, 4, 4, 5, 4, 2, 4, 4, 4] 
dag81.txt 4_1x5.txt 0.45390070921985815 0.6 532480.0 [8, 6, 6, 1, 2, 5, 8, 0, 4, 6, 2, 0, 6, 4, 0, 3, 6, 1, 6, 6, 5, 1, 6, 4, 0, 2, 3, 0, 0, 8, 6, 0, 0, 1, 1, 0, 0, 0, 0, 8, 0, 6, 6, 8, 8, 0, 8, 0, 0, 8, 8, 0, 2, 8, 8, 0, 4, 6, 2, 0, 5, 8, 2, 3, 2, 7, 0, 2, 4, 2, 7, 2, 6, 0, 2, 0, 2, 1, 1, 2, 8, 2, 9, 7, 9, 2, 4, 4, 4, 4, 4, 1, 4, 1, 1] 
dag81.txt 5_4_3_2x2.txt 0.40425531914893614 0.7 462028.8 [4, 6, 6, 7, 0, 7, 0, 7, 7, 5, 5, 1, 6, 7, 7, 5, 4, 7, 5, 7, 7, 7, 6, 7, 7, 0, 6, 7, 7, 0, 6, 1, 1, 7, 7, 7, 1, 2, 1, 6, 1, 6, 0, 6, 6, 7, 6, 1, 7, 0, 0, 4, 6, 0, 0, 5, 2, 1, 0, 0, 2, 0, 0, 2, 3, 1, 2, 0, 1, 5, 1, 5, 1, 1, 5, 2, 3, 7, 4, 1, 1, 3, 3, 4, 3, 3, 4, 4, 4, 5, 4, 2, 4, 4, 4] 
