dag11.txt 4_1x5.txt 0.5132743362831859 1 335872.0 [0, 6, 1, 8, 6, 7, 8, 4, 1, 4, 6, 4, 0, 0, 0, 7, 0, 2, 3, 6, 3, 1, 4, 3, 4, 4, 6, 1, 6, 2, 6, 4, 4, 6, 4, 5, 0, 3, 6, 3, 5, 8, 4, 5, 5, 1, 0, 0, 9, 6, 9, 4, 6, 0, 6, 9, 0, 8, 2, 9, 2, 8, 2, 9, 9, 2, 2, 7, 9, 4, 7, 9, 9] 
dag11.txt 5_4_3_2x1.txt 0.336283185840708 1 548864.0 [1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 2, 2, 0, 3, 3, 1, 3, 0, 1, 2, 0, 1, 0, 0, 1, 2, 2, 3, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 2, 3, 1, 1, 3, 2, 3, 3, 3, 2, 0, 2, 1, 2, 0, 1, 2, 2, 2, 3, 1, 2, 3, 2] 
dag11.txt 3_2x3.txt 0.3893805309734513 1 524288.0 [2, 1, 1, 4, 2, 1, 5, 2, 1, 2, 1, 2, 4, 5, 5, 4, 5, 4, 2, 1, 4, 1, 2, 4, 1, 2, 1, 1, 1, 0, 1, 2, 1, 4, 1, 1, 4, 4, 1, 4, 4, 5, 4, 4, 0, 1, 0, 0, 0, 3, 0, 1, 1, 5, 0, 5, 0, 0, 3, 0, 3, 2, 3, 0, 0, 3, 3, 1, 1, 1, 3, 1, 3] 
dag11.txt 5_4_3_2x4.txt 0.5221238938053098 1 170393.6 [12, 10, 6, 0, 15, 7, 12, 12, 6, 2, 10, 13, 8, 11, 11, 12, 11, 12, 12, 10, 12, 6, 13, 9, 2, 13, 10, 15, 10, 1, 10, 13, 13, 8, 13, 7, 8, 9, 10, 9, 9, 0, 9, 6, 3, 3, 4, 6, 3, 14, 6, 2, 14, 5, 14, 6, 5, 0, 14, 3, 4, 8, 4, 3, 3, 1, 4, 7, 6, 2, 7, 2, 2] 
dag11.txt 5_4_3_2x5.txt 0.5309734513274337 1 144179.2 [9, 6, 12, 4, 9, 2, 14, 16, 12, 16, 6, 17, 10, 14, 14, 5, 11, 5, 9, 6, 10, 12, 17, 10, 1, 17, 6, 9, 6, 12, 6, 7, 7, 5, 1, 2, 2, 5, 1, 10, 10, 4, 13, 10, 13, 15, 11, 16, 13, 18, 16, 1, 1, 15, 18, 16, 8, 19, 18, 16, 8, 12, 3, 13, 16, 0, 0, 1, 16, 1, 1, 1, 1] 
dag11.txt 4_1x1.txt 0.30973451327433627 1 1523712.0 [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
dag11.txt 5_4_3_2x3.txt 0.4336283185840708 1 212992.0 [11, 5, 3, 8, 11, 4, 4, 1, 3, 10, 5, 9, 3, 2, 2, 6, 8, 6, 11, 5, 6, 3, 9, 6, 9, 9, 9, 2, 9, 8, 9, 10, 10, 4, 9, 4, 4, 6, 9, 6, 6, 7, 6, 3, 1, 2, 1, 8, 1, 5, 8, 5, 5, 2, 5, 8, 2, 8, 0, 1, 0, 10, 0, 1, 1, 0, 0, 4, 1, 10, 4, 10, 4] 
dag11.txt 4_1x3.txt 0.5132743362831859 1 540672.0 [2, 0, 0, 4, 4, 0, 2, 4, 0, 2, 0, 2, 4, 5, 5, 4, 5, 4, 2, 2, 4, 2, 2, 4, 1, 2, 4, 1, 1, 0, 1, 2, 1, 4, 1, 1, 4, 4, 1, 4, 4, 2, 4, 4, 0, 1, 0, 0, 0, 3, 0, 1, 1, 5, 0, 5, 0, 0, 3, 0, 0, 2, 3, 0, 0, 2, 3, 1, 1, 1, 3, 1, 3] 
dag11.txt 3_2x1.txt 0.18584070796460178 1 1529173.3333333333 [1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0] 
dag11.txt 3_2x5.txt 0.415929203539823 1 360448.0 [1, 3, 4, 8, 4, 0, 7, 1, 4, 0, 3, 0, 9, 7, 7, 1, 7, 1, 1, 3, 4, 4, 0, 4, 0, 3, 3, 7, 3, 6, 3, 0, 0, 9, 0, 0, 9, 4, 5, 4, 4, 8, 4, 4, 4, 7, 6, 6, 6, 3, 6, 5, 5, 7, 8, 6, 6, 8, 5, 6, 2, 5, 2, 6, 6, 2, 2, 0, 6, 0, 0, 0, 0] 
