dag15.txt 4_1x1.txt 0.2054794520547945 1 950272.0 [1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1] 
dag15.txt 3_2x2.txt 0.3150684931506849 1 464213.3333333333 [1, 0, 2, 2, 3, 2, 3, 2, 1, 1, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 0, 3, 1, 3, 2, 2, 0, 2, 0, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 1, 0, 0, 0] 
dag15.txt 3_2x1.txt 0.2054794520547945 1 928426.6666666666 [1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag15.txt 5_4_3_2x3.txt 0.547945205479452 1 140902.4 [5, 10, 0, 0, 1, 6, 6, 9, 5, 5, 6, 9, 0, 0, 4, 4, 10, 10, 8, 8, 8, 1, 11, 8, 4, 1, 5, 9, 4, 8, 4, 4, 0, 7, 4, 2, 3, 0, 3, 5, 9, 9, 5, 2, 2, 5, 2, 5] 
dag15.txt 3_2x5.txt 0.4657534246575342 1 221184.0 [4, 3, 6, 9, 8, 6, 6, 5, 9, 9, 6, 5, 9, 9, 6, 8, 3, 3, 1, 1, 0, 8, 0, 1, 5, 8, 9, 1, 5, 1, 5, 7, 7, 7, 9, 9, 4, 4, 9, 5, 1, 2, 3, 2, 4, 3, 4, 3] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 1 191146.66666666666 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 4, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 0, 3, 6, 3, 3] 
dag15.txt 5_4_3_2x1.txt 0.3150684931506849 1 348160.0 [1, 2, 0, 0, 3, 0, 3, 0, 1, 1, 0, 0, 2, 0, 0, 0, 3, 0, 3, 3, 1, 3, 2, 3, 0, 0, 1, 0, 2, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1] 
dag15.txt 3_2x4.txt 0.4520547945205479 1 286720.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 6, 0, 2, 4, 6, 0, 3, 6, 2, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x4.txt 0.547945205479452 1 117964.8 [2, 4, 5, 5, 11, 0, 0, 5, 2, 2, 8, 5, 1, 13, 5, 13, 4, 0, 14, 11, 1, 11, 12, 11, 5, 6, 9, 5, 4, 12, 15, 12, 13, 8, 5, 9, 13, 8, 13, 15, 5, 10, 15, 9, 2, 15, 2, 15] 
dag15.txt 4_1x5.txt 0.6027397260273972 1 200704.0 [0, 5, 6, 1, 0, 9, 9, 8, 0, 0, 8, 8, 0, 1, 6, 6, 5, 2, 8, 0, 4, 0, 4, 0, 8, 6, 5, 8, 2, 0, 3, 2, 1, 3, 1, 5, 8, 4, 1, 3, 8, 6, 5, 0, 7, 5, 7, 7] 
dag15.txt 4_1x4.txt 0.547945205479452 1 278528.0 [0, 2, 6, 6, 4, 7, 7, 6, 2, 3, 6, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 2, 3, 6, 6, 5, 6, 4, 6, 3, 6, 5, 6, 0, 6, 3, 6, 0, 3, 0, 5, 3, 5, 5] 
dag15.txt 4_1x3.txt 0.4520547945205479 1 319488.0 [2, 5, 4, 4, 5, 3, 3, 4, 1, 1, 4, 4, 1, 4, 4, 4, 3, 2, 4, 5, 0, 5, 0, 5, 4, 4, 1, 4, 2, 0, 0, 0, 4, 0, 4, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 3] 
dag15.txt 3_2x3.txt 0.4383561643835616 1 338602.6666666667 [2, 5, 4, 4, 5, 3, 3, 4, 1, 1, 2, 4, 1, 4, 4, 4, 3, 3, 4, 5, 0, 5, 1, 5, 4, 4, 1, 4, 5, 0, 0, 0, 4, 0, 4, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 3] 
dag15.txt 4_1x2.txt 0.3698630136986301 1 479232.0 [2, 3, 0, 0, 1, 0, 1, 0, 2, 2, 2, 0, 3, 0, 0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 2, 0, 3, 0, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2] 
dag15.txt 5_4_3_2x5.txt 0.6712328767123288 1 87381.33333333333 [6, 15, 18, 3, 10, 0, 0, 14, 4, 7, 0, 14, 15, 0, 18, 18, 15, 8, 4, 10, 5, 10, 1, 19, 14, 13, 7, 14, 12, 19, 11, 16, 3, 11, 3, 7, 14, 17, 3, 11, 14, 9, 7, 2, 6, 11, 6, 6] 
dag15.txt 3_2x4.txt 0.4520547945205479 1 286720.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 6, 0, 2, 4, 6, 0, 3, 6, 2, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 1 191146.66666666666 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 4, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 0, 3, 6, 3, 3] 
dag15.txt 4_1x5.txt 0.5616438356164384 1 196608.0 [3, 5, 0, 1, 6, 9, 9, 8, 4, 4, 8, 0, 4, 7, 0, 0, 5, 6, 6, 6, 2, 6, 2, 3, 0, 2, 4, 0, 4, 3, 5, 4, 8, 8, 1, 1, 7, 8, 7, 5, 0, 0, 4, 0, 3, 1, 1, 1] 
dag15.txt 3_2x3.txt 0.4383561643835616 1 338602.6666666667 [2, 5, 4, 4, 5, 3, 3, 4, 1, 1, 2, 4, 1, 4, 4, 4, 3, 3, 4, 5, 0, 5, 1, 5, 4, 4, 1, 4, 5, 0, 0, 0, 4, 0, 4, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 3] 
dag15.txt 5_4_3_2x5.txt 0.6438356164383562 1 91750.4 [14, 15, 0, 7, 18, 4, 19, 6, 0, 7, 4, 6, 15, 10, 3, 3, 0, 0, 9, 18, 16, 18, 1, 6, 6, 13, 7, 6, 12, 6, 11, 5, 10, 11, 7, 7, 10, 8, 10, 11, 6, 17, 11, 2, 14, 11, 14, 14] 
dag15.txt 4_1x1.txt 0.1643835616438356 1 950272.0 [0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag15.txt 5_4_3_2x3.txt 0.4931506849315068 1 139264.0 [9, 8, 4, 2, 5, 4, 3, 4, 9, 9, 8, 4, 7, 2, 4, 10, 8, 8, 5, 8, 4, 5, 0, 4, 4, 10, 9, 4, 11, 4, 11, 0, 4, 1, 2, 6, 1, 1, 2, 9, 4, 2, 9, 6, 6, 9, 6, 9] 
dag15.txt 4_1x4.txt 0.547945205479452 1 278528.0 [0, 2, 6, 6, 4, 7, 7, 6, 2, 3, 6, 6, 2, 6, 6, 6, 1, 4, 4, 0, 2, 0, 2, 4, 6, 2, 3, 6, 6, 5, 6, 4, 6, 3, 6, 5, 6, 0, 6, 3, 6, 0, 3, 0, 5, 3, 5, 5] 
dag15.txt 4_1x2.txt 0.3698630136986301 1 479232.0 [2, 3, 0, 0, 1, 0, 1, 0, 2, 2, 2, 0, 3, 0, 0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 2, 0, 3, 0, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2] 
dag15.txt 3_2x2.txt 0.3424657534246575 1 464213.3333333333 [3, 0, 1, 1, 2, 1, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 2, 1, 0, 0, 1, 0, 3, 0, 0, 1, 3, 1, 1, 1, 3, 1, 0, 1, 1, 0, 3, 3, 0, 3, 3] 
dag15.txt 5_4_3_2x1.txt 0.3150684931506849 1 348160.0 [2, 0, 1, 1, 3, 1, 3, 1, 2, 2, 0, 1, 2, 1, 1, 1, 3, 0, 3, 3, 1, 3, 2, 3, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0] 
dag15.txt 5_4_3_2x4.txt 0.547945205479452 1 121241.6 [11, 11, 5, 9, 13, 5, 15, 5, 11, 11, 8, 5, 1, 9, 5, 9, 4, 4, 10, 13, 12, 13, 1, 13, 5, 14, 4, 5, 8, 13, 8, 6, 9, 12, 5, 4, 9, 12, 9, 8, 5, 2, 4, 0, 0, 4, 0, 0] 
dag15.txt 4_1x3.txt 0.4520547945205479 1 319488.0 [2, 5, 4, 4, 5, 3, 3, 4, 1, 1, 4, 4, 1, 4, 4, 4, 3, 2, 4, 5, 0, 5, 0, 5, 4, 4, 1, 4, 2, 0, 0, 0, 4, 0, 4, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 3] 
dag15.txt 3_2x1.txt 0.1917808219178082 1 928426.6666666666 [0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag15.txt 3_2x5.txt 0.4657534246575342 1 218453.33333333334 [5, 6, 0, 1, 8, 1, 7, 1, 5, 5, 7, 1, 0, 1, 1, 8, 6, 6, 2, 6, 0, 8, 0, 6, 1, 8, 5, 1, 2, 6, 6, 9, 1, 9, 1, 5, 3, 3, 3, 3, 1, 4, 5, 4, 5, 5, 5, 5] 
dag15.txt 3_2x4.txt 0.4520547945205479 1 286720.0 [5, 2, 6, 6, 4, 7, 7, 6, 3, 3, 7, 6, 2, 6, 6, 6, 1, 4, 4, 0, 6, 0, 2, 4, 6, 0, 3, 6, 2, 5, 6, 1, 6, 3, 6, 5, 6, 3, 6, 3, 6, 0, 3, 5, 5, 3, 5, 5] 
dag15.txt 5_4_3_2x2.txt 0.4520547945205479 1 191146.66666666666 [3, 4, 5, 5, 1, 7, 7, 5, 6, 6, 7, 5, 4, 5, 5, 5, 2, 1, 1, 0, 4, 0, 4, 1, 5, 0, 6, 5, 4, 3, 5, 2, 5, 6, 5, 3, 5, 6, 5, 6, 5, 0, 6, 0, 3, 6, 3, 3] 
dag15.txt 4_1x5.txt 0.589041095890411 1 212992.0 [0, 1, 0, 5, 6, 7, 7, 8, 0, 0, 6, 8, 0, 5, 3, 3, 1, 8, 6, 6, 4, 6, 0, 6, 8, 8, 3, 8, 2, 4, 1, 2, 5, 9, 3, 3, 8, 2, 5, 1, 8, 0, 1, 4, 4, 1, 4, 4] 
dag15.txt 3_2x3.txt 0.4383561643835616 1 338602.6666666667 [2, 5, 4, 4, 5, 3, 3, 4, 1, 1, 2, 4, 1, 4, 4, 4, 3, 3, 4, 5, 0, 5, 1, 5, 4, 4, 1, 4, 5, 0, 0, 0, 4, 0, 4, 2, 2, 0, 2, 0, 4, 2, 1, 2, 0, 3, 2, 3] 
