dag35.txt 5_4_3_2x2.txt 0.48514851485148514 0.5 365909.3333333333 [2, 4, 7, 7, 2, 1, 0, 7, 4, 5, 2, 6, 1, 0, 2, 2, 4, 2, 1, 7, 2, 5, 4, 7, 0, 7, 7, 0, 0, 1, 2, 3, 1, 1, 7, 0, 6, 0, 2, 0, 6, 6, 6, 1, 6, 6, 3, 6, 6, 6, 6, 6, 3, 6, 5, 5, 2, 5, 4, 5, 4, 4, 4, 4, 4, 4] 
dag35.txt 5_4_3_2x2.txt 0.5148514851485149 0.55 348160.0 [2, 4, 7, 7, 2, 1, 0, 7, 4, 5, 2, 6, 1, 0, 2, 2, 4, 2, 1, 7, 2, 5, 4, 7, 0, 7, 7, 0, 0, 1, 2, 3, 1, 1, 7, 0, 6, 0, 2, 0, 6, 6, 6, 1, 5, 6, 3, 6, 6, 6, 6, 6, 3, 6, 5, 5, 2, 5, 4, 5, 4, 4, 4, 4, 4, 4] 
dag35.txt 3_2x4.txt 0.4752475247524752 0.5 480597.3333333333 [1, 0, 7, 7, 1, 0, 4, 7, 2, 6, 1, 3, 4, 6, 1, 1, 2, 1, 4, 7, 1, 6, 7, 7, 0, 7, 7, 5, 0, 4, 1, 5, 4, 4, 7, 0, 3, 0, 1, 0, 3, 3, 3, 4, 2, 3, 5, 3, 3, 3, 3, 3, 5, 3, 6, 6, 1, 6, 2, 6, 2, 2, 2, 2, 2, 2] 
dag35.txt 5_4_3_2x2.txt 0.5148514851485149 0.6 348160.0 [2, 4, 7, 7, 2, 1, 0, 7, 4, 5, 2, 6, 1, 0, 2, 2, 4, 2, 1, 7, 2, 5, 4, 7, 0, 7, 7, 0, 0, 1, 2, 3, 1, 1, 7, 0, 6, 0, 2, 0, 6, 6, 6, 1, 5, 6, 3, 6, 6, 6, 6, 6, 3, 6, 5, 5, 2, 5, 4, 5, 4, 4, 4, 4, 4, 4] 
dag35.txt 4_1x5.txt 0.49504950495049505 0.5 516096.0 [1, 4, 3, 8, 0, 0, 0, 3, 0, 2, 0, 3, 6, 0, 0, 0, 2, 0, 6, 3, 0, 2, 8, 2, 2, 8, 1, 1, 0, 7, 6, 8, 6, 6, 8, 2, 9, 5, 0, 5, 7, 9, 6, 6, 4, 9, 8, 9, 3, 3, 9, 9, 2, 2, 2, 2, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4] 
dag35.txt 3_2x4.txt 0.4752475247524752 0.55 480597.3333333333 [1, 0, 7, 7, 1, 0, 4, 7, 2, 6, 1, 3, 4, 6, 1, 1, 2, 1, 4, 7, 1, 6, 7, 7, 0, 7, 7, 5, 0, 4, 1, 5, 4, 4, 7, 0, 3, 0, 1, 0, 3, 3, 3, 4, 2, 3, 5, 3, 3, 3, 3, 3, 5, 3, 6, 6, 1, 6, 2, 6, 2, 2, 2, 2, 2, 2] 
dag35.txt 5_4_3_2x2.txt 0.5148514851485149 0.65 348160.0 [2, 4, 7, 7, 2, 1, 0, 7, 4, 5, 2, 6, 1, 0, 2, 2, 4, 2, 1, 7, 2, 5, 4, 7, 0, 7, 7, 0, 0, 1, 2, 3, 1, 1, 7, 0, 6, 0, 2, 0, 6, 6, 6, 1, 5, 6, 3, 6, 6, 6, 6, 6, 3, 6, 5, 5, 2, 5, 4, 5, 4, 4, 4, 4, 4, 4] 
dag35.txt 3_2x4.txt 0.4752475247524752 0.6 480597.3333333333 [1, 0, 7, 7, 1, 0, 4, 7, 2, 6, 1, 3, 4, 6, 1, 1, 2, 1, 4, 7, 1, 6, 7, 7, 0, 7, 7, 5, 0, 4, 1, 5, 4, 4, 7, 0, 3, 0, 1, 0, 3, 3, 3, 4, 2, 3, 5, 3, 3, 3, 3, 3, 5, 3, 6, 6, 1, 6, 2, 6, 2, 2, 2, 2, 2, 2] 
dag35.txt 4_1x5.txt 0.5148514851485149 0.55 385024.0 [1, 8, 3, 8, 0, 8, 6, 3, 0, 4, 0, 3, 6, 0, 0, 0, 6, 0, 6, 3, 0, 2, 8, 2, 2, 8, 1, 1, 0, 7, 6, 8, 6, 6, 8, 2, 9, 5, 0, 5, 7, 9, 6, 6, 4, 9, 8, 9, 3, 3, 9, 9, 2, 2, 2, 2, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4] 
dag35.txt 5_4_3_2x2.txt 0.5148514851485149 0.7 348160.0 [2, 4, 7, 7, 2, 1, 0, 7, 4, 5, 2, 6, 1, 0, 2, 2, 4, 2, 1, 7, 2, 5, 4, 7, 0, 7, 7, 0, 0, 1, 2, 3, 1, 1, 7, 0, 6, 0, 2, 0, 6, 6, 6, 1, 5, 6, 3, 6, 6, 6, 6, 6, 3, 6, 5, 5, 2, 5, 4, 5, 4, 4, 4, 4, 4, 4] 
