dag36.txt 3_2x4.txt 0.09090909090909091 0.1 1469098.6666666667 [2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0] 
dag36.txt 3_2x4.txt 0.14772727272727273 0.15 1163264.0 [2, 0, 2, 2, 2, 2, 0, 0, 0, 4, 2, 2, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2] 
dag36.txt 3_2x4.txt 0.19318181818181818 0.2 873813.3333333334 [4, 0, 6, 4, 1, 2, 0, 0, 0, 0, 4, 4, 0, 0, 0, 1, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 2, 0, 2, 2, 0, 2, 6, 6, 2, 2, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag36.txt 3_2x4.txt 0.23863636363636365 0.25 802816.0 [2, 2, 0, 0, 6, 4, 4, 2, 4, 2, 1, 1, 2, 2, 4, 6, 4, 2, 0, 0, 2, 2, 6, 6, 2, 2, 0, 2, 3, 0, 2, 3, 2, 2, 3, 2, 0, 0, 2, 0, 2, 0, 2, 2, 0, 4, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0] 
dag36.txt 3_2x4.txt 0.29545454545454547 0.3 425984.0 [4, 6, 4, 1, 1, 7, 0, 2, 0, 2, 1, 1, 2, 6, 0, 1, 0, 6, 1, 4, 0, 0, 5, 5, 0, 0, 4, 6, 5, 4, 6, 5, 6, 6, 5, 6, 4, 4, 6, 3, 2, 3, 0, 2, 2, 6, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag36.txt 3_2x4.txt 0.3409090909090909 0.35 442368.0 [2, 2, 2, 3, 1, 7, 5, 5, 7, 6, 3, 3, 5, 2, 7, 1, 5, 2, 3, 3, 5, 5, 5, 1, 5, 5, 3, 4, 1, 3, 4, 1, 4, 4, 1, 4, 2, 2, 4, 0, 0, 0, 5, 0, 6, 7, 6, 6, 0, 6, 0, 6, 6, 0, 6, 6, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.3977272727272727 0.4 434176.0 [0, 4, 0, 7, 7, 2, 2, 5, 2, 5, 7, 7, 5, 3, 2, 7, 2, 1, 7, 0, 2, 2, 1, 1, 5, 5, 0, 4, 1, 0, 3, 1, 6, 4, 6, 4, 0, 4, 3, 4, 5, 3, 5, 5, 6, 6, 6, 6, 3, 6, 5, 6, 7, 5, 6, 5, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.4431818181818182 0.45 393216.0 [0, 5, 4, 7, 0, 2, 3, 1, 2, 3, 7, 6, 0, 2, 3, 0, 3, 5, 7, 7, 1, 1, 0, 0, 1, 1, 7, 2, 2, 7, 4, 2, 4, 4, 2, 5, 5, 5, 4, 5, 1, 4, 1, 1, 6, 6, 6, 6, 6, 6, 4, 6, 6, 1, 6, 1, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.3977272727272727 0.5 393216.0 [2, 1, 2, 7, 7, 2, 3, 4, 6, 3, 7, 7, 4, 0, 3, 7, 3, 1, 7, 2, 4, 4, 5, 4, 4, 4, 2, 0, 1, 2, 0, 1, 5, 0, 1, 0, 1, 1, 5, 0, 4, 5, 4, 4, 6, 6, 6, 6, 6, 6, 4, 6, 6, 4, 6, 4, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.4431818181818182 0.55 393216.0 [0, 5, 4, 7, 0, 2, 3, 1, 2, 3, 7, 6, 0, 2, 3, 0, 3, 5, 7, 7, 1, 1, 0, 0, 1, 1, 7, 2, 2, 7, 4, 2, 4, 4, 2, 5, 5, 5, 4, 5, 1, 4, 1, 1, 6, 6, 6, 6, 6, 6, 4, 6, 6, 1, 6, 1, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.4431818181818182 0.6 393216.0 [0, 5, 4, 7, 0, 2, 3, 1, 2, 3, 7, 6, 0, 2, 3, 0, 3, 5, 7, 7, 1, 1, 0, 0, 1, 1, 7, 2, 2, 7, 4, 2, 4, 4, 2, 5, 5, 5, 4, 5, 1, 4, 1, 1, 6, 6, 6, 6, 6, 6, 4, 6, 6, 1, 6, 1, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.4431818181818182 0.65 393216.0 [6, 3, 0, 7, 7, 4, 5, 2, 2, 5, 7, 7, 2, 3, 5, 7, 5, 3, 7, 0, 2, 2, 6, 6, 2, 1, 0, 0, 4, 0, 3, 3, 6, 1, 4, 1, 0, 1, 6, 1, 2, 6, 2, 2, 4, 4, 4, 4, 4, 4, 6, 4, 4, 2, 4, 2, 4, 2, 2] 
dag36.txt 3_2x4.txt 0.4431818181818182 0.7 393216.0 [6, 3, 0, 7, 7, 4, 5, 2, 2, 5, 7, 7, 2, 3, 5, 7, 5, 3, 7, 0, 2, 2, 6, 6, 2, 1, 0, 0, 4, 0, 3, 3, 6, 1, 4, 1, 0, 1, 6, 1, 2, 6, 2, 2, 4, 4, 4, 4, 4, 4, 6, 4, 4, 2, 4, 2, 4, 2, 2] 
dag36.txt 3_2x4.txt 0.3977272727272727 0.8 393216.0 [2, 1, 2, 7, 7, 2, 3, 4, 6, 3, 7, 7, 4, 0, 3, 7, 3, 1, 7, 2, 4, 4, 5, 4, 4, 4, 2, 0, 1, 2, 0, 1, 5, 0, 1, 0, 1, 1, 5, 0, 4, 5, 4, 4, 6, 6, 6, 6, 6, 6, 4, 6, 6, 4, 6, 4, 6, 6, 6] 
dag36.txt 3_2x4.txt 0.4431818181818182 0.9 393216.0 [6, 3, 0, 7, 7, 4, 5, 2, 2, 5, 7, 7, 2, 3, 5, 7, 5, 3, 7, 0, 2, 2, 6, 6, 2, 1, 0, 0, 4, 0, 3, 3, 6, 1, 4, 1, 0, 1, 6, 1, 2, 6, 2, 2, 4, 4, 4, 4, 4, 4, 6, 4, 4, 2, 4, 2, 4, 2, 2] 
dag36.txt 3_2x4.txt 0.4431818181818182 1 393216.0 [6, 3, 0, 7, 7, 4, 5, 2, 2, 5, 7, 7, 2, 3, 5, 7, 5, 3, 7, 0, 2, 2, 6, 6, 2, 1, 0, 0, 4, 0, 3, 3, 6, 1, 4, 1, 0, 1, 6, 1, 2, 6, 2, 2, 4, 4, 4, 4, 4, 4, 6, 4, 4, 2, 4, 2, 4, 2, 2] 
dag36.txt 5_4_3_2x2.txt 0.09090909090909091 0.1 881459.2 [4, 0, 4, 4, 4, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 4, 0, 0, 0, 4, 0, 0] 
dag36.txt 5_4_3_2x2.txt 0.14772727272727273 0.15 697958.4 [4, 0, 4, 4, 4, 4, 0, 0, 0, 1, 4, 4, 0, 0, 0, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 4, 0, 4, 0, 4, 4, 4] 
dag36.txt 5_4_3_2x2.txt 0.19318181818181818 0.2 524288.0 [1, 0, 5, 1, 2, 4, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 4, 0, 4, 4, 0, 4, 5, 5, 4, 4, 4, 4, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dag36.txt 5_4_3_2x2.txt 0.23863636363636365 0.25 481689.6 [4, 4, 0, 0, 5, 1, 1, 4, 1, 4, 2, 2, 4, 4, 1, 5, 1, 4, 0, 0, 4, 4, 5, 5, 4, 4, 0, 4, 6, 0, 4, 6, 4, 4, 6, 4, 0, 0, 4, 0, 4, 0, 4, 4, 0, 1, 0, 0, 0, 0, 4, 0, 0, 4, 0, 4, 0, 0, 0] 
dag36.txt 5_4_3_2x2.txt 0.2840909090909091 0.3 311296.0 [1, 5, 1, 2, 2, 0, 0, 4, 0, 4, 2, 2, 4, 5, 0, 2, 0, 5, 2, 1, 0, 0, 3, 3, 0, 0, 1, 5, 3, 1, 5, 3, 5, 5, 3, 5, 1, 1, 5, 6, 4, 6, 0, 4, 4, 5, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] 
dag36.txt 5_4_3_2x2.txt 0.3409090909090909 0.35 425984.0 [4, 3, 4, 7, 7, 2, 2, 0, 5, 2, 7, 7, 0, 6, 2, 7, 2, 3, 7, 4, 0, 0, 5, 5, 0, 0, 4, 3, 5, 4, 6, 5, 1, 1, 5, 3, 3, 3, 6, 3, 0, 6, 0, 0, 1, 1, 0, 1, 6, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1] 
dag36.txt 5_4_3_2x2.txt 0.3977272727272727 0.4 401408.0 [2, 2, 4, 7, 7, 1, 6, 5, 6, 6, 7, 7, 5, 2, 6, 7, 6, 2, 7, 4, 5, 5, 0, 0, 5, 5, 4, 2, 1, 4, 2, 0, 0, 0, 0, 3, 4, 4, 3, 0, 5, 3, 5, 5, 1, 1, 1, 1, 3, 1, 5, 1, 7, 5, 1, 5, 1, 1, 1] 
dag36.txt 5_4_3_2x2.txt 0.4090909090909091 0.45 288358.4 [4, 2, 4, 7, 4, 5, 6, 1, 1, 6, 7, 7, 1, 0, 6, 7, 6, 2, 7, 4, 1, 1, 3, 0, 1, 1, 4, 0, 2, 4, 0, 2, 4, 0, 2, 0, 2, 2, 3, 0, 1, 3, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5] 
dag36.txt 5_4_3_2x2.txt 0.4090909090909091 0.5 288358.4 [4, 2, 4, 7, 4, 5, 6, 1, 1, 6, 7, 7, 1, 0, 6, 7, 6, 2, 7, 4, 1, 1, 3, 0, 1, 1, 4, 0, 2, 4, 0, 2, 4, 0, 2, 0, 2, 2, 3, 0, 1, 3, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5] 
dag36.txt 5_4_3_2x2.txt 0.45454545454545453 0.55 286720.0 [1, 1, 0, 7, 0, 4, 4, 3, 4, 0, 7, 7, 3, 6, 4, 7, 4, 2, 7, 0, 4, 4, 2, 2, 3, 3, 0, 1, 2, 0, 5, 2, 5, 1, 5, 1, 0, 1, 6, 1, 3, 6, 3, 3, 5, 5, 5, 5, 6, 5, 3, 5, 7, 3, 5, 3, 5, 5, 5] 
dag36.txt 5_4_3_2x2.txt 0.4431818181818182 0.6 286720.0 [5, 6, 0, 7, 0, 0, 3, 4, 1, 4, 7, 7, 4, 6, 3, 7, 3, 6, 7, 0, 4, 4, 5, 5, 4, 2, 0, 4, 1, 0, 6, 6, 5, 2, 1, 2, 0, 2, 5, 2, 4, 5, 4, 4, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 1, 4, 1, 4, 4] 
dag36.txt 5_4_3_2x2.txt 0.4090909090909091 0.65 288358.4 [4, 2, 4, 7, 4, 5, 6, 1, 1, 6, 7, 7, 1, 0, 6, 7, 6, 2, 7, 4, 1, 1, 3, 0, 1, 1, 4, 0, 2, 4, 0, 2, 4, 0, 2, 0, 2, 2, 3, 0, 1, 3, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5] 
dag36.txt 5_4_3_2x2.txt 0.4090909090909091 0.7 288358.4 [4, 2, 4, 7, 4, 5, 6, 1, 1, 6, 7, 7, 1, 0, 6, 7, 6, 2, 7, 4, 1, 1, 3, 0, 1, 1, 4, 0, 2, 4, 0, 2, 4, 0, 2, 0, 2, 2, 3, 0, 1, 3, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5] 
dag36.txt 5_4_3_2x2.txt 0.4090909090909091 0.8 288358.4 [4, 2, 4, 7, 4, 5, 6, 1, 1, 6, 7, 7, 1, 0, 6, 7, 6, 2, 7, 4, 1, 1, 3, 0, 1, 1, 4, 0, 2, 4, 0, 2, 4, 0, 2, 0, 2, 2, 3, 0, 1, 3, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5] 
dag36.txt 5_4_3_2x2.txt 0.4090909090909091 0.9 288358.4 [4, 2, 4, 7, 4, 5, 6, 1, 1, 6, 7, 7, 1, 0, 6, 7, 6, 2, 7, 4, 1, 1, 3, 0, 1, 1, 4, 0, 2, 4, 0, 2, 4, 0, 2, 0, 2, 2, 3, 0, 1, 3, 1, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5] 
