dag66.txt 3_2x4.txt 0.4153846153846154 0.5 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 3_2x4.txt 0.4153846153846154 0.55 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 3_2x4.txt 0.4153846153846154 0.6 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 3_2x4.txt 0.4153846153846154 0.65 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 5_4_3_2x2.txt 0.4461538461538462 0.5 331776.0 [4, 6, 0, 4, 7, 7, 5, 4, 3, 0, 4, 5, 7, 4, 5, 0, 0, 4, 7, 5, 4, 0, 3, 4, 0, 0, 1, 3, 6, 5, 4, 4, 4, 3, 4, 4, 0, 4, 4, 4, 3, 0, 0, 0, 3, 4, 5, 6, 1, 4, 3, 6, 3, 2, 6, 2, 6, 6, 2, 6, 7, 2, 1, 1, 1, 1, 5, 6, 4, 1, 6, 6, 5, 1, 1, 5, 1, 1, 6, 1, 1, 1, 2, 1, 7, 2, 7, 2] 
dag66.txt 3_2x4.txt 0.4153846153846154 0.7 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 5_4_3_2x2.txt 0.4461538461538462 0.55 331776.0 [4, 6, 0, 4, 7, 7, 5, 4, 3, 0, 4, 5, 7, 4, 5, 0, 0, 4, 7, 5, 4, 0, 3, 4, 0, 0, 1, 3, 6, 5, 4, 4, 4, 3, 4, 4, 0, 4, 4, 4, 3, 0, 0, 0, 3, 4, 5, 6, 1, 4, 3, 6, 3, 2, 6, 2, 6, 6, 2, 6, 7, 2, 1, 1, 1, 1, 5, 6, 4, 1, 6, 6, 5, 1, 1, 5, 1, 1, 6, 1, 1, 1, 2, 1, 7, 2, 7, 2] 
dag66.txt 3_2x4.txt 0.4153846153846154 0.8 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 4_1x5.txt 0.5 0.5 409600.0 [8, 7, 4, 8, 3, 3, 7, 8, 3, 4, 8, 0, 2, 1, 4, 6, 4, 2, 3, 0, 8, 0, 3, 8, 4, 4, 8, 3, 7, 0, 8, 8, 0, 4, 8, 8, 4, 8, 1, 8, 4, 4, 0, 0, 4, 8, 0, 2, 2, 8, 3, 5, 2, 3, 5, 8, 7, 7, 1, 7, 2, 8, 8, 8, 9, 0, 0, 7, 7, 7, 7, 7, 2, 9, 9, 6, 9, 9, 7, 6, 6, 6, 8, 6, 8, 6, 7, 6] 
dag66.txt 5_4_3_2x2.txt 0.4461538461538462 0.6 331776.0 [4, 6, 0, 4, 7, 7, 5, 4, 3, 0, 4, 5, 7, 4, 5, 0, 0, 4, 7, 5, 4, 0, 3, 4, 0, 0, 1, 3, 6, 5, 4, 4, 4, 3, 4, 4, 0, 4, 4, 4, 3, 0, 0, 0, 3, 4, 5, 6, 1, 4, 3, 6, 3, 2, 6, 2, 6, 6, 2, 6, 7, 2, 1, 1, 1, 1, 5, 6, 4, 1, 6, 6, 5, 1, 1, 5, 1, 1, 6, 1, 1, 1, 2, 1, 7, 2, 7, 2] 
dag66.txt 3_2x4.txt 0.4153846153846154 0.9 447829.3333333333 [0, 3, 4, 2, 7, 7, 6, 2, 5, 5, 2, 6, 7, 2, 6, 6, 0, 7, 7, 6, 2, 0, 5, 2, 0, 0, 4, 5, 3, 6, 2, 2, 2, 5, 2, 2, 0, 2, 2, 2, 5, 0, 0, 0, 5, 2, 2, 3, 0, 2, 5, 3, 5, 1, 3, 1, 3, 3, 1, 3, 7, 1, 4, 4, 4, 4, 6, 3, 2, 4, 3, 3, 6, 4, 4, 6, 4, 4, 3, 4, 4, 4, 1, 4, 7, 1, 7, 1] 
dag66.txt 3_2x3.txt 0.4846153846153846 0.5 581632.0 [2, 5, 4, 3, 1, 3, 5, 3, 2, 4, 0, 2, 2, 3, 5, 2, 5, 2, 3, 5, 3, 4, 2, 2, 5, 5, 3, 3, 5, 2, 0, 2, 4, 3, 0, 2, 5, 3, 3, 3, 3, 3, 4, 4, 3, 3, 2, 4, 0, 3, 3, 4, 4, 1, 0, 1, 2, 2, 1, 3, 0, 1, 1, 1, 0, 0, 3, 3, 0, 0, 3, 3, 2, 0, 4, 1, 0, 0, 2, 0, 5, 5, 1, 5, 0, 1, 0, 1] 
dag66.txt 4_1x5.txt 0.43846153846153846 0.55 364544.0 [8, 6, 8, 7, 0, 0, 6, 6, 9, 4, 6, 6, 9, 7, 6, 6, 2, 4, 0, 6, 7, 4, 9, 6, 2, 2, 8, 9, 6, 6, 8, 8, 6, 2, 8, 8, 2, 7, 7, 7, 2, 2, 4, 4, 2, 0, 0, 2, 4, 0, 9, 5, 4, 9, 5, 0, 8, 8, 0, 8, 2, 0, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 1, 8, 3, 1, 8, 8, 7, 2, 3, 3, 0, 3, 0, 0, 0, 0] 
