dagD29.txt 1234x1.txt True 0.324468085106383 0.5 368.75 [2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1] 
dagD29.txt 1234x1.txt True 0.324468085106383 0.6 368.75 [2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1] 
dagD29.txt 1234x1.txt True 0.648936170212766 0.7 503.0 [0, 1, 1, 2, 0, 1, 0, 1, 1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 1, 2, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 2, 2, 2, 2, 3, 0, 2, 3, 3, 2, 2, 0, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagD29.txt 1234x1.txt True 0.7393617021276596 0.8 560.0 [2, 0, 2, 2, 2, 0, 0, 1, 0, 2, 0, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 0, 1, 1, 3, 3, 0, 1, 3, 2, 1, 2, 2, 3, 3, 3, 3, 3, 1, 2, 1, 3, 1, 3, 1, 1, 3, 0, 2, 0, 3, 1, 1, 3, 3, 2, 0, 3, 0, 0, 0, 0, 0, 0] 
dagD29.txt 1234x1.txt True 0.7393617021276596 0.9 560.0 [2, 0, 2, 2, 2, 0, 0, 1, 0, 2, 0, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 0, 1, 1, 3, 3, 0, 1, 3, 2, 1, 2, 2, 3, 3, 3, 3, 3, 1, 2, 1, 3, 1, 3, 1, 1, 3, 0, 2, 0, 3, 1, 1, 3, 3, 2, 0, 3, 0, 0, 0, 0, 0, 0] 
dagD29.txt 1234x1.txt True 0.7393617021276596 1 560.0 [2, 0, 2, 2, 2, 0, 0, 1, 0, 2, 0, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 0, 1, 1, 3, 3, 0, 1, 3, 2, 1, 2, 2, 3, 3, 3, 3, 3, 1, 2, 1, 3, 1, 3, 1, 1, 3, 0, 2, 0, 3, 1, 1, 3, 3, 2, 0, 3, 0, 0, 0, 0, 0, 0] 
dagD29.txt 1234x1.txt True 0.324468085106383 0.5 368.75 [2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1] 
dagD29.txt 1234x1.txt True 0.324468085106383 0.6 368.75 [2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1] 
dagD29.txt 1234x1.txt True 0.648936170212766 0.7 503.0 [0, 1, 1, 2, 0, 1, 0, 1, 1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 1, 2, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 2, 2, 2, 2, 3, 0, 2, 3, 3, 2, 2, 0, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagD29.txt 1234x1.txt True 0.7393617021276596 0.8 560.0 [2, 0, 2, 2, 2, 0, 0, 1, 0, 2, 0, 2, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 0, 1, 1, 3, 3, 0, 1, 3, 2, 1, 2, 2, 3, 3, 3, 3, 3, 1, 2, 1, 3, 1, 3, 1, 1, 3, 0, 2, 0, 3, 1, 1, 3, 3, 2, 0, 3, 0, 0, 0, 0, 0, 0] 
