dagD16.txt 3_2x4.txt True 0.04568527918781726 0.07 458.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 6, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 7] 
dagD16.txt 3_2x4.txt True 0.07614213197969544 0.08 415.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 3, 7, 7, 7, 7, 1, 7, 3, 7, 7, 1, 1, 7, 7, 7, 7, 7, 1, 1, 7, 7, 2, 3] 
dagD16.txt 3_2x4.txt True 0.07614213197969544 0.09 415.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 3, 7, 7, 7, 7, 1, 7, 3, 7, 7, 1, 1, 7, 7, 7, 7, 7, 1, 1, 7, 7, 2, 3] 
dagD16.txt 3_2x4.txt True 0.09644670050761421 0.1 389.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 6, 7, 5, 3, 3, 3, 7, 7, 7, 3, 3, 5, 3] 
dagD16.txt 3_2x4.txt True 0.09644670050761421 0.11 389.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 6, 7, 5, 3, 3, 3, 7, 7, 7, 3, 3, 5, 3] 
dagD16.txt 3_2x4.txt True 0.09644670050761421 0.12 389.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 6, 7, 5, 3, 3, 3, 7, 7, 7, 3, 3, 5, 3] 
dagD16.txt 3_2x4.txt True 0.10152284263959391 0.13 403.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 5, 7, 4, 5, 7, 7, 3, 7, 4, 5, 4, 7, 5, 7, 7] 
dagD16.txt 3_2x4.txt True 0.10152284263959391 0.14 403.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 5, 7, 4, 5, 7, 7, 3, 7, 4, 5, 4, 7, 5, 7, 7] 
dagD16.txt 3_2x4.txt True 0.14720812182741116 0.15 379.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 1, 7, 2, 7, 2, 3, 0, 7, 1, 7, 3, 3, 3, 7, 7, 7, 7] 
dagD16.txt 3_2x4.txt True 0.14720812182741116 0.16 379.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 1, 7, 2, 7, 2, 3, 0, 7, 1, 7, 3, 3, 3, 7, 7, 7, 7] 
dagD16.txt 3_2x4.txt True 0.14720812182741116 0.17 379.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 1, 7, 2, 7, 2, 3, 0, 7, 1, 7, 3, 3, 3, 7, 7, 7, 7] 
dagD16.txt 3_2x4.txt True 0.14720812182741116 0.18 379.75 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 1, 7, 2, 7, 2, 3, 0, 7, 1, 7, 3, 3, 3, 7, 7, 7, 7] 
