dagE35.txt 3_2x4.txt True 0.06103286384976526 0.07 522.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagE35.txt 3_2x4.txt True 0.07042253521126761 0.1 512.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3] 
dagE35.txt 3_2x4.txt True 0.11737089201877934 0.15 473.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 4, 1, 2] 
dagE35.txt 3_2x4.txt True 0.11737089201877934 0.2 473.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 4, 1, 2] 
dagE35.txt 3_2x4.txt True 0.11737089201877934 0.3 473.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 4, 1, 2] 
dagE35.txt 3_2x4.txt True 0.11737089201877934 0.4 473.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 4, 1, 2] 
dagE35.txt 3_2x4.txt True 0.39436619718309857 0.5 160.0 [5, 5, 5, 3, 5, 3, 5, 5, 5, 3, 3, 5, 5, 5, 3, 1, 5, 5, 5, 5, 5, 5, 3, 5, 3, 7, 1, 3, 5, 3, 3, 7, 5, 5, 3, 3, 0, 7, 3, 5, 1, 7, 5, 1, 1, 7, 7, 7, 7, 7, 3, 0, 3, 1, 1, 1, 1, 7, 7, 1, 1, 7, 7, 3, 3, 1, 1, 0, 1, 7] 
dagE35.txt 3_2x4.txt True 0.49765258215962443 0.6 145.75 [1, 7, 7, 1, 7, 7, 7, 1, 7, 1, 3, 7, 0, 1, 7, 5, 3, 3, 7, 7, 7, 1, 7, 1, 3, 1, 2, 1, 7, 7, 1, 1, 7, 0, 3, 7, 2, 1, 5, 2, 5, 3, 7, 5, 6, 3, 1, 3, 1, 1, 5, 7, 5, 7, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 6, 5, 5, 7, 5, 1] 
dagE35.txt 3_2x4.txt True 0.5539906103286385 0.7 123.75 [7, 7, 7, 3, 3, 0, 0, 7, 7, 3, 6, 7, 5, 3, 3, 3, 0, 3, 7, 7, 7, 3, 7, 3, 6, 5, 1, 3, 3, 3, 0, 5, 3, 2, 2, 4, 1, 5, 1, 3, 1, 1, 3, 5, 3, 5, 5, 1, 5, 5, 1, 1, 1, 7, 1, 4, 4, 5, 5, 7, 1, 5, 4, 1, 5, 1, 7, 7, 1, 5] 
dagE35.txt 3_2x4.txt True 0.8075117370892019 1 118.5 [5, 3, 4, 5, 1, 1, 3, 5, 4, 7, 0, 2, 1, 4, 5, 3, 0, 5, 7, 3, 5, 7, 1, 0, 5, 6, 5, 7, 6, 7, 5, 0, 7, 5, 1, 1, 5, 2, 1, 1, 7, 1, 7, 3, 7, 1, 7, 7, 3, 3, 1, 6, 3, 5, 2, 5, 3, 6, 3, 1, 7, 3, 7, 7, 3, 4, 7, 7, 5, 4] 
