dagL27.txt 3_2x4.txt True 0.038461538461538464 0.07 941.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 5, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 5, 5, 1, 5, 1, 5] 
dagL27.txt 3_2x4.txt True 0.09134615384615384 0.1 514.75 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 1, 5, 1, 5, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
dagL27.txt 3_2x4.txt True 0.09375 0.15 898.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 7, 1, 7, 7, 7, 1, 7, 7, 7, 7, 7, 1, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 3, 7, 7, 3, 1, 3] 
dagL27.txt 3_2x4.txt True 0.16826923076923078 0.2 826.0 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 5, 7, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 3, 5, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 5, 5, 5, 3, 5, 5, 5, 2, 6, 5, 5, 5, 5, 3, 5, 1, 3, 5, 0, 5, 5, 2, 3, 2] 
dagL27.txt 3_2x4.txt True 0.16826923076923078 0.3 826.0 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 5, 7, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 3, 5, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 5, 5, 5, 3, 5, 5, 5, 2, 6, 5, 5, 5, 5, 3, 5, 1, 3, 5, 0, 5, 5, 2, 3, 2] 
dagL27.txt 3_2x4.txt True 0.16826923076923078 0.4 826.0 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 5, 7, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 3, 5, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 5, 5, 5, 3, 5, 5, 5, 2, 6, 5, 5, 5, 5, 3, 5, 1, 3, 5, 0, 5, 5, 2, 3, 2] 
dagL27.txt 3_2x4.txt True 0.4375 0.5 277.75 [7, 7, 3, 1, 3, 3, 3, 7, 7, 3, 3, 3, 3, 3, 7, 3, 1, 7, 3, 7, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 5, 1, 7, 3, 3, 1, 1, 0, 1, 3, 3, 1, 5, 5, 0, 5, 2, 1, 3, 3, 5, 1, 1, 1, 1, 1, 1, 5, 1, 3, 1, 5, 5, 5, 3, 3, 1, 2, 1, 1, 1, 5, 7, 5, 1, 5, 1, 1, 5, 3, 3, 0, 5, 2, 7, 1, 3, 1, 1, 7, 1, 1, 5, 3, 1, 7, 1, 5, 1, 5, 0, 5, 1, 1, 7, 5, 5, 5, 5, 5, 1, 5, 7, 7, 5, 5, 7, 5, 5, 5, 5, 5, 5, 2, 0, 5, 7, 5, 7, 5, 5, 5, 5, 2, 2, 5, 5, 2, 3, 2] 
dagL27.txt 3_2x4.txt True 0.46875 0.6 245.0 [5, 5, 5, 5, 5, 1, 5, 1, 5, 5, 1, 5, 5, 5, 1, 1, 5, 5, 1, 5, 1, 1, 1, 1, 3, 1, 0, 5, 1, 3, 3, 0, 1, 3, 3, 5, 0, 2, 7, 1, 3, 0, 3, 3, 2, 1, 3, 7, 3, 3, 3, 4, 7, 3, 7, 7, 7, 1, 7, 3, 7, 3, 3, 1, 2, 2, 7, 5, 7, 4, 7, 1, 4, 1, 7, 1, 7, 4, 3, 1, 2, 3, 1, 5, 5, 3, 2, 5, 3, 5, 3, 3, 5, 2, 3, 4, 4, 5, 3, 7, 3, 5, 3, 3, 5, 5, 1, 5, 5, 5, 3, 7, 5, 7, 1, 1, 4, 5, 7, 7, 1, 5, 7, 7, 3, 1, 7, 1, 5, 5, 1, 7, 7, 5, 7, 1, 5, 7, 7, 7] 
dagL27.txt 3_2x4.txt True 0.5360576923076923 0.7 228.5 [5, 5, 5, 5, 5, 7, 7, 3, 5, 5, 7, 7, 0, 7, 1, 3, 7, 5, 7, 5, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 3, 1, 1, 0, 7, 5, 1, 1, 2, 7, 2, 1, 1, 2, 0, 1, 7, 3, 0, 3, 1, 2, 3, 3, 2, 3, 3, 3, 1, 0, 3, 1, 1, 1, 3, 1, 0, 3, 3, 0, 3, 3, 1, 1, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 4, 3, 1, 1, 6, 4, 3, 1, 3, 1, 7, 6, 7, 5, 3, 3, 3, 6, 5, 5, 5, 6, 1, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 7, 4, 6, 5, 6, 5, 5, 5, 5, 7, 6, 5, 4, 5, 5, 5, 4, 4] 
dagL27.txt 3_2x4.txt True 0.78125 1 213.75 [3, 2, 5, 3, 5, 1, 0, 7, 1, 3, 7, 3, 5, 5, 5, 1, 3, 3, 7, 2, 3, 4, 7, 0, 7, 3, 3, 3, 7, 1, 3, 3, 1, 1, 3, 3, 3, 5, 1, 0, 5, 3, 1, 0, 7, 7, 1, 1, 1, 0, 0, 3, 1, 7, 3, 1, 5, 4, 1, 4, 2, 1, 7, 7, 5, 3, 7, 5, 0, 2, 1, 3, 5, 1, 3, 5, 3, 7, 3, 1, 6, 2, 6, 5, 5, 7, 7, 6, 7, 1, 5, 2, 4, 0, 1, 5, 4, 6, 7, 3, 3, 1, 5, 2, 1, 4, 1, 7, 7, 7, 6, 5, 5, 7, 3, 5, 4, 5, 5, 7, 1, 7, 1, 0, 7, 5, 7, 3, 7, 4, 1, 7, 7, 1, 6, 5, 5, 7, 6, 1] 
