dag20.txt 3_2x4.txt True 0.008 0.04 4636672.0 [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dag20.txt 3_2x4.txt True 0.056 0.06 4407296.0 [3, 3, 0, 3, 3, 1, 3, 2, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2] 
dag20.txt 3_2x4.txt True 0.056 0.08 4407296.0 [3, 3, 0, 3, 3, 1, 3, 2, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2] 
dag20.txt 3_2x4.txt True 0.056 0.1 4407296.0 [3, 3, 0, 3, 3, 1, 3, 2, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2] 
dag20.txt 3_2x4.txt True 0.12 0.12 3489792.0 [3, 3, 0, 3, 2, 1, 3, 2, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 1, 3, 2, 3, 3, 0, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag20.txt 3_2x4.txt True 0.12 0.14 3489792.0 [3, 3, 0, 3, 2, 1, 3, 2, 3, 1, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 0, 1, 3, 2, 3, 3, 0, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag20.txt 3_2x4.txt True 0.16 0.16 1900544.0 [4, 1, 0, 4, 4, 2, 4, 4, 4, 2, 4, 0, 1, 4, 1, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 1, 2, 4, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4, 1, 4, 1, 1, 2, 1, 3, 2, 3, 3, 4, 3, 2, 2] 
dag20.txt 3_2x4.txt True 0.16 0.18 1900544.0 [4, 1, 0, 4, 4, 2, 4, 4, 4, 2, 4, 0, 1, 4, 1, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 1, 2, 4, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4, 1, 4, 1, 1, 2, 1, 3, 2, 3, 3, 4, 3, 2, 2] 
dag20.txt 3_2x4.txt True 0.2 0.2 1310720.0 [4, 1, 0, 4, 4, 2, 4, 3, 4, 1, 4, 0, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 0, 2, 4, 4, 2, 4, 4, 4, 2, 3, 4, 2, 4, 4, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 1, 3, 1, 1, 4, 1, 1, 4, 4, 4, 3, 1, 1, 1, 3, 4, 2, 2, 1, 2, 1, 2, 2, 1, 3, 2, 3, 3, 3, 3, 3, 3] 
dag20.txt 3_2x4.txt True 0.24 0.25 1108650.6666666667 [6, 6, 0, 5, 6, 6, 2, 6, 1, 5, 5, 0, 6, 2, 6, 1, 4, 2, 5, 6, 1, 6, 1, 0, 6, 1, 6, 6, 6, 0, 5, 6, 6, 0, 6, 6, 1, 6, 6, 6, 1, 5, 5, 5, 1, 5, 6, 5, 1, 5, 1, 5, 1, 5, 6, 3, 3, 3, 4, 3, 5, 1, 1, 1, 3, 3, 6, 3, 3, 4, 3, 3, 6, 3, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
