dag3.txt 3_2x4.txt 0.42657342657342656 0.65 598016.0 [7, 0, 3, 0, 6, 0, 4, 3, 2, 4, 0, 5, 4, 6, 0, 6, 6, 2, 0, 2, 6, 5, 4, 6, 1, 0, 0, 3, 2, 3, 3, 0, 7, 4, 0, 4, 7, 3, 1, 2, 6, 1, 7, 7, 2, 1, 7, 5, 5, 5, 5, 5, 6, 5, 0, 6, 4, 7, 7, 7, 5, 5, 3, 7, 3, 7, 2, 1, 0, 7, 0, 0, 7, 0, 4, 4, 5, 0, 5, 7, 5, 7, 1, 1, 3, 3, 5, 5, 7, 2, 2, 5, 3, 3, 5, 7, 7] 
dag3.txt 3_2x4.txt 0.3986013986013986 0.6 584362.6666666666 [0, 1, 2, 7, 6, 1, 6, 5, 6, 4, 7, 5, 0, 4, 2, 7, 4, 5, 7, 6, 7, 6, 4, 7, 4, 7, 0, 2, 0, 2, 6, 4, 6, 0, 4, 0, 0, 2, 1, 0, 1, 1, 0, 0, 5, 2, 5, 0, 6, 5, 5, 5, 4, 5, 7, 3, 4, 3, 5, 3, 5, 5, 5, 5, 2, 5, 5, 2, 7, 3, 7, 7, 5, 7, 3, 3, 1, 1, 6, 5, 5, 6, 1, 1, 2, 1, 3, 1, 6, 3, 6, 3, 2, 6, 3, 3, 6] 
dag3.txt 3_2x4.txt 0.38461538461538464 0.55 589824.0 [3, 3, 0, 7, 4, 3, 4, 0, 4, 6, 7, 2, 6, 6, 0, 7, 2, 5, 7, 4, 7, 2, 6, 7, 5, 7, 3, 0, 3, 0, 2, 5, 3, 6, 5, 6, 2, 0, 2, 2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 6, 2, 7, 7, 6, 0, 1, 1, 2, 1, 1, 1, 0, 1, 5, 0, 7, 1, 7, 7, 1, 5, 5, 1, 5, 5, 2, 1, 2, 2, 5, 5, 0, 4, 1, 4, 2, 4, 4, 1, 0, 1, 1, 1, 1] 
dag3.txt 3_2x4.txt 0.38461538461538464 0.5 589824.0 [3, 3, 0, 7, 4, 3, 4, 0, 4, 6, 7, 2, 6, 6, 0, 7, 2, 5, 7, 4, 7, 2, 6, 7, 5, 7, 3, 0, 3, 0, 2, 5, 3, 6, 5, 6, 2, 0, 2, 2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 6, 2, 7, 7, 6, 0, 1, 1, 2, 1, 1, 1, 0, 1, 5, 0, 7, 1, 7, 7, 1, 5, 5, 1, 5, 5, 2, 1, 2, 2, 5, 5, 0, 4, 1, 4, 2, 4, 4, 1, 0, 1, 1, 1, 1] 
dag3.txt 3_2x4.txt 0.3776223776223776 0.8 589824.0 [5, 5, 6, 2, 6, 5, 6, 7, 4, 4, 1, 7, 4, 0, 6, 1, 2, 6, 1, 0, 1, 5, 4, 1, 2, 2, 5, 6, 5, 1, 5, 2, 5, 4, 7, 4, 5, 1, 5, 0, 5, 5, 5, 5, 6, 3, 7, 3, 3, 3, 7, 3, 4, 7, 1, 7, 4, 2, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 1, 7, 1, 1, 7, 1, 7, 7, 3, 2, 3, 3, 3, 3, 2, 2, 0, 0, 7, 0, 3, 6, 0, 0, 0, 0, 0, 0, 0] 
dag3.txt 3_2x4.txt 0.38461538461538464 0.45 589824.0 [3, 3, 0, 7, 4, 3, 4, 0, 4, 6, 7, 2, 6, 6, 0, 7, 2, 5, 7, 4, 7, 2, 6, 7, 5, 7, 3, 0, 3, 0, 2, 5, 3, 6, 5, 6, 2, 0, 2, 2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 6, 2, 7, 7, 6, 0, 1, 1, 2, 1, 1, 1, 0, 1, 5, 0, 7, 1, 7, 7, 1, 5, 5, 1, 5, 5, 2, 1, 2, 2, 5, 5, 0, 4, 1, 4, 2, 4, 4, 1, 0, 1, 1, 1, 1] 
dag3.txt 3_2x4.txt 0.3986013986013986 0.9 584362.6666666666 [0, 1, 2, 7, 6, 1, 6, 5, 6, 4, 7, 5, 0, 4, 2, 7, 4, 5, 7, 6, 7, 6, 4, 7, 4, 7, 0, 2, 0, 2, 6, 4, 6, 0, 4, 0, 0, 2, 1, 0, 1, 1, 0, 0, 5, 2, 5, 0, 6, 5, 5, 5, 4, 5, 7, 3, 4, 3, 5, 3, 5, 5, 5, 5, 2, 5, 5, 2, 7, 3, 7, 7, 5, 7, 3, 3, 1, 1, 6, 5, 5, 6, 1, 1, 2, 1, 3, 1, 6, 3, 6, 3, 2, 6, 3, 3, 6] 
dag3.txt 3_2x4.txt 0.34265734265734266 0.35 598016.0 [7, 7, 3, 0, 5, 7, 6, 3, 5, 6, 6, 4, 2, 6, 4, 7, 6, 1, 0, 5, 6, 2, 2, 7, 1, 4, 7, 3, 7, 3, 2, 0, 2, 2, 2, 2, 7, 3, 7, 0, 7, 7, 7, 7, 0, 0, 4, 0, 2, 0, 4, 4, 6, 4, 6, 6, 2, 4, 2, 4, 4, 4, 4, 4, 3, 4, 1, 1, 0, 4, 6, 0, 4, 0, 2, 2, 0, 0, 2, 2, 3, 2, 1, 0, 3, 3, 2, 3, 2, 1, 5, 1, 3, 5, 2, 2, 2] 
dag3.txt 3_2x4.txt 0.38461538461538464 0.4 589824.0 [3, 3, 0, 7, 4, 3, 4, 0, 4, 6, 7, 2, 6, 6, 0, 7, 2, 5, 7, 4, 7, 2, 6, 7, 5, 7, 3, 0, 3, 0, 2, 5, 3, 6, 5, 6, 2, 0, 2, 2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 6, 2, 7, 7, 6, 0, 1, 1, 2, 1, 1, 1, 0, 1, 5, 0, 7, 1, 7, 7, 1, 5, 5, 1, 5, 5, 2, 1, 2, 2, 5, 5, 0, 4, 1, 4, 2, 4, 4, 1, 0, 1, 1, 1, 1] 
dag3.txt 3_2x4.txt 0.38461538461538464 0.7 589824.0 [3, 3, 0, 7, 4, 3, 4, 0, 4, 6, 7, 2, 6, 6, 0, 7, 2, 5, 7, 4, 7, 2, 6, 7, 5, 7, 3, 0, 3, 0, 2, 5, 3, 6, 5, 6, 2, 0, 2, 2, 3, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 6, 2, 7, 7, 6, 0, 1, 1, 2, 1, 1, 1, 0, 1, 5, 0, 7, 1, 7, 7, 1, 5, 5, 1, 5, 5, 2, 1, 2, 2, 5, 5, 0, 4, 1, 4, 2, 4, 4, 1, 0, 1, 1, 1, 1] 
