dag9.txt 3_2x4.txt 0.0962962962962963 0.1 1643861.3333333333 [2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0] 
dag9.txt 3_2x4.txt 0.4444444444444444 0.65 496981.3333333333 [6, 2, 4, 3, 6, 1, 3, 3, 6, 6, 2, 1, 7, 4, 1, 2, 3, 0, 3, 2, 4, 6, 3, 1, 1, 0, 4, 3, 1, 4, 3, 3, 1, 3, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 3, 7, 1, 7, 7, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 2, 5, 2, 5, 0, 2, 0, 0, 5, 5, 2, 5, 0, 0, 4, 0, 0, 0, 5, 0, 6, 0, 6, 6, 7, 6, 5, 5, 7, 7] 
dag9.txt 3_2x4.txt 0.4444444444444444 0.5 496981.3333333333 [6, 2, 4, 3, 6, 1, 3, 3, 6, 6, 2, 1, 7, 4, 1, 2, 3, 0, 3, 2, 4, 6, 3, 1, 1, 0, 4, 3, 1, 4, 3, 3, 1, 3, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 3, 7, 1, 7, 7, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 2, 5, 2, 5, 0, 2, 0, 0, 5, 5, 2, 5, 0, 0, 4, 0, 0, 0, 5, 0, 6, 0, 6, 6, 7, 6, 5, 5, 7, 7] 
dag9.txt 3_2x4.txt 0.43703703703703706 0.7 496981.3333333333 [2, 1, 6, 6, 2, 3, 1, 0, 4, 2, 3, 3, 0, 5, 3, 1, 0, 1, 6, 3, 1, 6, 6, 3, 3, 0, 5, 6, 6, 6, 0, 7, 7, 7, 5, 7, 3, 7, 1, 6, 5, 5, 6, 6, 6, 6, 3, 6, 3, 7, 5, 3, 6, 6, 0, 3, 5, 5, 0, 5, 0, 0, 0, 0, 1, 1, 1, 2, 5, 0, 1, 5, 2, 6, 4, 4, 4, 2, 5, 4, 3, 2, 6, 2, 0, 2, 4, 4, 4, 4] 
dag9.txt 3_2x4.txt 0.31851851851851853 0.35 524288.0 [1, 3, 4, 2, 1, 0, 2, 2, 6, 4, 6, 0, 0, 6, 0, 6, 0, 6, 0, 6, 2, 1, 2, 0, 0, 2, 4, 2, 1, 0, 2, 2, 0, 2, 4, 4, 4, 2, 6, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 5, 5, 5, 6, 6, 3, 3, 0, 5, 3, 5, 3, 1, 3, 3, 3, 7, 5, 3, 4, 7, 1, 7, 1, 1, 0, 5, 1, 1] 
dag9.txt 3_2x4.txt 0.4444444444444444 0.6 496981.3333333333 [6, 2, 4, 3, 6, 1, 3, 3, 6, 6, 2, 1, 7, 4, 1, 2, 3, 0, 3, 2, 4, 6, 3, 1, 1, 0, 4, 3, 1, 4, 3, 3, 1, 3, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 3, 7, 1, 7, 7, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 2, 5, 2, 5, 0, 2, 0, 0, 5, 5, 2, 5, 0, 0, 4, 0, 0, 0, 5, 0, 6, 0, 6, 6, 7, 6, 5, 5, 7, 7] 
dag9.txt 3_2x4.txt 0.3925925925925926 0.55 499712.0 [2, 3, 4, 7, 4, 6, 1, 1, 2, 6, 6, 6, 1, 4, 6, 3, 1, 1, 1, 6, 0, 2, 1, 6, 6, 6, 4, 7, 2, 0, 1, 7, 4, 7, 4, 4, 0, 7, 3, 0, 0, 0, 0, 0, 7, 0, 6, 0, 6, 6, 0, 6, 0, 0, 5, 6, 5, 0, 1, 0, 1, 6, 2, 1, 1, 3, 3, 3, 5, 5, 3, 5, 3, 3, 0, 0, 4, 3, 5, 4, 7, 2, 2, 2, 1, 2, 5, 5, 5, 5] 
dag9.txt 3_2x4.txt 0.4444444444444444 0.45 496981.3333333333 [6, 2, 4, 3, 6, 1, 3, 3, 6, 6, 2, 1, 7, 4, 1, 2, 3, 0, 3, 2, 4, 6, 3, 1, 1, 0, 4, 3, 1, 4, 3, 3, 1, 3, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 3, 7, 1, 7, 7, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 2, 5, 2, 5, 0, 2, 0, 0, 5, 5, 2, 5, 0, 0, 4, 0, 0, 0, 5, 0, 6, 0, 6, 6, 7, 6, 5, 5, 7, 7] 
dag9.txt 3_2x4.txt 0.35555555555555557 0.4 513365.3333333333 [4, 0, 4, 0, 4, 5, 0, 3, 6, 2, 0, 1, 6, 4, 1, 0, 6, 0, 6, 0, 0, 4, 0, 5, 2, 4, 4, 0, 5, 2, 3, 3, 2, 3, 4, 2, 2, 6, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 6, 6, 2, 1, 2, 2, 1, 1, 6, 2, 1, 2, 3, 1, 0, 1, 0, 0, 0, 0, 6, 1, 0, 6, 0, 4, 7, 7, 7, 4, 6, 7, 3, 5, 4, 5, 1, 5, 6, 6, 1, 1] 
dag9.txt 3_2x4.txt 0.4444444444444444 0.9 496981.3333333333 [6, 2, 4, 3, 6, 1, 3, 3, 6, 6, 2, 1, 7, 4, 1, 2, 3, 0, 3, 2, 4, 6, 3, 1, 1, 0, 4, 3, 1, 4, 3, 3, 1, 3, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 3, 7, 1, 7, 7, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 2, 5, 2, 5, 0, 2, 0, 0, 5, 5, 2, 5, 0, 0, 4, 0, 0, 0, 5, 0, 6, 0, 6, 6, 7, 6, 5, 5, 7, 7] 
dag9.txt 3_2x4.txt 0.4444444444444444 1 496981.3333333333 [6, 2, 4, 3, 6, 1, 3, 3, 6, 6, 2, 1, 7, 4, 1, 2, 3, 0, 3, 2, 4, 6, 3, 1, 1, 0, 4, 3, 1, 4, 3, 3, 1, 3, 4, 1, 1, 2, 0, 4, 1, 1, 1, 3, 3, 3, 7, 1, 7, 7, 5, 7, 4, 5, 5, 5, 5, 5, 7, 5, 2, 5, 2, 5, 0, 2, 0, 0, 5, 5, 2, 5, 0, 0, 4, 0, 0, 0, 5, 0, 6, 0, 6, 6, 7, 6, 5, 5, 7, 7] 
dag9.txt 3_2x4.txt 0.4222222222222222 0.8 491520.0 [3, 5, 4, 6, 0, 2, 4, 4, 6, 6, 7, 7, 0, 1, 2, 6, 4, 7, 4, 7, 4, 7, 6, 2, 7, 7, 1, 6, 7, 7, 4, 6, 7, 6, 1, 1, 7, 1, 7, 4, 1, 7, 7, 4, 4, 4, 2, 4, 0, 2, 1, 2, 6, 6, 2, 2, 0, 6, 0, 6, 2, 2, 2, 0, 6, 6, 5, 6, 0, 0, 5, 0, 3, 3, 2, 5, 5, 3, 0, 5, 5, 3, 7, 3, 0, 3, 0, 0, 0, 0] 
dag9.txt 3_2x4.txt 0.2962962962962963 0.3 573440.0 [0, 7, 0, 2, 0, 1, 2, 2, 7, 2, 7, 4, 6, 2, 1, 7, 6, 7, 6, 7, 2, 0, 2, 1, 4, 1, 2, 2, 4, 4, 6, 2, 4, 2, 2, 2, 4, 2, 7, 4, 2, 4, 4, 4, 4, 4, 1, 4, 1, 1, 5, 1, 4, 4, 5, 5, 5, 5, 6, 5, 6, 6, 5, 6, 7, 7, 7, 7, 5, 5, 7, 5, 7, 0, 3, 3, 3, 0, 5, 3, 1, 3, 0, 0, 6, 0, 5, 5, 6, 6] 
dag9.txt 3_2x4.txt 0.14814814814814814 0.15 1152341.3333333333 [4, 2, 4, 2, 4, 0, 2, 2, 2, 2, 2, 0, 0, 4, 0, 2, 0, 2, 0, 2, 2, 4, 2, 0, 0, 0, 4, 2, 0, 0, 2, 2, 0, 2, 4, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 4, 2, 2, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 0, 4, 4] 
dag9.txt 3_2x4.txt 0.24444444444444444 0.25 745472.0 [5, 2, 6, 0, 5, 4, 2, 2, 3, 0, 3, 4, 4, 6, 4, 2, 4, 2, 4, 3, 2, 5, 2, 4, 4, 4, 6, 0, 4, 4, 2, 0, 4, 0, 6, 6, 6, 0, 2, 6, 6, 6, 4, 6, 0, 6, 4, 6, 4, 4, 6, 4, 6, 6, 4, 4, 4, 6, 1, 6, 2, 2, 1, 1, 2, 2, 2, 2, 4, 1, 2, 1, 2, 5, 3, 3, 3, 5, 1, 3, 5, 5, 5, 5, 1, 5, 4, 1, 1, 1] 
dag9.txt 3_2x4.txt 0.1925925925925926 0.2 813738.6666666666 [2, 4, 6, 4, 2, 0, 4, 4, 4, 4, 4, 0, 0, 6, 0, 4, 0, 4, 0, 4, 4, 2, 4, 0, 0, 0, 6, 4, 0, 0, 4, 4, 0, 4, 6, 6, 0, 6, 4, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 4, 4, 4, 6, 6, 4, 4, 4, 4, 0, 6, 2, 6, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 6, 2, 0, 6, 6, 6] 
dag9.txt 5_4_3_2x2.txt 0.0962962962962963 0.1 986316.8 [4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 0, 0, 0, 0, 4, 0, 4, 0, 4, 4, 4, 4, 0, 0, 0, 0, 4, 0, 0, 4, 4, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 0, 4, 0, 0, 0, 0] 
