dag72.txt 3_2x4.txt 0.09278350515463918 0.1 1064960.0 [0, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag72.txt 3_2x4.txt 0.35051546391752575 0.65 327680.0 [5, 7, 0, 2, 6, 7, 6, 7, 1, 2, 5, 5, 0, 4, 7, 0, 5, 2, 0, 5, 6, 7, 6, 6, 5, 5, 6, 6, 7, 7, 1, 7, 5, 6, 1, 1, 7, 7, 2, 7, 0, 5, 7, 0, 4, 4, 0, 0, 0, 0, 2, 4, 2, 2, 4, 4, 3, 0, 7, 2, 2, 3, 7, 7, 6, 3, 2, 3] 
dag72.txt 3_2x4.txt 0.14432989690721648 0.15 835584.0 [2, 0, 4, 0, 4, 0, 0, 0, 2, 4, 2, 2, 4, 4, 0, 2, 2, 4, 2, 2, 0, 0, 4, 4, 2, 2, 4, 4, 0, 0, 2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag72.txt 3_2x4.txt 0.35051546391752575 0.8 335872.0 [1, 2, 0, 5, 6, 2, 4, 2, 1, 2, 5, 5, 0, 4, 2, 5, 1, 2, 5, 5, 4, 2, 4, 4, 5, 5, 4, 4, 1, 2, 6, 1, 5, 4, 1, 6, 0, 0, 2, 0, 0, 6, 1, 3, 6, 6, 0, 0, 0, 3, 3, 0, 2, 3, 0, 0, 1, 3, 2, 3, 2, 7, 2, 2, 4, 7, 4, 7] 
dag72.txt 3_2x4.txt 0.36082474226804123 0.55 327680.0 [6, 5, 2, 0, 3, 5, 0, 5, 6, 7, 2, 2, 2, 6, 5, 2, 6, 7, 2, 2, 7, 5, 3, 7, 2, 2, 3, 3, 5, 5, 2, 5, 2, 7, 6, 6, 5, 5, 4, 5, 4, 2, 5, 4, 2, 1, 4, 4, 2, 4, 0, 1, 0, 0, 1, 1, 0, 4, 5, 7, 0, 0, 5, 5, 7, 0, 7, 7] 
dag72.txt 3_2x4.txt 0.36082474226804123 0.6 344064.0 [2, 0, 6, 6, 4, 0, 0, 0, 2, 7, 6, 1, 6, 6, 0, 6, 2, 7, 6, 6, 0, 0, 4, 4, 1, 1, 4, 4, 0, 0, 6, 0, 1, 0, 6, 2, 0, 2, 7, 2, 2, 1, 2, 2, 3, 3, 2, 2, 0, 4, 1, 3, 0, 0, 3, 3, 5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 5] 
dag72.txt 3_2x4.txt 0.3711340206185567 0.5 333141.3333333333 [6, 0, 5, 0, 7, 3, 1, 0, 6, 7, 2, 2, 5, 5, 3, 2, 6, 7, 2, 2, 1, 3, 1, 1, 2, 6, 1, 1, 3, 3, 2, 3, 2, 0, 6, 6, 1, 6, 4, 6, 2, 2, 3, 2, 2, 4, 2, 4, 2, 2, 0, 4, 0, 0, 5, 4, 3, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0] 
dag72.txt 3_2x4.txt 0.3402061855670103 0.35 354986.6666666667 [1, 0, 2, 2, 6, 0, 0, 0, 1, 5, 7, 7, 2, 6, 0, 2, 1, 5, 2, 7, 0, 0, 6, 6, 7, 7, 6, 6, 0, 0, 2, 0, 7, 3, 1, 1, 0, 0, 5, 0, 2, 3, 2, 2, 2, 4, 4, 4, 2, 2, 3, 4, 0, 3, 4, 3, 0, 3, 0, 3, 0, 2, 0, 0, 3, 0, 3, 3] 
dag72.txt 3_2x4.txt 0.35051546391752575 0.45 327680.0 [0, 5, 7, 3, 6, 5, 6, 5, 0, 2, 0, 0, 7, 7, 5, 4, 0, 2, 4, 0, 6, 5, 6, 6, 0, 4, 6, 6, 5, 5, 4, 5, 0, 6, 0, 0, 5, 5, 2, 5, 4, 0, 5, 4, 4, 1, 7, 7, 4, 4, 3, 1, 2, 3, 1, 1, 2, 4, 5, 3, 2, 2, 5, 5, 6, 3, 3, 3] 
dag72.txt 3_2x4.txt 0.4020618556701031 0.9 335872.0 [2, 4, 3, 0, 7, 4, 2, 2, 2, 7, 0, 0, 3, 3, 4, 0, 2, 7, 0, 0, 6, 2, 6, 6, 0, 4, 6, 6, 2, 2, 1, 2, 0, 6, 6, 5, 5, 5, 2, 5, 0, 1, 2, 0, 1, 1, 0, 5, 0, 0, 3, 0, 2, 3, 1, 0, 2, 0, 2, 3, 4, 4, 4, 4, 6, 4, 6, 6] 
