dagC2.txt 3_2x2.txt True 0.1702127659574468 0.2 728.0 [3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 3, 2, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 1, 3, 2] 
dagC2.txt 3_2x2.txt True 0.1702127659574468 0.3 728.0 [3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 3, 2, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 1, 3, 2] 
dagC2.txt 3_2x2.txt True 0.35106382978723405 0.4 485.0 [2, 0, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 0, 3, 0, 3, 1, 1, 0, 3, 3, 0, 2, 3, 2, 3, 2, 0, 3, 3, 3, 1, 3, 3, 0, 1, 0, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 2, 2, 1, 0, 1] 
dagC2.txt 3_2x2.txt True 0.4627659574468085 0.5 243.5 [0, 0, 1, 2, 3, 3, 1, 0, 2, 2, 1, 2, 1, 2, 0, 0, 1, 1, 2, 3, 3, 3, 0, 2, 3, 1, 3, 0, 2, 0, 1, 0, 1, 1, 0, 3, 2, 3, 3, 1, 0, 2, 0, 3, 1, 2, 0, 2, 3, 0, 2, 3, 2, 0, 1, 1, 1, 3, 2, 3] 
dagC2.txt 3_2x2.txt True 0.4627659574468085 0.6 243.5 [0, 0, 1, 2, 3, 3, 1, 0, 2, 2, 1, 2, 1, 2, 0, 0, 1, 1, 2, 3, 3, 3, 0, 2, 3, 1, 3, 0, 2, 0, 1, 0, 1, 1, 0, 3, 2, 3, 3, 1, 0, 2, 0, 3, 1, 2, 0, 2, 3, 0, 2, 3, 2, 0, 1, 1, 1, 3, 2, 3] 
dagC2.txt 3_2x2.txt True 0.4627659574468085 0.7 243.5 [0, 0, 1, 2, 3, 3, 1, 0, 2, 2, 1, 2, 1, 2, 0, 0, 1, 1, 2, 3, 3, 3, 0, 2, 3, 1, 3, 0, 2, 0, 1, 0, 1, 1, 0, 3, 2, 3, 3, 1, 0, 2, 0, 3, 1, 2, 0, 2, 3, 0, 2, 3, 2, 0, 1, 1, 1, 3, 2, 3] 
dagC2.txt 3_2x2.txt True 0.4627659574468085 1 243.5 [0, 0, 1, 2, 3, 3, 1, 0, 2, 2, 1, 2, 1, 2, 0, 0, 1, 1, 2, 3, 3, 3, 0, 2, 3, 1, 3, 0, 2, 0, 1, 0, 1, 1, 0, 3, 2, 3, 3, 1, 0, 2, 0, 3, 1, 2, 0, 2, 3, 0, 2, 3, 2, 0, 1, 1, 1, 3, 2, 3] 
dagC2.txt 3_2x1.txt True 0.026595744680851064 0.07 927.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagC2.txt 3_2x1.txt True 0.026595744680851064 0.1 927.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagC2.txt 3_2x1.txt True 0.026595744680851064 0.15 927.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagC2.txt 3_2x1.txt True 0.026595744680851064 0.2 927.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagC2.txt 3_2x1.txt True 0.26595744680851063 0.3 484.5 [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
dagC2.txt 3_2x1.txt True 0.26595744680851063 0.4 484.5 [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
dagC2.txt 3_2x1.txt True 0.26595744680851063 0.5 484.5 [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
dagC2.txt 3_2x1.txt True 0.26595744680851063 0.6 484.5 [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
dagC2.txt 3_2x1.txt True 0.26595744680851063 0.7 484.5 [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
dagC2.txt 3_2x1.txt True 0.26595744680851063 1 484.5 [1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0] 
