dag29.txt 3_2x4.txt True 0.03260869565217391 0.04 1714858.6666666667 [0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag29.txt 3_2x4.txt True 0.03260869565217391 0.06 1714858.6666666667 [0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag29.txt 3_2x4.txt True 0.06521739130434782 0.08 1485482.6666666667 [0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag29.txt 3_2x4.txt True 0.08695652173913043 0.1 1043114.6666666666 [0, 2, 0, 0, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2] 
dag29.txt 3_2x4.txt True 0.10869565217391304 0.12 955733.3333333334 [0, 2, 2, 0, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2] 
dag29.txt 3_2x4.txt True 0.13043478260869565 0.14 868352.0 [0, 2, 4, 0, 2, 2, 2, 4, 0, 2, 2, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2] 
dag29.txt 3_2x4.txt True 0.15217391304347827 0.16 780970.6666666666 [0, 2, 4, 0, 4, 2, 2, 4, 0, 2, 2, 4, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2] 
dag29.txt 3_2x4.txt True 0.17391304347826086 0.18 786432.0 [2, 0, 2, 0, 2, 0, 0, 4, 4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 2, 0, 4, 2, 4, 2, 0, 4, 2, 2, 0, 4, 2, 4, 2, 2, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 4] 
dag29.txt 3_2x4.txt True 0.17391304347826086 0.2 786432.0 [2, 0, 2, 0, 2, 0, 0, 4, 4, 0, 0, 2, 2, 0, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 2, 0, 4, 2, 4, 2, 0, 4, 2, 2, 0, 4, 2, 4, 2, 2, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 4] 
dag29.txt 3_2x4.txt True 0.25 0.25 584362.6666666666 [0, 3, 4, 0, 2, 3, 2, 2, 0, 2, 2, 4, 0, 2, 2, 0, 0, 3, 0, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 6, 0, 0, 6, 0, 0, 2, 6, 0, 6, 0, 0, 2, 1, 0, 1, 1, 1, 2, 2, 4, 4, 6, 4, 4, 6, 4, 4] 
