dag28.txt 3_2x4.txt True 0.03529411764705882 0.04 2031616.0 [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.047058823529411764 0.06 1966080.0 [2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag28.txt 3_2x4.txt True 0.047058823529411764 0.08 1966080.0 [2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] 
dag28.txt 3_2x4.txt True 0.09411764705882353 0.1 1627477.3333333333 [2, 0, 1, 2, 0, 1, 2, 0, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.09411764705882353 0.12 1627477.3333333333 [2, 0, 1, 2, 0, 1, 2, 0, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.12941176470588237 0.14 2236416.0 [3, 0, 2, 3, 0, 2, 1, 0, 3, 3, 1, 1, 2, 3, 0, 3, 3, 3, 0, 0, 3, 3, 3, 0, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.1411764705882353 0.16 1785856.0 [3, 0, 2, 3, 0, 2, 1, 0, 3, 3, 1, 3, 2, 3, 0, 3, 3, 3, 0, 0, 3, 3, 3, 0, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.17647058823529413 0.18 1654784.0 [0, 0, 2, 3, 0, 2, 1, 0, 3, 3, 1, 3, 2, 3, 0, 3, 3, 3, 0, 0, 3, 3, 3, 0, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.18823529411764706 0.2 1130496.0 [2, 0, 2, 3, 0, 2, 1, 0, 0, 3, 1, 3, 2, 3, 0, 0, 3, 3, 0, 0, 0, 0, 3, 0, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x4.txt True 0.24705882352941178 0.25 1032192.0 [6, 5, 2, 0, 5, 2, 3, 5, 6, 3, 3, 3, 2, 3, 5, 6, 3, 3, 5, 5, 6, 6, 3, 5, 3, 3, 3, 3, 6, 3, 5, 3, 1, 6, 6, 0, 6, 6, 0, 0, 6, 6, 3, 6, 1, 4, 6, 4, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5] 
