dag16.txt 3_2x4.txt True 0.020202020202020204 0.04 2244608.0 [0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.050505050505050504 0.06 2069845.3333333333 [0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.050505050505050504 0.08 2069845.3333333333 [0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.09090909090909091 0.1 1742165.3333333333 [2, 2, 2, 1, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2] 
dag16.txt 3_2x4.txt True 0.09090909090909091 0.12 1742165.3333333333 [2, 2, 2, 1, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2] 
dag16.txt 3_2x4.txt True 0.13131313131313133 0.14 1594709.3333333333 [2, 2, 2, 1, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2] 
dag16.txt 3_2x4.txt True 0.15151515151515152 0.16 1419946.6666666667 [2, 2, 2, 1, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2] 
dag16.txt 3_2x4.txt True 0.1717171717171717 0.18 1908736.0 [3, 1, 3, 2, 0, 3, 0, 1, 0, 0, 3, 1, 3, 3, 3, 1, 3, 1, 3, 3, 1, 0, 1, 0, 1, 1, 0, 0, 3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 2, 2] 
dag16.txt 3_2x4.txt True 0.1919191919191919 0.2 1794048.0 [3, 0, 3, 3, 2, 3, 0, 1, 0, 3, 0, 1, 0, 0, 3, 1, 3, 1, 3, 0, 1, 2, 0, 0, 1, 1, 2, 2, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 3, 0, 3, 0, 0, 3, 0, 3, 3, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 3, 3, 3, 3, 3] 
dag16.txt 3_2x4.txt True 0.24242424242424243 0.25 1531904.0 [3, 0, 3, 0, 2, 3, 0, 1, 0, 0, 0, 1, 0, 0, 3, 1, 3, 1, 3, 0, 1, 2, 0, 0, 1, 1, 2, 2, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 3, 0, 3, 0, 0, 3, 0, 3, 3, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 3, 3, 3, 3, 3] 
