dag16.txt 3_2x4.txt True 0.0 0.04 2331989.3333333335 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.0 0.06 2331989.3333333335 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.0 0.08 2331989.3333333335 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.08080808080808081 0.1 1829546.6666666667 [0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.08080808080808081 0.12 1829546.6666666667 [0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.13131313131313133 0.14 1594709.3333333333 [0, 0, 0, 4, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.13131313131313133 0.16 1594709.3333333333 [0, 0, 0, 4, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.16161616161616163 0.18 1359872.0 [0, 2, 0, 6, 4, 0, 4, 2, 0, 4, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 2, 4, 2, 4, 2, 2, 4, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 0, 6, 6] 
dag16.txt 3_2x4.txt True 0.1919191919191919 0.2 1196032.0 [0, 2, 0, 0, 6, 0, 2, 4, 2, 0, 2, 4, 2, 2, 0, 4, 0, 4, 0, 2, 4, 6, 2, 2, 4, 4, 6, 6, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.1919191919191919 0.25 1196032.0 [0, 2, 0, 0, 6, 0, 2, 4, 2, 0, 2, 4, 2, 2, 0, 4, 0, 4, 0, 2, 4, 6, 2, 2, 4, 4, 6, 6, 0, 0, 4, 6, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0] 
dag16.txt 3_2x4.txt True 0.29292929292929293 0.3 458752.0 [4, 2, 6, 4, 3, 0, 2, 2, 0, 1, 3, 2, 0, 0, 4, 2, 0, 2, 4, 3, 2, 3, 2, 2, 2, 2, 3, 2, 6, 1, 7, 2, 1, 1, 1, 1, 1, 7, 1, 7, 2, 7, 6, 1, 0, 6, 0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 6, 6, 4, 6, 6, 6, 5, 5, 5, 5, 5] 
