dag8.txt 3_2x4.txt True 0.0 0.04 3915776.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.051470588235294115 0.06 3484330.6666666665 [0, 4, 0, 0, 2, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.051470588235294115 0.08 3484330.6666666665 [0, 4, 0, 0, 2, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.051470588235294115 0.1 3484330.6666666665 [0, 4, 0, 0, 2, 0, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.11764705882352941 0.12 2747050.6666666665 [4, 6, 0, 0, 2, 0, 6, 2, 0, 2, 0, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.13970588235294118 0.14 2583210.6666666665 [4, 6, 0, 0, 2, 0, 6, 2, 0, 2, 0, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 6, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 4, 4, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.13970588235294118 0.16 2583210.6666666665 [4, 6, 0, 0, 2, 0, 6, 2, 0, 2, 0, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 6, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 4, 4, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.13970588235294118 0.18 2583210.6666666665 [4, 6, 0, 0, 2, 0, 6, 2, 0, 2, 0, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 6, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 4, 4, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.19852941176470587 0.2 2058922.6666666667 [4, 6, 0, 0, 2, 0, 6, 2, 0, 2, 0, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 0, 0, 2, 0, 2, 0, 4, 4, 0, 0, 0, 4, 6, 6, 6, 6, 2, 1, 0, 1, 2, 0, 2, 2, 4, 0, 6, 0, 4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0] 
dag8.txt 3_2x4.txt True 0.19852941176470587 0.25 2058922.6666666667 [4, 6, 0, 0, 2, 0, 6, 2, 0, 2, 0, 2, 0, 2, 0, 0, 4, 2, 0, 0, 0, 2, 0, 4, 6, 0, 2, 0, 0, 2, 0, 2, 0, 4, 4, 0, 0, 0, 4, 6, 6, 6, 6, 2, 1, 0, 1, 2, 0, 2, 2, 4, 0, 6, 0, 4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0] 
