dagN19.txt 3_2x4.txt True 0.05991735537190083 0.07 1041.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 5, 7, 2, 7, 6, 7, 5, 7, 0, 7, 7, 3, 1, 0, 2, 7, 6, 1, 7, 3] 
dagN19.txt 3_2x4.txt True 0.09917355371900827 0.1 1052.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 6, 7, 7, 6, 3, 7, 7, 2, 0, 1, 7, 0, 5, 5, 3, 6, 6, 6, 5, 2, 1] 
dagN19.txt 3_2x4.txt True 0.1487603305785124 0.15 1198.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 5, 7, 1, 1, 7, 7, 6, 6, 5, 7, 2, 6, 0, 6, 6, 6, 6, 0, 6, 1, 0, 6, 6, 6, 6, 1, 6, 6, 1, 6, 6, 1, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 6, 3] 
dagN19.txt 3_2x4.txt True 0.19421487603305784 0.2 728.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 5, 7, 1, 1, 7, 7, 1, 1, 5, 7, 2, 1, 0, 6, 6, 6, 6, 0, 6, 1, 0, 6, 6, 6, 6, 1, 6, 1, 1, 1, 1, 1, 6, 6, 6, 6, 1, 1, 3, 6, 1, 6, 1, 6, 6, 6, 6, 6, 6, 1, 6, 6, 3, 6, 1, 6, 6, 6, 6, 6, 3] 
dagN19.txt 3_2x4.txt True 0.29545454545454547 0.3 328.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 0, 3, 3, 1, 3, 3, 1, 1, 3, 0, 2, 5, 3, 5, 2, 5, 2, 1, 5, 5, 2, 0, 5, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 4, 1, 5, 7, 5, 4, 1, 7, 5, 7, 7, 7, 7, 5, 4, 7, 5, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 6] 
dagN19.txt 3_2x4.txt True 0.3987603305785124 0.4 529.0 [2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 1, 3, 2, 0, 2, 2, 2, 3, 2, 2, 3, 0, 2, 3, 0, 1, 3, 2, 3, 3, 2, 0, 3, 3, 3, 3, 0, 0, 3, 0, 0, 1, 0, 3, 0, 0, 0, 3, 0, 1, 0, 3, 0, 3, 0, 0, 1, 0, 0, 3, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 1, 1, 4, 0, 1, 1, 5, 1, 1, 4, 1, 1, 4, 5, 4, 1, 1, 4, 4, 5, 1, 4, 4, 5, 4, 4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 4, 4, 5, 6, 4, 5, 5, 5, 5, 4, 6, 1, 7, 6, 5, 7, 5, 5, 6, 6, 7, 6, 6, 6, 7, 6, 7, 7, 6, 7, 6, 7, 6, 7, 7, 6, 7, 6, 7, 7, 6, 7, 6, 7, 7, 7, 7] 
dagN19.txt 3_2x4.txt True 0.49793388429752067 0.5 363.0 [5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 6, 5, 5, 7, 5, 4, 7, 7, 4, 5, 4, 4, 4, 7, 5, 4, 7, 1, 7, 7, 4, 7, 1, 1, 7, 4, 7, 7, 4, 1, 7, 6, 7, 6, 7, 4, 7, 7, 7, 6, 6, 1, 7, 1, 6, 6, 6, 6, 1, 7, 6, 1, 6, 0, 1, 4, 1, 1, 0, 1, 0, 6, 1, 7, 2, 0, 1, 6, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 3, 3, 3, 1, 1, 3, 1, 2, 3, 2, 2, 3, 3, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 2, 3] 
dagN19.txt 3_2x4.txt True 0.5619834710743802 0.6 242.0 [5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 5, 5, 4, 6, 5, 5, 7, 5, 1, 7, 7, 4, 5, 4, 4, 4, 7, 3, 3, 7, 5, 7, 7, 4, 7, 1, 1, 7, 3, 7, 7, 4, 7, 7, 6, 7, 3, 7, 4, 7, 7, 7, 6, 6, 7, 7, 1, 5, 6, 6, 1, 7, 7, 6, 7, 6, 0, 1, 4, 1, 1, 0, 7, 0, 1, 7, 7, 2, 0, 1, 6, 1, 1, 1, 0, 1, 1, 1, 7, 1, 1, 6, 1, 7, 1, 5, 1, 3, 3, 0, 1, 1, 1, 5, 0, 1, 1, 2, 2, 1, 0, 5, 0, 0, 1, 2, 5, 3, 3, 7, 1, 3, 5, 2, 3, 3, 2, 3, 3, 3, 1, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 5, 2, 3] 
dagN19.txt 3_2x4.txt True 0.5619834710743802 0.7 242.0 [5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 5, 5, 4, 6, 5, 5, 7, 5, 1, 7, 7, 4, 5, 4, 4, 4, 7, 3, 3, 7, 5, 7, 7, 4, 7, 1, 1, 7, 3, 7, 7, 4, 7, 7, 6, 7, 3, 7, 4, 7, 7, 7, 6, 6, 7, 7, 1, 5, 6, 6, 1, 7, 7, 6, 7, 6, 0, 1, 4, 1, 1, 0, 7, 0, 1, 7, 7, 2, 0, 1, 6, 1, 1, 1, 0, 1, 1, 1, 7, 1, 1, 6, 1, 7, 1, 5, 1, 3, 3, 0, 1, 1, 1, 5, 0, 1, 1, 2, 2, 1, 0, 5, 0, 0, 1, 2, 5, 3, 3, 7, 1, 3, 5, 2, 3, 3, 2, 3, 3, 3, 1, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 5, 2, 3] 
dagN19.txt 3_2x4.txt True 0.5619834710743802 1 242.0 [5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 7, 5, 5, 5, 4, 6, 5, 5, 7, 5, 1, 7, 7, 4, 5, 4, 4, 4, 7, 3, 3, 7, 5, 7, 7, 4, 7, 1, 1, 7, 3, 7, 7, 4, 7, 7, 6, 7, 3, 7, 4, 7, 7, 7, 6, 6, 7, 7, 1, 5, 6, 6, 1, 7, 7, 6, 7, 6, 0, 1, 4, 1, 1, 0, 7, 0, 1, 7, 7, 2, 0, 1, 6, 1, 1, 1, 0, 1, 1, 1, 7, 1, 1, 6, 1, 7, 1, 5, 1, 3, 3, 0, 1, 1, 1, 5, 0, 1, 1, 2, 2, 1, 0, 5, 0, 0, 1, 2, 5, 3, 3, 7, 1, 3, 5, 2, 3, 3, 2, 3, 3, 3, 1, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 5, 2, 3] 
